"Time"	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C

0	0.6840930	0.1683867	1.0000000	0.3187749	0.5273783	0.9999995	0.0242101	0.6572121	0.1277604	0.0495538
50	0.7291750	0.0564515	1.0000000	0.6353236	0.5442230	0.9999994	0.0335719	0.7203495	0.5231344	0.0495538
100	0.8300611	0.0290710	1.0000000	0.7589102	0.5975229	0.9999940	0.1295235	0.8178773	0.6353392	0.0495538
150	0.9024824	0.0223734	1.0000000	0.8175964	0.6533735	0.9994760	0.3064411	0.8689870	0.6671827	0.0495786
200	0.9393270	0.0207351	1.0000000	0.8509267	0.6943000	0.9926901	0.4226772	0.8881620	0.6762783	0.0509069
250	0.9557287	0.0203344	1.0000000	0.8707898	0.7201618	0.9724606	0.4768461	0.8947236	0.6797739	0.0598310
300	0.9625859	0.0202363	1.0000000	0.8823878	0.7349416	0.9468783	0.4993308	0.8970944	0.6846677	0.0783914
350	0.9653582	0.0202124	1.0000000	0.8889139	0.7425895	0.9267811	0.5082136	0.8986171	0.6935559	0.0984730
400	0.9664575	0.0202065	1.0000000	0.8924479	0.7462296	0.9146774	0.5117648	0.9004759	0.7047692	0.1136484
450	0.9668885	0.0202051	1.0000000	0.8942932	0.7479084	0.9083837	0.5134134	0.9026810	0.7152537	0.1230581
500	0.9670562	0.0202047	1.0000000	0.8952268	0.7487153	0.9052968	0.5144448	0.9048058	0.7232629	0.1283425
550	0.9130843	0.1321398	1.0000000	0.6442486	0.7395338	0.9173482	0.2915504	0.8774521	0.3952658	0.1184823
600	0.8091178	0.1595203	1.0000000	0.5412848	0.7086882	0.9658369	0.1159089	0.8125634	0.2881344	0.0803222
650	0.7416598	0.1662179	1.0000000	0.4818700	0.6718331	0.9904964	0.0550181	0.7522603	0.2241083	0.0611552
700	0.7085988	0.1678562	1.0000000	0.4372357	0.6379639	0.9976030	0.0347365	0.7106111	0.1800363	0.0538874
750	0.6941022	0.1682569	1.0000000	0.4025411	0.6096469	0.9994073	0.0279452	0.6850636	0.1537030	0.0511720
800	0.6880863	0.1683549	1.0000000	0.3768036	0.5871237	0.9998537	0.0256074	0.6709171	0.1398298	0.0501580
850	0.6856642	0.1683789	1.0000000	0.3585287	0.5699016	0.9999636	0.0247638	0.6636851	0.1331203	0.0497794
900	0.6847061	0.1683848	1.0000000	0.3458853	0.5571840	0.9999906	0.0244409	0.6601761	0.1300599	0.0496380
950	0.6843310	0.1683862	1.0000000	0.3372465	0.5480563	0.9999973	0.0243099	0.6585336	0.1287213	0.0495852
1000	0.6841851	0.1683866	1.0000000	0.3313744	0.5416417	0.9999989	0.0242542	0.6577871	0.1281538	0.0495655

0	0.6840930	0.1683867	1.0000000	0.3187749	0.5273783	0.9999995	0.0242101	0.6572121	0.1277604	0.0495538
50	0.6835853	0.1718748	0.9660879	0.6748933	0.5464313	0.9999995	0.0241647	0.6603821	0.2388303	0.4916188
100	0.6789821	0.1794989	0.9594374	0.8065587	0.6060898	0.9999995	0.0238293	0.7115848	0.4829930	0.6566892
150	0.6708691	0.1848718	0.9581332	0.8567013	0.6661517	0.9999995	0.0234608	0.8005735	0.6327434	0.7183277
200	0.6633715	0.1874614	0.9578775	0.8770055	0.7073732	0.9999995	0.0233181	0.8594181	0.7034181	0.7413440
250	0.6583271	0.1884985	0.9578273	0.8858552	0.7315454	0.9999995	0.0233222	0.8871713	0.7343276	0.7499385
300	0.6554966	0.1888715	0.9578175	0.8899596	0.7447406	0.9999995	0.0233696	0.8991180	0.7474477	0.7531477
350	0.6540795	0.1889967	0.9578155	0.8919490	0.7516975	0.9999995	0.0234142	0.9041662	0.7529240	0.7543461
400	0.6534219	0.1890367	0.9578152	0.8929442	0.7553022	0.9999995	0.0234447	0.9062916	0.7551801	0.7547935
450	0.6531324	0.1890491	0.9578151	0.8934542	0.7571545	0.9999995	0.0234626	0.9071822	0.7560984	0.7549606
500	0.6530096	0.1890528	0.9578151	0.8937208	0.7581034	0.9999995	0.0234722	0.9075524	0.7564681	0.7550230
550	0.6535016	0.1851488	0.9917272	0.5731838	0.7460137	0.9999995	0.0235204	0.9080825	0.7463609	0.3129813
600	0.6582444	0.1773010	0.9983776	0.4542522	0.7032274	0.9999995	0.0239047	0.9029718	0.6401215	0.1479196
650	0.6664343	0.1721649	0.9996818	0.4042736	0.6521230	0.9999995	0.0245620	0.8804197	0.4753908	0.0862843
700	0.6738922	0.1697976	0.9999376	0.3772309	0.6103797	0.9999995	0.0250949	0.8328713	0.3242097	0.0632692
750	0.6788540	0.1688731	0.9999878	0.3593158	0.5815360	0.9999994	0.0252863	0.7696883	0.2252061	0.0546752
800	0.6816131	0.1685455	0.9999976	0.3466942	0.5628155	0.9999994	0.0251677	0.7162186	0.1723171	0.0514661
850	0.6829846	0.1684365	0.9999995	0.3378687	0.5507986	0.9999994	0.0249017	0.6844593	0.1471282	0.0502679
900	0.6836175	0.1684019	0.9999999	0.3318041	0.5430174	0.9999994	0.0246399	0.6690657	0.1359018	0.0498204
950	0.6838950	0.1683912	1.0000000	0.3276799	0.5379176	0.9999994	0.0244500	0.6622439	0.1311022	0.0496533
1000	0.6840123	0.1683880	1.0000000	0.3248861	0.5345419	0.9999994	0.0243342	0.6593196	0.1291079	0.0495909

0	0.6840930	0.1683867	1.0000000	0.3187749	0.5273783	0.9999995	0.0242101	0.6572121	0.1277604	0.0495538
50	0.6840931	0.1683867	1.0000000	0.3675912	0.5299506	0.9999995	0.0242101	0.6572121	0.1277604	0.0495538
100	0.6840931	0.1683867	1.0000000	0.3861285	0.5377027	0.9999995	0.0242101	0.6572121	0.1277604	0.0495538
150	0.6840931	0.1683867	1.0000000	0.3942837	0.5461077	0.9999995	0.0242101	0.6572121	0.1277604	0.0495538
200	0.6840931	0.1683867	1.0000000	0.3988981	0.5526874	0.9999995	0.0242101	0.6572121	0.1277604	0.0495538
250	0.6840931	0.1683867	1.0000000	0.4020328	0.5572339	0.9999995	0.0242101	0.6572121	0.1277604	0.0495538
300	0.6840931	0.1683867	1.0000000	0.4042816	0.5602600	0.9999995	0.0242101	0.6572121	0.1277604	0.0495538
350	0.6840931	0.1683867	1.0000000	0.4058833	0.5622769	0.9999995	0.0242101	0.6572121	0.1277604	0.0495538
400	0.6840931	0.1683867	1.0000000	0.4070035	0.5636380	0.9999995	0.0242101	0.6572121	0.1277604	0.0495538
450	0.6840931	0.1683867	1.0000000	0.4077770	0.5645663	0.9999995	0.0242101	0.6572121	0.1277604	0.0495538
500	0.6840931	0.1683867	1.0000000	0.4083079	0.5652029	0.9999995	0.0242101	0.6572121	0.1277604	0.0495538
550	0.6840931	0.1683867	1.0000000	0.3603191	0.5629700	0.9999995	0.0242101	0.6572121	0.1277604	0.0495538
600	0.6840931	0.1683867	1.0000000	0.3421424	0.5552172	0.9999995	0.0242101	0.6572121	0.1277604	0.0495538
650	0.6840931	0.1683867	1.0000000	0.3340554	0.5469375	0.9999995	0.0242101	0.6572121	0.1277604	0.0495538
700	0.6840931	0.1683867	1.0000000	0.3294009	0.5405878	0.9999995	0.0242101	0.6572121	0.1277604	0.0495538
750	0.6840931	0.1683867	1.0000000	0.3262314	0.5362667	0.9999995	0.0242101	0.6572121	0.1277604	0.0495538
