"Time"	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C

0	0.5873369	0.7640929	0.1215929	0.4466848	0.4218226	0.2650280	0.5125244	0.7394121	0.7962386	0.7015292
50	0.5888831	0.3551919	0.0394316	0.3687377	0.4296289	0.0922485	0.4808602	0.6988013	0.6498201	0.8093541
100	0.5526708	0.2729760	0.0558858	0.4550998	0.5902027	0.0595863	0.4412595	0.6701542	0.8191790	0.6924104
150	0.3125100	0.2188259	0.1483681	0.3707571	0.6483109	0.0526959	0.5063246	0.7275176	0.7537892	0.6924976
200	0.2381377	0.2059359	0.0883701	0.3614392	0.6789295	0.0636477	0.6313567	0.7931255	0.7875943	0.9337826
250	0.1563993	0.2243340	0.1310987	0.4135110	0.7874572	0.0814276	0.5025527	0.7744519	0.7478333	0.9548465
300	0.1016739	0.2164247	0.1584866	0.4625388	0.6243832	0.0997130	0.7218554	0.7691893	0.7251428	0.7338493
350	0.1270329	0.1771999	0.1635687	0.4695360	0.5101710	0.1712466	0.5238062	0.8877462	0.7710379	0.7466958
400	0.0937318	0.2287363	0.1574727	0.3479805	0.5352326	0.1371059	0.5101016	0.7939574	0.7335042	0.8826661
450	0.0600071	0.1811952	0.2147457	0.2827443	0.6850210	0.2300513	0.5923952	0.6879368	0.7635095	0.7371119
500	0.0791653	0.2067000	0.2252873	0.3584480	0.5208485	0.1845232	0.5972629	0.6968040	0.7524520	0.7668052
550	0.0931513	0.4805029	0.1319631	0.2744728	0.5249107	0.5103583	0.6924371	0.7077258	0.7392313	0.7580984
600	0.3077017	0.6113990	0.0880575	0.4155328	0.3497955	0.6633468	0.7292811	0.7500219	0.6983296	0.8080216
650	0.5567559	0.8810732	0.0796385	0.5463034	0.1782255	0.5522154	0.4516103	0.7325123	0.5882050	0.7922753
700	0.4569487	0.6646746	0.0931299	0.5876475	0.3313818	0.4181266	0.4047834	0.7837313	0.5802037	0.8168493
750	0.4455543	0.8621620	0.0450471	0.7859104	0.4148297	0.4533295	0.4035301	0.6542732	0.6693723	0.7922192
800	0.7158202	0.6340898	0.0733354	0.5709441	0.3230714	0.4711830	0.4819672	0.7094662	0.7162375	0.8213146
