YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W	YOR028C
0.5217792	1.0499012	0.9006955	0.1004239	1.0370092	0.8850800	1.0915141	0.7509807	1.0365819	0.6804628
0.6181849	1.0309614	0.9364184	0.1416402	0.8579393	1.0514480	0.9999429	0.9867625	0.8280926	0.9587894
0.2496953	0.8761206	0.7102276	0.0867196	0.8738902	0.9712026	1.0125354	1.0337151	1.0042539	0.9472847
0.3752758	1.0999573	0.9868712	0.1152954	0.9770577	0.9663054	0.9392323	0.9948467	0.9089579	0.8714553
0.4752742	0.9498219	0.8156632	0.0785873	0.8737374	1.0828167	0.8739698	1.1243427	0.7125912	0.8746761
0.3761443	0.9955235	1.1074515	0.1919693	0.7590623	0.3805730	1.0397453	1.0347095	0.9652608	0.8949295
0.4925774	0.8201722	0.8735221	0.5050865	0.3868495	0.6725014	1.0345714	1.0984863	1.0942058	0.9980023
0.5724802	0.9688282	0.8960171	0.1382560	1.0001945	0.9878346	0.9372261	1.0320321	1.0303370	0.9458320
0.3427883	0.9699084	0.8391091	0.1066837	1.0594322	0.8804803	0.9512378	0.6814178	1.0592205	0.9337632
0.4127217	0.9801508	0.8864485	0.0868804	0.9370019	0.8628757	1.0204580	0.7464081	1.0081640	0.8941413
