"Time"	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W

0	0.4416812	0.5857700	0.8905096	0.8277355	0.9120767	0.5581700	1.0360274	0.6082556	0.4888538	0.8954608
50	0.4407440	0.5847654	0.9475013	0.8449950	0.6738439	0.5553267	0.9318470	0.8031600	0.5111150	0.6866703
100	0.4691323	0.6316434	0.8149592	0.8199097	0.5579426	0.5865055	1.0000232	0.7651547	0.4305488	0.6217606
150	0.4454242	0.6274474	0.8433173	0.7437117	0.4966373	0.5332171	0.9539732	0.6985874	0.5059715	0.6802132
200	0.4265269	0.5765798	0.9328559	0.7728817	0.5386364	0.4976401	1.0219054	0.6877276	0.4793527	0.6489690
250	0.4700170	0.6452230	0.9094228	0.7669753	0.5609652	0.6037050	1.0059980	0.6642602	0.4478561	0.6740710
300	0.5052130	0.6215243	0.9142883	0.8186749	0.5431242	0.5507444	1.0313646	0.7074239	0.4229950	0.6586796
350	0.4347106	0.6746691	0.9215811	0.7315070	0.4779646	0.5847965	1.0031861	0.6153905	0.4908794	0.7257819
400	0.4705330	0.6670737	1.0042505	0.8184080	0.5437405	0.5801057	1.0455450	0.8416598	0.4963715	0.5947109
450	0.4970066	0.6541355	0.9651667	0.8014128	0.4927094	0.5658287	0.9534492	0.7072346	0.4733259	0.5850684
500	0.5116892	0.6064484	0.9370751	0.6731652	0.4833481	0.6484860	0.9725621	0.7331006	0.4481356	0.6666002
550	0.5167315	0.5856250	0.8448869	0.7387389	0.6682694	0.5904253	0.9115195	0.6617165	0.4230096	0.6217050
600	0.4392232	0.5912652	0.8406117	0.7480805	0.8307956	0.6270522	0.9907425	0.6642528	0.4504533	0.6996046
650	0.4217961	0.5884430	0.9399347	0.8044486	0.7931437	0.5737637	0.9874005	0.5688877	0.4282310	0.6785434
700	0.4322147	0.5032424	0.8543685	0.7480622	0.8875633	0.6028313	0.9536838	0.5787750	0.4156422	0.7559833
750	0.3622522	0.5300919	0.8382453	0.7705797	0.8806469	0.5812859	0.9704245	0.5819490	0.4403331	0.7908213
800	0.3215158	0.5467245	0.8591169	0.7922945	0.8696732	0.5603208	0.9388727	0.6076213	0.4760673	0.8252005
850	0.3727853	0.5669173	0.9135198	0.8979194	0.8412294	0.5437523	0.9711709	0.6889399	0.4825100	0.6855711
900	0.4557899	0.5772033	0.9304293	0.8807130	0.8897438	0.5167919	1.0729312	0.6672301	0.4368350	0.8057600
950	0.3714505	0.5326157	0.9662480	0.8990455	0.9039840	0.5744978	0.9917205	0.7451890	0.4445633	0.7231152
1000	0.3895281	0.5358794	0.9254453	0.8071701	0.8052055	0.5694494	1.0152011	0.6445940	0.4658510	0.8148600

0	0.4416812	0.5857700	0.8905096	0.8277355	0.9120767	0.5581700	1.0360274	0.6082556	0.4888538	0.8954608
50	0.4245425	0.6211848	0.8457326	0.7620847	0.8071503	0.5956519	0.9279128	0.7580874	0.4221001	0.7252831
100	0.4146378	0.5553252	0.8295433	0.7233186	0.8721226	0.7070725	1.0615888	0.6104352	0.4766896	0.7642869
150	0.4238116	0.4991373	0.8827325	0.6919898	0.8288742	0.6346581	0.9533625	0.7367680	0.4730009	0.6629539
200	0.4174349	0.5223263	0.8905651	0.6967405	0.8148228	0.6109878	0.9488260	0.5885633	0.4213285	0.7194395
250	0.4271921	0.5847836	0.8609313	0.7192577	0.8664028	0.6449087	0.9072063	0.5942640	0.4320664	0.7242003
300	0.3844032	0.5487892	0.8148978	0.7138615	0.8766795	0.7155869	0.9503282	0.6820646	0.4008752	0.6886188
350	0.3725995	0.5124650	0.8331184	0.7072477	0.8439133	0.6240037	0.9840837	0.5543534	0.5128820	0.8199527
400	0.3758006	0.5527417	0.8494668	0.7333370	0.8113502	0.6198197	0.9839483	0.6179988	0.4870513	0.7774331
450	0.4258553	0.6121890	0.8671553	0.6626287	0.8184181	0.6105233	0.8612926	0.7746680	0.4268430	0.6913697
500	0.4471755	0.6448463	0.8729241	0.7776755	0.7997412	0.6686991	1.0690053	0.7469554	0.4083485	0.6764399
550	0.4558786	0.5407411	0.8600920	0.7204081	0.7204506	0.6200795	1.0461668	0.6513487	0.4936041	0.7108435
600	0.4315115	0.5631685	0.9287900	0.7912583	0.8519952	0.5674788	0.9979200	0.6644428	0.4173635	0.6270040
650	0.3879203	0.5645047	0.7969961	0.7998915	0.8337780	0.5795479	0.8676856	0.5960880	0.4537352	0.6909339
700	0.3532595	0.5085578	0.8639069	0.8469209	0.9934973	0.5767150	0.9900623	0.5692388	0.4638537	0.8329900
750	0.3681324	0.4919695	0.7670541	0.8193625	0.9547306	0.5230106	0.9973243	0.5665880	0.4476130	0.7916083
800	0.4049411	0.5047967	0.9174284	0.8194387	0.9216472	0.6069533	1.1083130	0.5580118	0.4504212	0.7571010
850	0.3956139	0.5305796	0.9195574	0.7955943	0.9680568	0.5162809	0.9984648	0.7113139	0.4453873	0.7093508
