YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W
0.0000000	0.4331130	0.0316758	0.6187177	0.0829620	0.2228257	0.7683507	0.7129537	0.7311318	0.1440759
0.0238465	0.0000000	0.0416980	0.6019718	0.0482902	0.3563665	0.7554710	0.6443787	0.7121805	0.2243062
0.2649498	0.5159299	0.0000000	0.7212341	0.0946914	0.3153338	0.6948548	0.7062642	0.6883694	0.2314966
0.2419648	0.5348811	0.0326960	0.0000000	0.5652398	0.7605534	0.7681409	0.7313489	0.7459028	0.1132303
0.4259844	0.8245651	0.0496964	0.7339852	0.0000000	0.2666540	0.7559105	0.3693341	0.3177020	0.6207653
0.3101171	0.4580351	0.0579403	0.6870995	0.0864226	0.0000000	0.7054469	0.7767732	0.7663875	0.1042293
0.0943711	0.2256028	0.8012281	0.2711180	0.6052008	0.8418976	0.0000000	0.7287340	0.6155661	0.0770527
0.3191176	0.4232239	0.0615780	0.4565853	0.1741200	0.5314532	0.2871601	0.0000000	0.7860317	0.1566734
0.4574543	0.7357600	0.0762254	0.5601811	0.1881517	0.5135139	0.3976015	0.0153221	0.0000000	0.7246037
0.2221097	0.3943530	0.0220972	0.6577361	0.0922912	0.2156837	0.6485784	0.8037781	0.7218442	0.0000000
