YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C
0.0000000	0.4229419	0.5660514	0.4908685	0.4871557	0.1078282	0.0755290	0.7350449	0.5389720	0.8615227
0.6168705	0.0000000	0.5154095	0.4386199	0.3688905	0.0701889	0.0934449	0.7889576	0.5842390	0.8096854
0.6793339	0.0196674	0.0000000	0.5088348	0.4475698	0.0908035	0.0580314	0.8034642	0.7580048	0.7073281
0.5888795	0.0397627	0.0184105	0.0000000	0.3937638	0.1330850	0.0746289	0.8087541	0.0246932	0.6839611
0.1951134	0.4179963	0.6081528	0.7649471	0.0000000	0.1579559	0.0836520	0.7422762	0.7516031	0.8447637
0.6845493	0.3457610	0.4864113	0.4137844	0.5584522	0.0000000	0.0927175	0.6808037	0.6580592	0.5578700
0.6642583	0.3212547	0.5759594	0.4315676	0.5789972	0.0228475	0.0000000	0.7542028	0.7212415	0.7282645
0.4974868	0.2826508	0.6168419	0.4098667	0.4323561	0.6413563	0.8058407	0.0000000	0.7308535	0.8595532
0.3705733	0.2913649	0.5355488	0.4295843	0.6201359	0.1485723	0.0555168	0.7221296	0.0000000	0.7299740
0.3585236	0.4452098	0.4729872	0.4632436	0.5375432	0.2015759	0.0864222	0.6847313	0.6247370	0.0000000
