YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W
0.0000000	0.3039884	0.4643395	0.4222190	0.8289881	0.0759854	0.0932954	0.0704182	0.1541451	0.3536605
0.0988763	0.0000000	0.5542252	0.5341664	0.7560495	0.0688800	0.0837442	0.0885674	0.0368293	0.2413599
0.0658017	0.0268557	0.0000000	0.5444314	0.8626740	0.0748307	0.1197777	0.0801797	0.0979099	0.2732172
0.0801140	0.0186839	0.0956073	0.0000000	0.8125754	0.1061174	0.0565768	0.0711502	0.0120234	0.0533621
0.5140405	0.6764500	0.7386732	0.7339709	0.0000000	0.3030604	0.2753998	0.3837905	0.4259258	0.6306948
0.0978435	0.3452161	0.4668451	0.3922865	0.6943773	0.0000000	0.0615014	0.1074912	0.0715646	0.2609497
0.0713511	0.2237885	0.5748067	0.3860078	0.9538864	0.0755517	0.0000000	0.0866585	0.0513271	0.1823124
0.0944809	0.3611795	0.4240190	0.4867356	0.7141371	0.1280670	0.0594738	0.0000000	0.0714822	0.2243241
0.1291541	0.4407650	0.5964692	0.4181964	0.8477131	0.0925785	0.0951864	0.1189540	0.0000000	0.1753954
0.1168979	0.3062978	0.4968912	0.4285380	0.7753100	0.1186226	0.0662090	0.0663216	0.0084943	0.0000000
