YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W
0.4858880	0.0378533	0.3834453	0.7408443	0.6168494	0.3864713	0.1888521	0.9278641	0.4063698	1.0001089
1.1204682	0.0184704	0.3210761	0.9078568	0.6168386	0.4488780	0.1957978	0.8122154	0.4351513	1.0344570
1.0035806	0.0291344	0.1479121	0.9102894	0.5419914	0.4994005	0.1892565	0.8487327	0.5197057	0.8893338
0.1129828	0.2343957	0.7401434	0.3622826	0.6005619	0.5040910	0.2212587	0.8681661	0.3686363	1.0135049
0.5606630	0.1325354	0.5529904	0.3875022	0.3045379	0.3999606	0.2658710	0.8111226	0.3008873	1.0906125
1.0202041	0.0429291	0.3291877	0.7376416	0.5904113	0.1882115	0.1978983	0.9536435	0.4361675	0.9709328
0.9388026	0.0665168	0.5277517	0.5322076	0.3372361	0.5340370	0.0958572	0.9427271	0.3665928	1.0178024
1.0483701	0.0337970	0.2722388	0.8655849	0.7866192	0.3715755	0.4631548	0.4573051	0.3717006	1.0302456
1.0141594	0.0414525	0.4142917	0.7882780	0.6012857	0.3859261	0.2011063	1.0398289	0.2441159	0.9698353
1.0019524	0.0328237	0.3407900	0.9008719	0.7968860	0.3709469	0.4283071	0.4359413	0.9246635	0.5359477
