YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C
0.6104970	0.2035957	0.4771725	0.7728661	0.6117420	0.9609645	0.2042505	0.8139939	0.9237152	0.8441228
0.4347455	0.1781359	0.3575191	0.8487070	0.6621496	0.8710531	0.4601666	0.9200538	0.9368024	1.0220130
0.6366731	0.2872777	0.4812504	0.9449935	0.5672670	1.0020257	0.0053633	0.6734968	0.9036642	0.6687627
0.4415522	0.5537124	0.5363514	0.5997878	0.6740498	0.7818955	0.0346345	0.9300855	1.0017483	1.0104029
0.5534171	0.2725353	0.4577835	0.7527201	0.6389760	0.7281506	0.0088043	0.8356219	1.0178283	1.0169988
0.5596457	0.1104352	0.3767109	0.9651805	0.3357690	0.7137131	0.5812012	0.8074253	0.9553761	0.6951554
0.5004200	0.4195547	0.5513490	0.5677661	0.4947527	0.8349715	0.1568196	0.8369876	1.0446887	1.0000293
0.5791472	0.2959493	0.5334385	0.7928076	0.6878428	1.0892007	0.0005494	0.6864381	0.9468562	0.8154528
0.4132934	0.0835646	0.3158408	0.8757265	0.3371195	0.7907881	0.0104091	0.8388723	1.0473797	0.6709285
0.4217104	0.6308864	0.7682989	0.5280380	0.5292438	0.7975591	0.0767767	0.7836209	0.9848341	1.0855220
