YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C
0.0000004	0.9999519	0.0145072	0.1001964	0.2574394	0.9994252	0.0523790	0.0552207	0.8692724	1.0000000
0.9388204	0.0000000	0.0139246	0.0353923	0.6669660	0.9994369	0.0519428	0.0552194	0.8692724	1.0000000
0.0765456	0.9999521	0.0000004	0.1000652	0.2573230	0.9996104	0.0448559	0.0552041	0.8692724	1.0000000
0.0766602	1.0000000	0.0139054	0.0000000	0.2574302	0.9994371	0.0519292	0.0552194	0.8692724	1.0000000
0.0234372	0.9999997	0.0139246	0.0353923	0.0000002	0.9994368	0.0519432	0.0552195	0.8692724	1.0000000
0.8576988	0.6829382	0.2356036	0.6439426	0.5680630	0.0000000	0.2617142	0.2135231	0.8692724	1.0000000
0.0762427	0.9999529	0.0144986	0.0997582	0.2570636	1.0000000	0.0000003	0.0551914	0.8692724	1.0000000
0.0766713	0.9999518	0.0145072	0.1001984	0.2574412	0.9994223	0.0524810	0.0000001	0.8692724	1.0000000
0.0766694	0.9999519	0.0145072	0.1001964	0.2574394	0.9994252	0.0523792	0.0551914	0.0000000	1.0000000
0.0766694	0.9999519	0.0145072	0.1001964	0.2574394	0.9994252	0.0523792	0.0551914	0.0161252	0.0000000
