YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W
0.3263685	0.8167649	0.9889182	0.0611488	0.9779415	0.0316079	0.9998420	0.0048353	0.0159165	1.0000000
0.3744959	0.4082841	0.9875937	0.0635917	0.9779415	0.0316079	0.9998086	0.0053264	0.0500819	1.0000000
0.4516089	0.4984104	0.4914988	0.0707827	0.9779415	0.0316079	0.9998374	0.0049043	0.0320269	1.0000000
0.6534533	0.8171498	0.9889863	0.0612010	0.9779415	0.0316079	0.9998420	0.0048352	0.0158865	1.0000000
0.6420379	0.7935269	0.9253168	0.1179681	0.4891635	0.0316079	0.9998419	0.0048356	0.0162885	1.0000000
0.6420137	0.7935187	0.9253463	0.1179525	0.9942723	0.0158043	0.9998419	0.0048356	0.0162895	1.0000000
0.5773635	0.6754610	0.7018884	0.2064923	0.9769967	0.0322725	0.4999208	0.0048397	0.0193298	1.0000000
0.6420364	0.7935347	0.9253458	0.1179530	0.9779415	0.0316078	0.9999593	0.0024256	0.0162886	1.0000000
0.6420379	0.7935269	0.9253168	0.1179681	0.9779415	0.0316079	0.9998422	0.0048319	0.0081502	1.0000000
0.6420372	0.7935188	0.9253034	0.1179708	0.9779415	0.0316079	0.9998369	0.0049155	0.0333692	0.5000010
