YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C
0.0000000	0.7254111	0.0802531	0.6966028	0.2774355	0.8168271	0.3168004	0.7064527	0.5320606	0.8200357
0.0147641	0.0000000	0.3827034	0.2943370	0.1865233	0.7896443	0.3959999	0.6168311	0.4574927	0.9475347
0.5713690	0.7223306	0.0000000	0.5208742	0.5218036	0.1939589	0.5346884	0.7861251	0.7155018	0.7913330
0.5763124	0.9556757	0.0654614	0.0000000	0.5334703	0.3183378	0.6330901	0.8593415	0.7572040	0.7306757
0.5983110	0.9602161	0.1044125	0.7849232	0.0000000	0.5309774	0.2735328	0.8111929	0.6895521	0.8017928
0.5064491	0.7724066	0.0952235	0.3625972	0.8547530	0.0000000	0.5538109	0.8520032	0.8216120	0.7514977
0.6101128	0.7693686	0.0570473	0.7052956	0.1973680	0.8471666	0.0000000	0.6271609	0.5774556	0.8360750
0.6168565	0.6809005	0.0723792	0.4618804	0.6815990	0.0539635	0.8193752	0.0000000	0.8102828	0.7258382
0.7372938	0.8590713	0.0690510	0.3583219	0.6861000	0.1044894	0.9120553	0.0154848	0.0000000	0.8198881
0.6264487	0.6551450	0.0596923	0.5772048	0.5902065	0.2965617	0.5606098	0.8735463	0.9197931	0.0000000
