YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W
0.0145605	0.8896147	1.0667310	0.0208983	0.2160869	0.4410399	0.6112833	0.0861733	0.8999418	0.9533585
0.2488295	0.4597661	1.0813093	0.0345409	0.2271897	0.5027152	0.6121081	0.0854127	0.9870307	1.0743050
0.1493413	0.5330796	0.5111523	0.0318306	0.1942554	0.3885171	0.7505042	0.0586921	0.9433219	1.0805658
0.0600289	0.8738049	1.0350469	0.0195550	0.2279537	0.4924078	0.5642579	0.0773102	0.8748535	1.0095982
0.0511725	0.9271674	1.0145792	0.0129205	0.0814236	0.3957099	0.5961277	0.0722453	0.9323144	1.0369077
0.1770658	0.8944228	0.9467113	0.0311718	0.0727538	0.1973538	0.6151540	0.0780429	0.9347065	1.0412924
0.0514141	1.0221901	1.0404539	0.0281966	0.2011710	0.4346787	0.3370135	0.1079923	0.9316914	1.0890516
0.0745676	0.9025280	1.0417046	0.0266196	0.1291564	0.2752697	0.5702283	0.0335958	1.0511228	1.0403902
0.0315621	0.9142461	0.9521977	0.0233389	0.4093378	0.6487821	0.5539295	0.1613747	0.4160647	0.9540767
0.0098662	0.9385732	1.0173430	0.0506715	0.4554728	0.8584698	0.2099786	0.3834901	0.3867993	0.5271574
