"Time"	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W

0	0.0938066	0.0375784	0.6503084	0.8009438	0.9907585	0.0671155	0.0663712	0.2897708	0.5232187	0.0117585
50	0.0935548	0.0344780	0.6503024	0.7946248	0.7589881	0.0633326	0.0247029	0.3277919	0.8085636	0.0117312
100	0.0926081	0.0327399	0.6569658	0.7461085	0.5582291	0.0521307	0.0058593	0.4291254	0.8693504	0.0116677
150	0.0918274	0.0329786	0.6867189	0.6531319	0.4753741	0.0436637	0.0014991	0.4987243	0.8756779	0.0116252
200	0.0917088	0.0348412	0.7433574	0.5536200	0.4473792	0.0393629	0.0005749	0.5303161	0.8763028	0.0116040
250	0.0923807	0.0384053	0.8095963	0.4746923	0.4388156	0.0374982	0.0003707	0.5423240	0.8763651	0.0115947
300	0.0939068	0.0434006	0.8667202	0.4219249	0.4363610	0.0367529	0.0003199	0.5464779	0.8763718	0.0115907
350	0.0962119	0.0489191	0.9074643	0.3901959	0.4356938	0.0364693	0.0003056	0.5478356	0.8763729	0.0115892
400	0.0989675	0.0538765	0.9333190	0.3724119	0.4355220	0.0363648	0.0003014	0.5482631	0.8763735	0.0115885
450	0.1016910	0.0576306	0.9485788	0.3629200	0.4354806	0.0363272	0.0003001	0.5483943	0.8763740	0.0115883
500	0.1039844	0.0601196	0.9571771	0.3580303	0.4354716	0.0363139	0.0002997	0.5484340	0.8763745	0.0115882
550	0.1059012	0.0630089	0.9616419	0.3722189	0.6690414	0.0364061	0.0147610	0.5155584	0.5910361	0.0115882
600	0.1069083	0.0579788	0.9585115	0.4561442	0.8718714	0.0372308	0.0227592	0.4165239	0.5302537	0.0115888
650	0.1051651	0.0499265	0.9360425	0.5670836	0.9562925	0.0387766	0.0313520	0.3437669	0.5239268	0.0115908
700	0.1017579	0.0439763	0.8894973	0.6593781	0.9851705	0.0415392	0.0439060	0.3097172	0.5233015	0.0115972
750	0.0985744	0.0406568	0.8297481	0.7218619	0.9939238	0.0464017	0.0551219	0.2965683	0.5232385	0.0116157
800	0.0963862	0.0390124	0.7725027	0.7595598	0.9958999	0.0526303	0.0617182	0.2919768	0.5232301	0.0116487
850	0.0951123	0.0382344	0.7271045	0.7806395	0.9955125	0.0583394	0.0646752	0.2904662	0.5232266	0.0116861
900	0.0944386	0.0378723	0.6953959	0.7917358	0.9943355	0.0623954	0.0657991	0.2899874	0.5232237	0.0117167
