YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W
0.0000000	0.4107882	0.9467072	0.8254807	0.7092271	0.1472780	1.0244572	0.6308214	0.5691317	0.9658355
0.9745141	0.0000000	0.9907938	0.6785797	0.4852302	0.4684366	0.4424401	0.5883592	0.6639341	1.0336996
0.3694395	1.0715212	0.0000000	0.8145915	0.6986294	0.1613128	1.0661053	0.1305421	0.6038622	1.0833254
0.3972358	1.0130739	0.0274636	0.0000000	0.8652938	0.1643359	1.1575065	0.1346496	0.6439305	1.0859222
0.5012102	1.0309746	0.0321773	0.0260385	0.0000000	0.1382938	0.9150029	0.1597386	0.7167312	1.0157660
0.5574119	0.8653107	0.7890929	0.7713791	0.6255900	0.0000000	1.0601308	0.3016913	0.6826723	1.2014723
0.7095020	0.4834671	0.8934243	0.7236477	0.4564576	1.0078832	0.0000000	0.4659225	0.6564384	1.0283041
0.7567570	0.4656686	0.9362923	0.8366272	0.6931055	0.1372376	0.8520011	0.0000000	0.6447655	0.9304443
0.6520923	0.5699116	0.9360180	0.6637801	0.3994936	0.8994159	0.1872556	0.8734521	0.0000000	1.1030057
0.6320763	0.6109413	0.8535525	0.6292246	0.3862519	0.9829847	0.0991468	0.9196282	0.0354004	0.0000000
