YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C
0.0000000	0.7305935	0.5770684	0.7474730	0.0261988	0.2403863	0.8343441	0.1145249	0.7313944	0.5257811
0.0152399	0.0000000	0.5532960	0.7474612	0.0113861	0.1945263	0.6466459	0.1166249	0.7483698	0.5274816
0.0213206	0.0248512	0.0000000	0.6221996	0.0090177	0.2078050	0.6741263	0.5388788	0.7827508	0.7278404
0.0212766	0.0155823	0.0311590	0.0000000	0.0013934	0.1542292	0.5571665	0.5507232	0.7031921	0.7594357
0.7826319	0.7339224	0.5422824	0.6480710	0.0000000	0.1665314	0.7842795	0.0788354	0.8210082	0.5406681
0.6118934	0.7706094	0.6644567	0.6760345	0.0057789	0.0000000	0.6720237	0.1210245	0.7577297	0.5063639
0.1745266	0.1063625	0.1699858	0.3472461	0.7421435	0.7572139	0.0000000	0.1247490	0.7605313	0.6856791
0.7880018	0.7142279	0.6264397	0.7053269	0.0199034	0.2051483	0.6958429	0.0000000	0.6615384	0.1491013
0.7167933	0.7318594	0.5673727	0.6671304	0.0095395	0.1280040	0.7127797	0.0719116	0.0000000	0.6664688
0.6402937	0.7665903	0.5484022	0.5444799	0.0458406	0.2117985	0.5641314	0.2472970	0.0070928	0.0000000
