"Time"	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W

0	0.2189937	0.5559373	0.5970277	0.9447952	0.0389093	0.0134990	0.0418779	1.0000000	1.0000000	1.0000000
50	0.2186977	0.5510703	0.6003701	0.9426229	0.0452824	0.0135005	0.0418779	1.0000000	0.4818699	1.0000000
100	0.2176104	0.5629608	0.5104075	0.8971586	0.0474833	0.0135057	0.0418779	1.0000000	0.2988495	1.0000000
150	0.2247846	0.6237586	0.4195250	0.7850512	0.0482434	0.0135116	0.0418779	1.0000000	0.2342008	1.0000000
200	0.2524387	0.7105889	0.3611538	0.6701293	0.0485058	0.0135161	0.0418779	1.0000000	0.2113648	1.0000000
250	0.2985332	0.7872646	0.3253532	0.6007702	0.0485960	0.0135188	0.0418779	1.0000000	0.2032983	1.0000000
300	0.3491221	0.8412087	0.3030334	0.5676779	0.0486261	0.0135202	0.0418779	1.0000000	0.2004490	1.0000000
350	0.3923286	0.8753494	0.2897104	0.5534694	0.0486349	0.0135209	0.0418779	1.0000000	0.1994425	1.0000000
400	0.4239816	0.8957228	0.2823350	0.5477005	0.0486362	0.0135212	0.0418779	1.0000000	0.1990870	1.0000000
450	0.4450366	0.9073456	0.2785434	0.5454384	0.0486349	0.0135214	0.0418779	1.0000000	0.1989614	1.0000000
500	0.4581553	0.9137057	0.2767109	0.5445730	0.0486332	0.0135214	0.0418779	1.0000000	0.1989171	1.0000000
550	0.4662170	0.9219234	0.2758586	0.6433246	0.0422587	0.0135186	0.0418779	1.0000000	0.7170315	1.0000000
600	0.4714767	0.9073618	0.3989865	0.8264765	0.0400566	0.0135117	0.0418779	1.0000000	0.9000463	1.0000000
650	0.4645624	0.8316875	0.5009891	0.9028222	0.0392958	0.0135059	0.0418779	1.0000000	0.9646931	1.0000000
700	0.4323414	0.7309890	0.5549164	0.9300408	0.0390332	0.0135024	0.0418779	1.0000000	0.9875285	1.0000000
750	0.3799237	0.6521609	0.5794769	0.9395786	0.0389436	0.0135005	0.0418779	1.0000000	0.9955946	1.0000000
800	0.3255842	0.6042749	0.5899367	0.9429406	0.0389146	0.0134996	0.0418779	1.0000000	0.9984439	1.0000000
850	0.2826704	0.5788042	0.5942242	0.9441360	0.0389068	0.0134992	0.0418779	1.0000000	0.9994503	1.0000000
