YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C
0.0425446	0.0733080	0.3253455	0.2492512	0.5379629	0.6428540	0.6156002	1.0000000	0.3151510	0.9971370
0.0841221	0.0516959	0.3611007	0.2285309	0.5785283	0.6428540	0.6156002	1.0000000	0.3349354	0.9990578
0.0837444	0.0220046	0.1920319	0.2162951	0.6062537	0.6428540	0.6156002	1.0000000	0.3482102	0.9999712
0.0847900	0.0510030	0.3835032	0.1542483	0.5661829	0.6428540	0.6156002	1.0000000	0.2708818	0.9995175
0.0837345	0.0177648	0.1546373	0.4614860	0.3038403	0.6428540	0.6156002	1.0000000	0.2095034	0.9999983
0.0881780	0.0427414	0.2279451	0.2674048	0.7194518	0.3214270	0.6156002	1.0000000	0.3021521	0.9953329
0.1288397	0.0843729	0.2135485	0.3570834	0.5191612	0.0895676	0.3078001	1.0000000	0.2567194	0.9857820
0.2615209	0.2219028	0.2955669	0.3589917	0.3497301	0.1316896	0.3442314	0.5000000	0.2743545	0.9696234
0.0850892	0.0733080	0.3253455	0.2492512	0.5379629	0.6428540	0.6156002	1.0000000	0.1572218	0.9997895
0.0850892	0.0733080	0.3253455	0.2492512	0.5379629	0.6428540	0.6156002	1.0000000	0.5136426	0.4917208
