"Time"	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C

0	0.1746193	0.0739191	0.0865317	0.1895130	0.2584528	0.6088366	0.0693170	0.0048998	1.0237475	1.0367052
50	0.1254586	0.1146017	0.0835866	0.1316161	0.5002140	0.6626138	0.0757638	0.0035167	0.9490622	1.0532472
100	0.1076339	0.0845563	0.0498182	0.1410339	0.6908042	0.6573508	0.0712292	0.0051882	1.1019584	1.0339386
150	0.1334641	0.1529353	0.0300663	0.1584206	0.8498399	0.6093600	0.0569483	0.0022230	1.1072373	1.0158632
200	0.1380581	0.1371213	0.0384938	0.1452846	0.9014166	0.7185582	0.0651584	0.0004220	1.0278633	1.0973398
250	0.1312563	0.1170168	0.0406103	0.1186755	0.9563224	0.6847488	0.0457759	0.0046721	1.0132812	1.1294668
300	0.1304257	0.1094834	0.0351052	0.0843000	0.8954751	0.6807962	0.0799133	0.0106470	1.0647902	0.9835167
350	0.0944830	0.1019223	0.0333934	0.1190572	0.9668266	0.7415011	0.0781049	0.0043410	1.0267959	1.0187443
400	0.1096391	0.1140232	0.0308457	0.1221863	0.9798532	0.6920075	0.0663129	0.0015183	0.9617766	1.0467094
450	0.1089999	0.0895607	0.0329706	0.0997627	0.9218727	0.5533353	0.0661346	0.0144183	0.9357711	1.0469358
500	0.0991464	0.1056100	0.0303289	0.1015232	0.9492395	0.5524376	0.0777664	0.0133533	0.9760292	1.0385801
550	0.1083168	0.1009687	0.0343925	0.1374066	0.6930158	0.5854453	0.0792191	0.0074826	0.9704850	1.0203249
600	0.1249123	0.0784279	0.0668941	0.1190187	0.3889641	0.5800808	0.0765064	0.0095535	1.0029822	0.9972037
650	0.1297335	0.0834378	0.0379856	0.1371936	0.2980096	0.6932338	0.0569692	0.0090744	1.0001061	0.9557453
700	0.0997940	0.0856770	0.0243731	0.1504237	0.3109747	0.6556667	0.0456451	0.0142678	0.9933446	0.9742523
750	0.1214743	0.0679899	0.0947937	0.2094131	0.2372170	0.6031602	0.0595135	0.0141343	0.9122899	0.9799371
800	0.1275654	0.0679125	0.0929634	0.1814269	0.2318431	0.6264638	0.0673592	0.0154482	0.9117406	1.0111851
850	0.1312527	0.0741954	0.0814546	0.1785503	0.2770303	0.6158396	0.0569680	0.0153101	0.9370133	1.0227256
