YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C
0.1072124	0.8869584	0.2353186	0.4310846	0.0931197	0.4122066	0.2278666	0.5684635	0.9425882	1.1211258
0.5112330	0.5332554	0.2337199	0.4651760	0.1859067	0.4437707	0.2515355	0.5435219	1.0208003	0.9338172
0.2262511	0.9159997	0.1207719	0.3720787	0.0569613	0.3753231	0.2887041	0.7138270	0.9157794	1.0543087
0.2184328	1.0119870	0.5112188	0.1857009	0.0593994	0.3664542	0.2927264	0.6047863	0.9338595	0.9803295
0.2530307	1.1289766	0.2400592	0.4595755	0.0240823	0.4816641	0.2094896	0.5273153	0.9901010	0.9356407
0.2073602	1.0458010	0.4656369	0.2717096	0.0473146	0.3114703	0.2045327	0.5990166	0.8383684	0.9625511
0.2254482	0.9553780	0.1339700	0.6283982	0.2797340	0.8177368	0.1107591	0.5508910	0.8940851	1.0029863
0.2490400	0.9528656	0.3463045	0.3032904	0.0535977	0.3823673	0.2760227	0.3558559	0.9708720	0.9776523
0.2043474	0.9976966	0.2161743	0.4601832	0.0893356	0.3647612	0.2597961	0.9719720	0.5242041	1.0875476
0.2677578	1.0600342	0.2313025	0.3956466	0.0713011	0.4711422	0.2573018	0.8985134	0.8480367	0.4967776
