YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W
0.0000025	0.9274023	0.4422850	0.7810189	0.5774164	0.3704465	0.1200769	0.9451385	0.3612398	1.0000000
0.9057903	0.0000058	0.4422853	0.7810190	0.5774165	0.3704470	0.1200769	0.9451385	0.3612398	1.0000000
0.7873862	0.9994488	0.0000008	0.8474041	0.7552961	0.0932168	0.1200753	0.9451462	0.3612378	1.0000000
0.7493496	0.5028872	0.4861046	0.0000000	0.6141848	0.7514558	0.2735672	0.6005349	0.4592581	1.0000000
0.7135146	0.7954534	0.0289548	0.0056207	0.0000000	0.5159498	0.2735479	0.6005581	0.4592511	1.0000000
0.7873349	1.0000000	0.2188254	0.6579748	0.3962634	0.0000000	0.1200826	0.9451120	0.3612466	1.0000000
0.7891329	0.9720126	0.4191953	0.7715590	0.5584883	0.2800893	0.0000004	0.9451372	0.3612401	1.0000000
0.5140413	0.4503734	0.4887728	0.7988260	0.6164666	0.7972216	0.9999961	0.0000000	0.5802296	1.0000000
0.7468481	0.4947762	0.4865281	0.7979978	0.6145374	0.7582567	0.2837045	0.5885541	0.0000000	1.0000000
0.7618670	0.5968457	0.4809369	0.7959242	0.6097606	0.6753303	0.2148039	0.6847629	0.0939261	0.0000000
