YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W
0.6687797	0.4266143	1.0371059	0.9438470	0.7156621	0.3242795	0.5484075	0.6625431	0.5808605	0.9211259
0.6996121	0.4472996	1.0344591	0.6382096	0.4818327	0.6738965	0.2970338	0.6601424	0.6277323	1.0419840
0.9359451	0.2682938	1.0388284	0.9321014	0.7689949	0.1861985	0.9612078	0.2850736	0.8939109	0.7081984
0.6792199	0.5960117	0.8929637	0.8215443	0.6729694	0.2706423	0.6114688	0.5537968	0.6586068	1.0663199
0.7907972	0.3862312	1.0012304	0.7565538	0.3954491	0.7732933	0.2512789	0.5671043	0.6898481	0.9475538
0.5314821	0.5619548	1.0346226	0.8951064	0.6510839	0.1775505	0.8468081	0.4579843	0.6343404	0.8549820
0.5881143	0.4105822	0.9187204	0.8555088	0.8923855	0.1486120	1.0365267	0.2162630	0.7562348	1.0531831
0.7141243	0.3820605	0.9510474	0.8494541	0.8089780	0.5220165	0.6767085	0.4958344	0.4947497	0.7695849
0.5175405	0.3801031	0.9313513	0.7710729	0.3885060	0.3624013	0.4186335	0.5944009	0.6465675	1.0223818
0.8104573	0.4206027	1.0423586	0.9791837	0.8383123	0.2035862	0.7462127	0.4924950	0.5530785	0.7491939
