"Time"	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C

0	0.9685722	0.8606478	0.1120947	0.0848888	0.1276841	0.2277868	0.9306400	0.8593558	0.2416461	0.8981476
50	1.0285051	0.9145940	0.1686688	0.1661023	0.3216221	0.1236297	1.0211169	0.9690020	0.1971582	1.0430224
100	0.9398842	0.6852323	0.3216204	0.2362787	0.4384402	0.0688731	1.0087711	1.0981979	0.1878622	0.9913295
150	0.8728194	0.5206509	0.4552724	0.2660257	0.5021213	0.0512831	0.9655058	0.9767321	0.1655270	1.0597755
200	0.8440949	0.3812590	0.4727471	0.3778131	0.5971828	0.0497744	0.9458074	0.9324836	0.2178779	0.9254959
250	0.7239986	0.3072401	0.5304797	0.4065365	0.6025045	0.0419305	1.1623192	0.9694108	0.2199475	0.9555467
300	0.5819373	0.3123051	0.6106835	0.4291852	0.6947552	0.0140327	1.0243997	0.9879169	0.2455422	0.8781420
350	0.5014821	0.3554245	0.5042703	0.4813580	0.5959854	0.0470231	0.9436382	0.9778600	0.2022175	0.8173670
400	0.5074336	0.3629837	0.3997809	0.5018536	0.6260945	0.0670188	0.9770850	0.8661025	0.2070952	0.8781566
450	0.6387416	0.4114766	0.4518941	0.5016299	0.6955702	0.0636063	0.9139658	0.8753530	0.2175373	0.8810855
500	0.6364370	0.3216470	0.5568309	0.5517288	0.6881218	0.0366077	0.9831580	0.8222357	0.1819891	0.9394188
550	0.6440006	0.3373131	0.5882929	0.4689302	0.4916297	0.1538517	1.0118201	0.9355218	0.2191319	0.8693239
600	0.6890810	0.3419852	0.3847671	0.3807070	0.2800647	0.2064009	0.9261235	1.0953348	0.2781214	0.7682768
650	0.6403235	0.3517528	0.2234704	0.2779987	0.2371595	0.2278266	0.9444859	0.9380715	0.2284519	0.8418511
700	0.6929322	0.4913848	0.1466597	0.1889784	0.1590560	0.2577092	0.9626115	0.9838464	0.1991278	0.9116419
750	0.8457304	0.7589703	0.1554910	0.1648785	0.1486112	0.2769181	0.9459870	0.9457203	0.2385402	0.9160785
800	1.0121018	0.7425637	0.1382285	0.1132320	0.1392218	0.2256005	1.0321071	0.9570195	0.2287889	0.9043976
850	0.9650090	0.8063678	0.1046483	0.0801555	0.1551856	0.2555867	0.9834849	0.8065736	0.2319337	0.8739004
900	0.9501741	0.8261815	0.1290241	0.0641267	0.1557681	0.2111731	1.0062183	0.9068800	0.2961288	0.9813035
950	0.8900870	0.8047484	0.1410437	0.0759263	0.1388062	0.2559066	0.9089610	0.8330154	0.2817480	0.9628457
1000	0.9973331	0.8677843	0.1524721	0.0698351	0.1333967	0.3112959	0.8668300	0.9492314	0.2274862	0.9771159

0	0.9685722	0.8606478	0.1120947	0.0848888	0.1276841	0.2277868	0.9306400	0.8593558	0.2416461	0.8981476
50	1.0044321	0.9273909	0.1316965	0.0951746	0.1200486	0.1054979	0.9928265	0.9580090	0.1998939	0.7045210
100	0.9665673	0.8615375	0.0478452	0.0983428	0.1028546	0.0312566	1.0413758	0.9581418	0.2474485	0.3312981
150	0.9452188	1.0385208	0.0376660	0.1069444	0.0773988	0.0081967	1.1193585	0.8832329	0.4717274	0.1352197
200	1.0452577	1.0274670	0.0389946	0.0961401	0.0940109	0.0156665	0.9504116	0.8420892	0.6182046	0.0835818
250	1.0200985	1.0626567	0.0410474	0.0679329	0.0974900	0.0142869	1.0070913	0.7924040	0.7145420	0.0754549
300	1.0702555	0.9857738	0.0219242	0.0738286	0.0839730	0.0181558	0.9415995	0.6401495	0.8612249	0.0676762
350	1.0839605	1.0102338	0.0223493	0.0806462	0.0802064	0.0381522	0.9639217	0.5669184	0.9337249	0.0458337
400	0.9777935	0.9595278	0.0254792	0.0942344	0.0970166	0.0227747	0.9629274	0.5273155	1.0293235	0.0566005
450	1.0429355	0.9497056	0.0300847	0.0783175	0.0779007	0.0214934	0.9774021	0.4540405	0.9504491	0.0630509
500	1.0432266	1.0187987	0.0472976	0.0607585	0.0744171	0.0247872	1.0372222	0.4798291	0.9153954	0.0450483
550	1.0093199	1.0417019	0.0289277	0.0732842	0.0707064	0.1897345	1.0786948	0.4225798	0.8180747	0.3874158
600	0.9254940	1.0500434	0.0250561	0.0659796	0.0707603	0.2328266	1.0658284	0.5781172	0.4994688	0.6243144
650	0.9095457	0.9822574	0.0280039	0.0635079	0.0864723	0.1960280	1.0184794	0.7447719	0.3018593	0.8573510
700	0.9798641	0.9824364	0.0628432	0.0563181	0.1172782	0.2535284	0.9487399	0.8937738	0.3491294	0.9562487
750	1.0078406	0.8851178	0.0929791	0.1340668	0.1308504	0.3089670	0.9155844	0.9199136	0.2610926	0.9604693
800	0.9325701	0.9080330	0.0964498	0.1070867	0.1536414	0.2810570	0.8896479	1.0202021	0.2454700	0.9373161
