YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W
0.1759221	0.4724061	0.2026810	0.3143191	0.3829224	0.2573512	0.2161473	0.0003830	0.0582065	0.6763611
0.2048824	0.4907662	0.2363494	0.4424745	0.4892648	0.0587609	0.3891346	0.0147173	0.0648993	0.9025748
0.4217914	0.8014680	0.0013222	0.0960603	0.4999035	0.2023564	0.0001740	0.1491766	0.0812585	0.7790568
0.1671227	0.5376742	0.0923036	0.2838424	0.5461293	0.0451077	0.3193574	0.0001608	0.0697708	0.6560229
0.3928528	0.2202298	0.2684701	0.1606249	0.3933676	0.2233253	0.1759018	0.0552965	0.0652337	0.5968796
0.3099543	0.7300463	0.0606831	0.2098678	0.3183652	0.5037527	0.1280067	0.2114135	0.4101589	0.2151438
0.1752464	0.5148818	0.1954065	0.2646483	0.2770634	0.2116650	0.4710383	0.0290202	0.0706946	0.7500330
0.2853884	0.5732734	0.0399957	0.3410219	0.2857672	0.7135263	0.0266918	0.3845172	0.0492090	0.7054545
0.1210575	0.7272613	0.1315610	0.3386488	0.6623203	0.1008140	0.4837203	0.0009162	0.0758759	0.5400987
0.2821640	0.4431071	0.1258052	0.2637058	0.5960616	0.0573282	0.1073557	0.0195407	0.1464910	0.4702597
