"Time"	YIR023W	YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W

0	0.7073421	1.0000000	1.0000000	0.0440477	0.9999957	0.0479694	0.0436991	0.9750395	0.9999620	0.0271698
50	0.7073422	1.0000000	1.0000000	0.0812404	0.9999955	0.0150517	0.0152596	0.9744875	0.9304094	0.1892081
100	0.7073422	1.0000000	1.0000000	0.3760485	0.9999948	0.0047505	0.0056917	0.9725588	0.8968433	0.2297832
150	0.7073422	1.0000000	1.0000000	0.6448977	0.9999941	0.0015296	0.0024774	0.9700133	0.8735836	0.2454540
200	0.7073422	1.0000000	1.0000000	0.7851452	0.9999933	0.0005247	0.0014033	0.9674410	0.8551824	0.2797896
250	0.7073422	1.0000000	1.0000000	0.8683995	0.9999927	0.0002132	0.0010501	0.9650218	0.8336023	0.3357779
300	0.7073422	1.0000000	1.0000000	0.9233846	0.9999919	0.0001193	0.0009398	0.9624449	0.7996387	0.3906506
350	0.7073422	1.0000000	1.0000000	0.9556603	0.9999907	0.0000954	0.0009119	0.9589592	0.7527300	0.4325772
400	0.7073422	1.0000000	1.0000000	0.9726435	0.9999887	0.0000966	0.0009150	0.9537547	0.7014337	0.4603677
450	0.7073422	1.0000000	1.0000000	0.9811695	0.9999858	0.0001090	0.0009343	0.9464193	0.6554225	0.4771282
500	0.7073422	1.0000000	1.0000000	0.9854213	0.9999819	0.0001274	0.0009671	0.9372254	0.6197445	0.4866174
550	0.7073422	1.0000000	1.0000000	0.9844034	0.9999788	0.0331202	0.0295139	0.9292948	0.6761389	0.3343184
600	0.7073422	1.0000000	1.0000000	0.9723175	0.9999807	0.0434299	0.0391627	0.9303466	0.7636794	0.2964045
650	0.7073422	1.0000000	1.0000000	0.9533461	0.9999852	0.0466224	0.0424118	0.9390299	0.8344463	0.2835801
700	0.7073422	1.0000000	1.0000000	0.9350278	0.9999891	0.0475951	0.0434673	0.9489685	0.8780387	0.2744425
750	0.7073422	1.0000000	1.0000000	0.9197498	0.9999915	0.0478839	0.0437720	0.9568124	0.9033681	0.2655299
800	0.7073422	1.0000000	1.0000000	0.9063702	0.9999928	0.0479654	0.0438307	0.9621359	0.9188891	0.2570857
850	0.7073422	1.0000000	1.0000000	0.8936308	0.9999936	0.0479858	0.0438188	0.9655319	0.9293860	0.2493028
900	0.7073422	1.0000000	1.0000000	0.8808740	0.9999940	0.0479890	0.0437938	0.9676722	0.9371956	0.2419965
950	0.7073422	1.0000000	1.0000000	0.8676932	0.9999943	0.0479879	0.0437719	0.9690514	0.9434699	0.2348833
1000	0.7073422	1.0000000	1.0000000	0.8536567	0.9999945	0.0479860	0.0437558	0.9699838	0.9488299	0.2277028

0	0.7073421	1.0000000	1.0000000	0.0440477	0.9999957	0.0479694	0.0436991	0.9750395	0.9999620	0.0271698
50	0.6798716	0.5838439	1.0000000	0.3794949	0.9999957	0.0479694	0.0436989	0.9750406	0.9999684	0.0155916
100	0.5905787	0.4513663	1.0000000	0.4792256	0.9999957	0.0479694	0.0436989	0.9750413	0.9999809	0.0146873
150	0.4949247	0.4091939	1.0000000	0.5088958	0.9999957	0.0479694	0.0436988	0.9750419	0.9999880	0.0192716
200	0.4289478	0.3957689	1.0000000	0.5177774	0.9999957	0.0479694	0.0436988	0.9750425	0.9999882	0.0246555
250	0.3926383	0.3914953	1.0000000	0.5205415	0.9999957	0.0479694	0.0436988	0.9750428	0.9999818	0.0283501
300	0.3750352	0.3901348	1.0000000	0.5215292	0.9999957	0.0479694	0.0436988	0.9750427	0.9999710	0.0303403
350	0.3671351	0.3897017	1.0000000	0.5219735	0.9999957	0.0479694	0.0436988	0.9750424	0.9999595	0.0312873
400	0.3637640	0.3895639	1.0000000	0.5222090	0.9999957	0.0479694	0.0436988	0.9750419	0.9999501	0.0317123
450	0.3623747	0.3895200	1.0000000	0.5223383	0.9999957	0.0479694	0.0436988	0.9750413	0.9999437	0.0318999
500	0.3618163	0.3895060	1.0000000	0.5224074	0.9999957	0.0479694	0.0436988	0.9750408	0.9999397	0.0319836
550	0.4201806	0.8056577	1.0000000	0.1884549	0.9999957	0.0479694	0.0436988	0.9750403	0.9999127	0.0459821
600	0.5406144	0.9381338	1.0000000	0.0901765	0.9999957	0.0479694	0.0436988	0.9750392	0.9998765	0.0346829
650	0.6252794	0.9803058	1.0000000	0.0594258	0.9999957	0.0479694	0.0436988	0.9750378	0.9998913	0.0293331
700	0.6701793	0.9937306	1.0000000	0.0492434	0.9999957	0.0479694	0.0436988	0.9750373	0.9999194	0.0277455
750	0.6913552	0.9980042	1.0000000	0.0458167	0.9999957	0.0479694	0.0436988	0.9750378	0.9999398	0.0273203
800	0.7007046	0.9993647	1.0000000	0.0446539	0.9999957	0.0479694	0.0436988	0.9750387	0.9999514	0.0272093
850	0.7046570	0.9997978	1.0000000	0.0442561	0.9999957	0.0479694	0.0436988	0.9750396	0.9999573	0.0271803
900	0.7062771	0.9999356	1.0000000	0.0441191	0.9999957	0.0479694	0.0436988	0.9750403	0.9999601	0.0271726
950	0.7069261	0.9999795	1.0000000	0.0440716	0.9999957	0.0479694	0.0436988	0.9750408	0.9999614	0.0271706
1000	0.7071816	0.9999935	1.0000000	0.0440551	0.9999957	0.0479694	0.0436988	0.9750411	0.9999620	0.0271700

0	0.7073421	1.0000000	1.0000000	0.0440477	0.9999957	0.0479694	0.0436991	0.9750395	0.9999620	0.0271698
50	0.8557020	0.3545167	0.9375301	0.0439676	0.9999958	0.0479694	0.0436989	0.9750406	0.9999641	0.0246184
100	0.8844709	0.1490361	0.9122360	0.0438440	0.9999958	0.0479694	0.0436989	0.9750411	0.9999675	0.0259768
150	0.8733061	0.0836242	0.9019944	0.0438673	0.9999958	0.0479694	0.0436988	0.9750414	0.9999674	0.0278776
200	0.8600855	0.0628012	0.8978476	0.0440256	0.9999958	0.0479694	0.0436988	0.9750416	0.9999637	0.0292260
250	0.8524199	0.0561725	0.8961685	0.0442333	0.9999958	0.0479694	0.0436988	0.9750415	0.9999584	0.0299845
300	0.8487659	0.0540623	0.8954887	0.0444184	0.9999958	0.0479694	0.0436988	0.9750414	0.9999534	0.0303628
350	0.8471638	0.0533906	0.8952134	0.0445516	0.9999958	0.0479694	0.0436988	0.9750411	0.9999496	0.0305383
400	0.8464929	0.0531768	0.8951020	0.0446346	0.9999958	0.0479694	0.0436988	0.9750409	0.9999471	0.0306162
450	0.8462203	0.0531087	0.8950568	0.0446815	0.9999958	0.0479694	0.0436988	0.9750406	0.9999455	0.0306498
500	0.8461118	0.0530870	0.8950386	0.0447061	0.9999958	0.0479694	0.0436988	0.9750405	0.9999447	0.0306640
550	0.4436360	0.6985634	0.9575010	0.0448834	0.9999957	0.0479694	0.0436988	0.9750403	0.9999407	0.0338967
600	0.5009932	0.9040418	0.9827921	0.0451565	0.9999957	0.0479694	0.0436988	0.9750402	0.9999341	0.0319890
650	0.5974131	0.9694530	0.9930325	0.0450804	0.9999957	0.0479694	0.0436988	0.9750399	0.9999348	0.0298215
700	0.6558299	0.9902758	0.9971789	0.0447867	0.9999957	0.0479694	0.0436988	0.9750398	0.9999411	0.0284665
750	0.6847574	0.9969044	0.9988577	0.0444994	0.9999957	0.0479694	0.0436988	0.9750399	0.9999483	0.0277643
800	0.6978507	0.9990146	0.9995375	0.0442981	0.9999957	0.0479694	0.0436988	0.9750401	0.9999539	0.0274318
850	0.7034701	0.9996863	0.9998127	0.0441777	0.9999957	0.0479694	0.0436988	0.9750405	0.9999576	0.0272823
900	0.7057968	0.9999001	0.9999242	0.0441118	0.9999957	0.0479694	0.0436988	0.9750408	0.9999599	0.0272173
950	0.7067357	0.9999682	0.9999693	0.0440778	0.9999957	0.0479694	0.0436988	0.9750410	0.9999611	0.0271896
1000	0.7071072	0.9999899	0.9999876	0.0440611	0.9999957	0.0479694	0.0436988	0.9750412	0.9999618	0.0271779

0	0.7073421	1.0000000	1.0000000	0.0440477	0.9999957	0.0479694	0.0436991	0.9750395	0.9999620	0.0271698
50	0.8822895	1.0000000	1.0000000	0.0440468	0.9999952	0.0150519	0.0436965	0.9766569	0.8512609	0.0271698
100	0.9460583	1.0000000	1.0000000	0.0440465	0.9999936	0.0047558	0.0436938	0.9738794	0.7917456	0.0271698
150	0.9693022	1.0000000	1.0000000	0.0440464	0.9999916	0.0015419	0.0437027	0.9691662	0.7679255	0.0271698
200	0.9777746	1.0000000	1.0000000	0.0440464	0.9999898	0.0005426	0.0437244	0.9646815	0.7583918	0.0271697
250	0.9808629	1.0000000	1.0000000	0.0440464	0.9999886	0.0002337	0.0437525	0.9613657	0.7545761	0.0271697
300	0.9819886	1.0000000	1.0000000	0.0440464	0.9999879	0.0001390	0.0437795	0.9592542	0.7530490	0.0271697
350	0.9823989	1.0000000	1.0000000	0.0440464	0.9999876	0.0001104	0.0438013	0.9580340	0.7524377	0.0271697
400	0.9825484	1.0000000	1.0000000	0.0440464	0.9999874	0.0001019	0.0438168	0.9573743	0.7521931	0.0271697
450	0.9826029	1.0000000	1.0000000	0.0440464	0.9999873	0.0000994	0.0438268	0.9570342	0.7520952	0.0271697
500	0.9826228	1.0000000	1.0000000	0.0440464	0.9999873	0.0000987	0.0438328	0.9568650	0.7520560	0.0271697
550	0.8076828	1.0000000	1.0000000	0.0440464	0.9999887	0.0330389	0.0438418	0.9540772	0.9007417	0.0271697
600	0.7439166	1.0000000	1.0000000	0.0440464	0.9999916	0.0433246	0.0438475	0.9593844	0.9602508	0.0271697
650	0.7206737	1.0000000	1.0000000	0.0440464	0.9999937	0.0465290	0.0438305	0.9653770	0.9840685	0.0271697
700	0.7122016	1.0000000	1.0000000	0.0440464	0.9999947	0.0475247	0.0437987	0.9696198	0.9936011	0.0271697
750	0.7091135	1.0000000	1.0000000	0.0440464	0.9999952	0.0478330	0.0437664	0.9721694	0.9974164	0.0271697
800	0.7079878	1.0000000	1.0000000	0.0440464	0.9999955	0.0479280	0.0437408	0.9735787	0.9989434	0.0271697
850	0.7075775	1.0000000	1.0000000	0.0440464	0.9999956	0.0479570	0.0437234	0.9743181	0.9995546	0.0271697
900	0.7074280	1.0000000	1.0000000	0.0440464	0.9999956	0.0479658	0.0437125	0.9746919	0.9997992	0.0271697
950	0.7073735	1.0000000	1.0000000	0.0440464	0.9999956	0.0479684	0.0437062	0.9748758	0.9998971	0.0271697
1000	0.7073536	1.0000000	1.0000000	0.0440464	0.9999957	0.0479691	0.0437026	0.9749641	0.9999363	0.0271697

0	0.7073421	1.0000000	1.0000000	0.0440477	0.9999957	0.0479694	0.0436991	0.9750395	0.9999620	0.0271698
50	0.7231332	0.5302923	1.0000000	0.0440468	0.9999957	0.0479694	0.0436989	0.9750405	0.9999622	0.0271698
100	0.6547968	0.3807674	1.0000000	0.0440465	0.9999957	0.0479694	0.0436989	0.9750410	0.9999623	0.0271698
150	0.5688695	0.3331682	1.0000000	0.0440464	0.9999957	0.0479694	0.0436988	0.9750412	0.9999624	0.0271698
200	0.5072815	0.3180156	1.0000000	0.0440464	0.9999957	0.0479694	0.0436988	0.9750413	0.9999624	0.0271697
250	0.4729630	0.3131920	1.0000000	0.0440464	0.9999957	0.0479694	0.0436988	0.9750414	0.9999624	0.0271697
300	0.4562414	0.3116565	1.0000000	0.0440464	0.9999957	0.0479694	0.0436988	0.9750414	0.9999624	0.0271697
350	0.4487180	0.3111677	1.0000000	0.0440464	0.9999957	0.0479694	0.0436988	0.9750414	0.9999624	0.0271697
400	0.4455028	0.3110121	1.0000000	0.0440464	0.9999957	0.0479694	0.0436988	0.9750414	0.9999624	0.0271697
450	0.4441765	0.3109626	1.0000000	0.0440464	0.9999957	0.0479694	0.0436988	0.9750414	0.9999624	0.0271697
500	0.4436430	0.3109468	1.0000000	0.0440464	0.9999957	0.0479694	0.0436988	0.9750414	0.9999624	0.0271697
550	0.4176231	0.7806495	1.0000000	0.0440464	0.9999957	0.0479694	0.0436988	0.9750414	0.9999624	0.0271697
600	0.5294849	0.9301728	1.0000000	0.0440464	0.9999957	0.0479694	0.0436988	0.9750414	0.9999624	0.0271697
650	0.6182046	0.9777715	1.0000000	0.0440464	0.9999957	0.0479694	0.0436988	0.9750414	0.9999624	0.0271697
700	0.6666345	0.9929239	1.0000000	0.0440464	0.9999957	0.0479694	0.0436988	0.9750414	0.9999624	0.0271697
750	0.6897452	0.9977474	1.0000000	0.0440464	0.9999957	0.0479694	0.0436988	0.9750414	0.9999624	0.0271697
800	0.7000131	0.9992829	1.0000000	0.0440464	0.9999957	0.0479694	0.0436988	0.9750414	0.9999624	0.0271697
850	0.7043707	0.9997717	1.0000000	0.0440464	0.9999957	0.0479694	0.0436988	0.9750414	0.9999624	0.0271697
900	0.7061616	0.9999273	1.0000000	0.0440464	0.9999957	0.0479694	0.0436988	0.9750414	0.9999624	0.0271697
950	0.7068804	0.9999769	1.0000000	0.0440464	0.9999957	0.0479694	0.0436988	0.9750414	0.9999624	0.0271697
1000	0.7071638	0.9999926	1.0000000	0.0440464	0.9999957	0.0479694	0.0436988	0.9750414	0.9999624	0.0271697

0	0.7073421	1.0000000	1.0000000	0.0440477	0.9999957	0.0479694	0.0436991	0.9750395	0.9999620	0.0271698
50	0.8590931	1.0000000	1.0000000	0.0440468	0.9999957	0.0150446	0.0436981	0.9757639	0.9999622	0.0271698
100	0.9144067	1.0000000	1.0000000	0.0440465	0.9999957	0.0047374	0.0436958	0.9760529	0.9999623	0.0271698
150	0.9345687	1.0000000	1.0000000	0.0440464	0.9999957	0.0015107	0.0436936	0.9761681	0.9999624	0.0271698
200	0.9419178	1.0000000	1.0000000	0.0440464	0.9999957	0.0005005	0.0436920	0.9762141	0.9999624	0.0271697
250	0.9445966	1.0000000	1.0000000	0.0440464	0.9999957	0.0001843	0.0436911	0.9762325	0.9999624	0.0271697
300	0.9455730	1.0000000	1.0000000	0.0440464	0.9999957	0.0000853	0.0436906	0.9762398	0.9999624	0.0271697
350	0.9459289	1.0000000	1.0000000	0.0440464	0.9999957	0.0000543	0.0436904	0.9762427	0.9999624	0.0271697
400	0.9460586	1.0000000	1.0000000	0.0440464	0.9999957	0.0000446	0.0436902	0.9762439	0.9999624	0.0271697
450	0.9461059	1.0000000	1.0000000	0.0440464	0.9999957	0.0000416	0.0436902	0.9762443	0.9999624	0.0271697
500	0.9461232	1.0000000	1.0000000	0.0440464	0.9999957	0.0000406	0.0436902	0.9762445	0.9999624	0.0271697
550	0.7943785	1.0000000	1.0000000	0.0440464	0.9999957	0.0329651	0.0436909	0.9755212	0.9999624	0.0271697
600	0.7390672	1.0000000	1.0000000	0.0440464	0.9999957	0.0432723	0.0436932	0.9752328	0.9999624	0.0271697
650	0.7189061	1.0000000	1.0000000	0.0440464	0.9999957	0.0464990	0.0436954	0.9751177	0.9999624	0.0271697
700	0.7115573	1.0000000	1.0000000	0.0440464	0.9999957	0.0475091	0.0436970	0.9750718	0.9999624	0.0271697
750	0.7088786	1.0000000	1.0000000	0.0440464	0.9999957	0.0478253	0.0436979	0.9750535	0.9999624	0.0271697
800	0.7079022	1.0000000	1.0000000	0.0440464	0.9999957	0.0479243	0.0436984	0.9750463	0.9999624	0.0271697
850	0.7075463	1.0000000	1.0000000	0.0440464	0.9999957	0.0479553	0.0436986	0.9750433	0.9999624	0.0271697
900	0.7074166	1.0000000	1.0000000	0.0440464	0.9999957	0.0479650	0.0436987	0.9750422	0.9999624	0.0271697
950	0.7073693	1.0000000	1.0000000	0.0440464	0.9999957	0.0479680	0.0436988	0.9750417	0.9999624	0.0271697
1000	0.7073521	1.0000000	1.0000000	0.0440464	0.9999957	0.0479690	0.0436988	0.9750415	0.9999624	0.0271697

0	0.7073421	1.0000000	1.0000000	0.0440477	0.9999957	0.0479694	0.0436991	0.9750395	0.9999620	0.0271698
50	0.7252156	1.0000000	0.4642393	0.0441471	0.9999956	0.0479776	0.0436996	0.9731223	0.7788460	0.0384000
100	0.7317305	1.0000000	0.2473092	0.0491474	0.9999933	0.0480095	0.0437107	0.9652297	0.6902891	0.1096675
150	0.7341052	1.0000000	0.1594741	0.1913063	0.9999895	0.0480558	0.0437477	0.9533210	0.6533418	0.2536699
200	0.7349708	1.0000000	0.1239095	0.6072007	0.9999855	0.0481018	0.0438147	0.9410677	0.6251021	0.3716593
250	0.7352863	1.0000000	0.1095094	0.8475244	0.9999814	0.0481460	0.0439031	0.9292943	0.5788194	0.4546436
300	0.7354013	1.0000000	0.1036788	0.9412328	0.9999753	0.0482032	0.0440075	0.9148647	0.5121388	0.5516634
350	0.7354432	1.0000000	0.1013180	0.9763714	0.9999632	0.0483009	0.0441438	0.8920457	0.4304185	0.6343396
400	0.7354585	1.0000000	0.1003621	0.9895213	0.9999362	0.0484854	0.0443667	0.8526894	0.3518140	0.6845838
450	0.7354641	1.0000000	0.0999750	0.9944782	0.9998768	0.0488231	0.0448129	0.7897266	0.2916906	0.7103833
500	0.7354661	1.0000000	0.0998183	0.9963913	0.9997592	0.0493754	0.0458158	0.7050728	0.2521911	0.7225535
550	0.7175935	1.0000000	0.6355156	0.9971098	0.9995951	0.0498759	0.0481294	0.6348574	0.3127002	0.6556120
600	0.7110788	1.0000000	0.8524199	0.9964116	0.9996353	0.0498027	0.0518492	0.6299348	0.3813583	0.4551770
650	0.7087042	1.0000000	0.9402447	0.9918777	0.9997764	0.0493100	0.0540831	0.6876428	0.5234996	0.3509809
700	0.7078387	1.0000000	0.9758050	0.9804044	0.9998975	0.0487447	0.0524663	0.7805180	0.6772583	0.3109267
750	0.7075232	1.0000000	0.9902034	0.9630758	0.9999564	0.0483699	0.0492482	0.8595061	0.7867011	0.2932079
800	0.7074082	1.0000000	0.9960334	0.9449810	0.9999794	0.0481734	0.0467538	0.9096243	0.8514807	0.2815796
850	0.7073663	1.0000000	0.9983939	0.9290138	0.9999880	0.0480783	0.0452964	0.9378023	0.8879892	0.2715677
900	0.7073510	1.0000000	0.9993497	0.9149979	0.9999914	0.0480328	0.0445290	0.9529374	0.9092980	0.2624992
950	0.7073454	1.0000000	0.9997367	0.9019729	0.9999929	0.0480104	0.0441390	0.9609934	0.9228202	0.2542924
1000	0.7073434	1.0000000	0.9998934	0.8892492	0.9999937	0.0479988	0.0439420	0.9653461	0.9322730	0.2467321

0	0.7073421	1.0000000	1.0000000	0.0440477	0.9999957	0.0479694	0.0436991	0.9750395	0.9999620	0.0271698
50	0.8431267	0.9831182	1.0000000	0.0440468	0.9999966	0.0340402	0.0436989	0.9750405	0.9999622	0.0271698
100	0.8920441	0.9777441	1.0000000	0.0440465	0.9999968	0.0296795	0.0436989	0.9750410	0.9999623	0.0271698
150	0.9095377	0.9760334	1.0000000	0.0440464	0.9999969	0.0283144	0.0436988	0.9750412	0.9999624	0.0271698
200	0.9157732	0.9754888	1.0000000	0.0440464	0.9999969	0.0278871	0.0436988	0.9750413	0.9999624	0.0271697
250	0.9179937	0.9753154	1.0000000	0.0440464	0.9999969	0.0277533	0.0436988	0.9750414	0.9999624	0.0271697
300	0.9187849	0.9752602	1.0000000	0.0440464	0.9999969	0.0277114	0.0436988	0.9750414	0.9999624	0.0271697
350	0.9190671	0.9752426	1.0000000	0.0440464	0.9999969	0.0276983	0.0436988	0.9750414	0.9999624	0.0271697
400	0.9191680	0.9752371	1.0000000	0.0440464	0.9999969	0.0276942	0.0436988	0.9750414	0.9999624	0.0271697
450	0.9192041	0.9752353	1.0000000	0.0440464	0.9999969	0.0276929	0.0436988	0.9750414	0.9999624	0.0271697
500	0.9192170	0.9752347	1.0000000	0.0440464	0.9999969	0.0276925	0.0436988	0.9750414	0.9999624	0.0271697
550	0.7803770	0.9921163	1.0000000	0.0440464	0.9999959	0.0416217	0.0436988	0.9750414	0.9999624	0.0271697
600	0.7319354	0.9974903	1.0000000	0.0440464	0.9999957	0.0459822	0.0436988	0.9750414	0.9999624	0.0271697
650	0.7155117	0.9992011	1.0000000	0.0440464	0.9999957	0.0473473	0.0436988	0.9750414	0.9999624	0.0271697
700	0.7100345	0.9997457	1.0000000	0.0440464	0.9999957	0.0477747	0.0436988	0.9750414	0.9999624	0.0271697
750	0.7082255	0.9999190	1.0000000	0.0440464	0.9999957	0.0479084	0.0436988	0.9750414	0.9999624	0.0271697
800	0.7076314	0.9999742	1.0000000	0.0440464	0.9999957	0.0479503	0.0436988	0.9750414	0.9999624	0.0271697
850	0.7074369	0.9999918	1.0000000	0.0440464	0.9999957	0.0479634	0.0436988	0.9750414	0.9999624	0.0271697
900	0.7073732	0.9999974	1.0000000	0.0440464	0.9999957	0.0479675	0.0436988	0.9750414	0.9999624	0.0271697
