"Time"	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C

0	0.0728005	0.0419573	0.3395950	0.1598165	0.4063194	0.5302869	0.4984931	0.8548798	0.3098386	0.8557999
50	0.0814821	0.0718895	0.2529839	0.0843350	0.4222624	0.5548662	0.5280935	0.7421015	0.1699259	0.7373056
100	0.0830129	0.0510913	0.3712328	0.0127744	0.3614234	0.5362730	0.4073052	0.8138474	0.1318957	0.7266310
150	0.0840266	0.1010766	0.3994687	0.0049113	0.3311261	0.5606867	0.4562358	0.7399513	0.1829706	0.7263198
200	0.0401692	0.2295490	0.4846894	0.0147783	0.3651371	0.4497567	0.4434006	0.7758322	0.2941981	0.7079321
250	0.0974832	0.3014288	0.5609682	0.0022490	0.1964380	0.4759850	0.4823442	0.8791613	0.1872586	0.8951277
300	0.1953512	0.3268058	0.4303988	0.0063362	0.1356725	0.4273655	0.4648761	0.7231971	0.1727417	0.7996694
350	0.3778341	0.4164817	0.5003457	0.0000000	0.1305623	0.4899447	0.4710466	0.7601825	0.1402660	0.6973675
400	0.3654266	0.3489098	0.5306052	0.0011851	0.1970896	0.5087445	0.3324641	0.7645549	0.1909750	0.7978701
450	0.4290879	0.4371191	0.5787051	0.0068965	0.1588993	0.4966584	0.4574382	0.7678012	0.1288838	0.7755625
500	0.6960324	0.3920721	0.5570526	0.0052126	0.1867906	0.4634566	0.4891635	0.7356897	0.1838966	0.7445582
550	0.6369704	0.5728180	0.4496276	0.3230973	0.1394795	0.4042767	0.3986342	0.8015889	0.1525735	0.7605750
600	0.6181903	0.5114193	0.1864871	0.5067394	0.1101028	0.3931518	0.4649326	0.8236538	0.1874101	0.8959538
650	0.6279044	0.1927121	0.1844335	0.5589547	0.1329493	0.5341592	0.4348714	0.7839265	0.1741740	0.7561398
700	0.2522040	0.1071002	0.0935176	0.5931332	0.1451760	0.4283567	0.6707918	0.7889044	0.1423632	0.8410843
750	0.1189813	0.0375081	0.0583268	0.5210908	0.3119011	0.5094860	0.4642849	0.8665808	0.1371193	0.6862169
800	0.0973871	0.0343285	0.0753289	0.4870387	0.3088351	0.5004295	0.5084546	0.7853524	0.1886979	0.8217045
850	0.0666013	0.0332609	0.1167010	0.3935666	0.3525541	0.3991383	0.5210741	0.7784962	0.1616075	0.6850953
900	0.0693644	0.0200513	0.0748278	0.2478690	0.5107523	0.5654019	0.4544630	0.7880377	0.1433700	0.7402038
950	0.0963345	0.0158791	0.1474575	0.1603285	0.4145729	0.3614560	0.4614106	0.8472737	0.2843639	0.7777200
1000	0.0835650	0.0134582	0.2663239	0.1462112	0.4044467	0.3947434	0.3550689	0.8275400	0.2934234	0.7307414

0	0.0619220	0.0607045	0.2890683	0.1850137	0.4104329	0.5239090	0.4888974	0.8731479	0.1893277	0.6701811
50	0.1882247	0.3424520	0.2961808	0.1102901	0.2596197	0.5206287	0.4547556	0.7437537	0.1567352	0.6121570
