YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C
0.2544905	0.6041942	0.6021582	0.8132410	0.3744159	0.9974048	0.2462842	0.9470883	0.1103989	1.0000000
0.2047941	0.3021133	0.6021467	0.8132014	0.3742065	0.9984607	0.2195374	0.9955374	0.1103989	1.0000000
0.3119027	0.9766473	0.3010832	0.8132721	0.3746162	0.9963386	0.2661780	0.9146583	0.1103989	1.0000000
0.5058154	0.8559155	0.4528228	0.4066365	0.3745845	0.9965225	0.2630220	0.9195938	0.1103989	1.0000000
0.5163000	0.6232908	0.5919500	0.7831951	0.1872139	0.9973343	0.2480188	0.9439613	0.1103989	1.0000000
0.5021868	0.5885454	0.6106302	0.8389089	0.5334070	0.4987298	0.2448873	0.9497012	0.1103989	1.0000000
0.5088850	0.6042114	0.6021371	0.8131550	0.3739262	0.9998793	0.1231643	0.9470897	0.1103989	1.0000000
0.5058719	0.5957383	0.6070185	0.8281804	0.4451194	0.7202496	0.7293687	0.4741709	0.1103989	1.0000000
0.4339075	0.4869227	0.6656554	0.8131996	0.3742110	0.9984261	0.2207578	0.9931696	0.0551995	1.0000000
0.5095008	0.6064412	0.6007771	0.8089739	0.3744162	0.9974016	0.2464046	0.9468042	0.1103989	0.5001248
