YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W
0.0000000	0.7252443	0.3197818	0.0282085	0.8896474	0.5338845	0.4857830	0.3978147	0.5318145	0.0750254
0.0228127	0.0000000	0.4187953	0.0325554	0.8462728	0.6904684	0.5047350	0.4967333	0.4358457	0.0756606
0.7450358	0.8575459	0.0000000	0.0273226	0.8173778	0.7565965	0.2665087	0.3008883	0.6685777	0.0265080
0.8590568	0.6550241	0.0166352	0.0000000	0.8584813	0.6566607	0.3059323	0.3372885	0.7021909	0.0565945
0.0123173	0.0052325	0.8008523	0.7097072	0.0000000	0.4993107	0.5766399	0.5208385	0.3039596	0.9360673
0.0349348	0.0420051	0.7380804	0.1504620	0.0731973	0.0000000	0.6030853	0.6669030	0.3888657	0.7717421
0.8370206	0.7312184	0.3145330	0.0538862	0.7964137	0.7931252	0.0000000	0.4495321	0.4148549	0.0618386
0.7420712	0.7292426	0.2356923	0.0352739	0.9485875	0.8780357	0.3202770	0.0000000	0.4307819	0.0968662
0.6166974	0.7247186	0.2379897	0.0293154	0.7848549	0.3213695	0.5556510	0.7830161	0.0000000	0.0598551
0.6258968	0.7823608	0.4477228	0.0562324	0.6899317	0.4631196	0.4026523	0.4497344	0.4000840	0.0000000
