YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W
0.0000001	0.1574031	0.2865590	0.9999960	0.0000001	0.3761098	1.0000000	0.9970239	0.5786710	1.0000000
0.0000012	0.6889613	0.9999992	0.0000041	0.3009611	0.3761098	1.0000000	0.2892080	0.9833965	1.0000000
0.0000000	0.5294247	0.7163892	0.2523517	0.6808408	0.9999998	0.0000001	0.2398523	0.9912088	1.0000000
0.0000002	0.3085783	0.4504350	0.5698242	0.3009611	0.3761098	1.0000000	0.0000003	1.0000000	1.0000000
0.0000002	0.3085783	0.4504350	0.5698242	0.3009611	0.3761098	1.0000000	0.4450710	0.0000000	1.0000000
0.0000002	0.3085783	0.4504350	0.5698242	0.3009611	0.3761098	1.0000000	0.7565324	0.7238613	0.0000001
0.8099267	0.6889613	0.9999992	0.0000041	0.0000016	0.3761098	1.0000000	0.5074151	0.5752694	1.0000000
0.8102617	0.6890352	1.0000000	0.0000001	0.6808330	0.9999995	0.0000003	0.0027107	0.6538600	1.0000000
0.8099267	0.6889613	0.9999992	0.0000041	0.3009611	0.3761098	1.0000000	0.0717404	0.0000000	1.0000000
0.1230424	0.1598562	0.2886125	0.9927697	0.0000000	1.0000000	0.0000000	0.9931378	0.5460587	1.0000000
