YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C
0.1071405	0.9907462	0.6399548	0.4162005	0.6620818	0.9995816	0.2027449	0.5222681	0.9996786	1.0000000
0.5001451	0.4953733	0.6399553	0.4162005	0.6620818	0.9995816	0.4486925	0.2732540	0.9996786	1.0000000
0.2235700	0.9607066	0.3341477	0.4293487	0.6463973	0.9806436	0.2400116	0.4627712	0.9996786	1.0000000
0.2182696	0.9716662	0.2642384	0.2189754	0.6533335	0.9791252	0.2430883	0.4643088	0.9996786	1.0000000
0.2127059	0.9962145	0.9565157	0.7812451	0.3311913	0.9999606	0.2352168	0.4697594	0.9996786	1.0000000
0.2126380	0.9964210	0.9796786	0.9518052	0.1645565	0.4999841	0.2351738	0.4698100	0.9996786	1.0000000
0.2142667	0.9907461	0.6399524	0.4162004	0.6620818	0.9995816	0.1179329	0.4688220	0.9996786	1.0000000
0.2142670	0.9907462	0.6399544	0.4162005	0.6620818	0.9995816	0.5175521	0.2344138	0.9996786	1.0000000
0.2142674	0.9907446	0.6398947	0.4161713	0.6621185	0.9996282	0.1599540	0.6137453	0.4998393	1.0000000
0.2142670	0.9907462	0.6399544	0.4162005	0.6620818	0.9995817	0.2356898	0.4689722	0.9973028	0.5001176
