"Time"	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W

0	0.2126715	0.6770252	0.7198112	0.2572148	0.3078685	0.5151463	0.3822608	0.7444248	0.3398965	0.7743914
50	0.2134155	0.8812066	0.5554994	0.1739922	0.3263211	0.5917745	0.4198841	0.7296027	0.4321658	0.7531928
100	0.1837943	0.8023258	0.5990395	0.1740107	0.4390282	0.5143386	0.3699740	0.7364490	0.6696106	0.8249763
150	0.1081214	0.7206705	0.5383710	0.0688164	0.2060712	0.4452737	0.3420633	0.8429749	0.6980654	0.6968558
200	0.0878461	0.7204696	0.4414318	0.1156869	0.2835672	0.5218921	0.3120685	0.7727592	0.8060444	0.6305055
250	0.0641206	0.7203475	0.5336646	0.1204154	0.2582227	0.5316412	0.3145266	0.6561392	0.6803298	0.6559138
300	0.1402215	0.8078140	0.6347123	0.1936179	0.2825689	0.4516638	0.2511008	0.8734119	0.7747458	0.8526411
350	0.0990664	0.8905939	0.5852169	0.1496951	0.2611287	0.5170509	0.4460865	0.7982683	0.7302566	0.7240377
400	0.0383062	0.7010774	0.6110519	0.2349308	0.3149099	0.4884587	0.3782572	0.6640202	0.8378052	0.7725635
450	0.0328726	0.6504177	0.4925928	0.2928913	0.2907779	0.3607573	0.3278403	0.7982875	0.8314234	0.9245589
500	0.0216221	0.6981835	0.6321216	0.2617003	0.3100241	0.5537557	0.3768913	0.6925646	0.5993101	0.7094667
550	0.0764666	0.9296748	0.6902823	0.1533702	0.2986128	0.3712086	0.3692964	0.6852283	0.4833117	0.5341953
600	0.1088763	0.8038062	0.5470101	0.1639307	0.2783216	0.4867636	0.4396669	0.6710399	0.3725079	0.6784313
650	0.1115908	0.7325349	0.6116399	0.1551723	0.3058023	0.5124198	0.3325911	0.9088433	0.4081303	0.8945729
700	0.0870374	0.7285653	0.5609606	0.1888937	0.2720563	0.4809301	0.3401963	0.7343730	0.3799981	0.7841328
750	0.1744301	0.6417901	0.5411617	0.1910072	0.3978280	0.4841791	0.3514511	0.7160594	0.4023351	0.7459289
800	0.1725320	0.6576482	0.5362877	0.1784328	0.2447236	0.5001671	0.4464067	0.7087954	0.3446584	0.8784314
850	0.2452951	0.8986459	0.6134182	0.1805617	0.3071205	0.5384153	0.3425932	0.5699619	0.4309545	0.6540003
900	0.1541541	0.7790240	0.6106797	0.1420377	0.3174601	0.5024023	0.3522537	0.7613732	0.2739617	0.7298258
950	0.2552459	0.7365130	0.4690948	0.1791286	0.2505167	0.4715167	0.4153696	0.5812790	0.3119220	0.8255396
1000	0.2681137	0.7282005	0.6195192	0.2297260	0.3033420	0.5206268	0.4287909	0.6456719	0.4183338	0.7151167

0	0.2309652	0.6955723	0.6036048	0.1483859	0.3226668	0.4547035	0.4770230	0.7812047	0.3595244	0.7120941
50	0.1954924	0.7977274	0.4781934	0.2332939	0.4079143	0.5658235	0.3500844	0.6219700	0.5110730	0.6044329
100	0.0732987	0.7689430	0.6048129	0.1557796	0.3636717	0.4913830	0.4685377	0.6384115	0.4793446	0.4897298
150	0.0306889	0.6377226	0.3836734	0.1342432	0.3337545	0.4784751	0.3273701	0.7273672	0.5032050	0.4182640
200	0.0287721	0.6409132	0.4216291	0.1667428	0.2977190	0.5545892	0.3688871	0.7799655	0.3933728	0.4324746
250	0.0319621	0.6847034	0.3301234	0.1849969	0.3171394	0.4880617	0.3906045	0.7386071	0.3307546	0.5916166
300	0.0582163	0.6687921	0.6044102	0.2192880	0.3800256	0.4391750	0.3720191	0.8436100	0.3989400	0.4174096
350	0.0326510	0.9188544	0.5903229	0.2254956	0.3327894	0.4788502	0.4270308	0.7401988	0.3523910	0.5708351
400	0.0243200	0.8611414	0.5190862	0.2161534	0.3779600	0.4530125	0.3454994	0.7399931	0.3846182	0.4296016
450	0.0226254	0.8485601	0.5253677	0.2459584	0.3506401	0.4096383	0.3994342	0.8223104	0.4584429	0.4461012
500	0.0169759	0.8133955	0.6593237	0.1592238	0.2657384	0.5149838	0.3768884	0.7199178	0.3892383	0.4529222
550	0.0790205	0.6768163	0.5767722	0.1962935	0.2889980	0.4407581	0.4598784	0.7156535	0.3058240	0.5517622
600	0.2179843	0.7440262	0.6353197	0.1896164	0.2913343	0.5025234	0.3596177	0.7601673	0.3954438	0.7554223
650	0.1871773	0.7755172	0.5401777	0.1726124	0.2734865	0.4298200	0.2869768	0.6560162	0.2891000	0.7056666
700	0.3100781	0.8301859	0.4720236	0.1810299	0.2369937	0.4050099	0.3682167	0.6400198	0.3282932	0.6315880
750	0.2541127	0.6747949	0.5586800	0.2436798	0.2937590	0.4234147	0.3739279	0.6139336	0.3308226	0.7721039
800	0.2074347	0.7083319	0.5560132	0.2382583	0.2448106	0.5979319	0.3804323	0.6976885	0.2342763	0.7237357
850	0.2874119	0.8201309	0.6480650	0.3019287	0.2725756	0.4808333	0.4301800	0.6635640	0.2843172	0.7761851
900	0.3743124	0.6878691	0.6073230	0.2369643	0.3209716	0.5041662	0.3311778	0.6838772	0.3056475	0.6953778
950	0.2904854	0.7652875	0.6119473	0.2236182	0.2618678	0.5005509	0.3172409	0.7191769	0.2875178	0.7562206
1000	0.2486947	0.7724965	0.5902869	0.1965425	0.3103315	0.5023298	0.4039530	0.6560719	0.3828330	0.7983911

0	0.1962025	0.7024155	0.5494904	0.1583520	0.3680457	0.4372004	0.4751558	0.6832535	0.2713021	0.7685431
50	0.2438406	0.8459106	0.5939706	0.1883799	0.3332491	0.7059533	0.4453917	0.4800106	0.2558689	0.8281609
100	0.2061019	0.7735275	0.4438266	0.0580945	0.4164963	0.7575135	0.5126789	0.3224572	0.3426544	0.6446512
150	0.2473974	0.6817991	0.4129559	0.0358079	0.4616986	0.7004862	0.4549212	0.2210267	0.4214494	0.7619766
200	0.2816103	0.8553986	0.2420557	0.0304364	0.5114853	0.8617323	0.7562690	0.1747256	0.4972329	1.0031989
250	0.3995924	0.7108920	0.1712137	0.0168779	0.4736773	0.7868757	0.8392214	0.1950593	0.5116746	0.6792165
300	0.4443752	0.7603685	0.1193108	0.0094731	0.4949158	0.9409486	0.6709099	0.1633587	0.5176484	0.8078594
350	0.4095259	0.4930671	0.0526697	0.0055768	0.4569656	0.8958064	0.7702333	0.1492317	0.4949644	0.7821213
400	0.4100044	0.3449179	0.0363098	0.0016177	0.4291650	0.7738425	0.7013776	0.1785639	0.5340274	0.7799627
450	0.4276827	0.1284864	0.0341974	0.0009317	0.5271894	0.7748614	0.6700826	0.1385977	0.5870782	0.8784205
500	0.4434153	0.0543781	0.1045358	0.0010572	0.5331612	0.6768986	0.5521188	0.1051260	0.6224722	0.7720581
550	0.4534266	0.0874129	0.0665903	0.0553203	0.6182812	0.7660790	0.6405515	0.2876719	0.4888812	0.9072387
600	0.4168564	0.1294202	0.0893220	0.0484719	0.4083230	0.7207219	0.5774728	0.4870835	0.5081805	0.7655431
650	0.5340189	0.3146731	0.1561712	0.0833615	0.5051120	0.6732890	0.5501370	0.5984211	0.5184522	0.7658062
