node	cx	cy	scaled_cx	scaled_cy
0	16.4	34.7	0	0
1	58.3	37.8	0.063045441	0.004796534
2	37.2	84.7	0.031297021	0.077363454
3	121.7	49.2	0.158441168	0.022435402
4	83.1	79.8	0.100361119	0.069781835
5	203	47	0.280770388	0.01903141
6	169.1	99.2	0.229762263	0.099798855
7	44.4	136.9	0.042130605	0.158130899
8	105.5	144.1	0.134065603	0.169271236
9	285.3	76	0.404604273	0.063902213
10	218.9	118.7	0.304694553	0.129970602
11	341.9	106.4	0.489768282	0.110939192
12	292.5	118.7	0.415437857	0.129970602
13	33.7	201.5	0.026030695	0.258084481
14	72.8	185.6	0.084863076	0.233482903
15	129	192.9	0.169425218	0.244777967
16	267.3	167.5	0.377520313	0.205477333
17	322.8	167.5	0.46102919	0.205477333
18	228.4	187	0.318988865	0.235649079
19	181.3	219.6	0.248119169	0.286090051
20	105.5	238.5	0.134065603	0.315333436
21	32.4	282.4	0.024074631	0.383258549
22	278.1	212.1	0.393770689	0.274485533
23	242.9	224	0.3408065	0.292898035
24	140.2	254.9	0.18627746	0.340708649
25	97.6	289.6	0.122178754	0.394398886
26	191.2	286.7	0.263015348	0.389911806
27	233.3	275.2	0.326361721	0.372118211
28	297.7	260.7	0.423262113	0.34968281
29	67.7	340.1	0.077189287	0.472535974
30	285.8	297.6	0.405356605	0.406777039
31	337.4	276.9	0.482997292	0.374748569
32	125.7	340.1	0.164459825	0.472535974
33	34.4	362.4	0.02708396	0.507040074
34	188.5	340.1	0.258952754	0.472535974
35	319.8	312.5	0.456515197	0.429831348
36	262.1	344.4	0.369696058	0.479189231
37	37.6	404.3	0.031898887	0.571870648
38	129	382.8	0.169425218	0.538604363
39	322.8	370.3	0.46102919	0.5192635
40	203	394.6	0.280770388	0.556862138
41	79.6	429.1	0.095094794	0.610242921
42	142	423.9	0.188985856	0.602197122
43	297.7	404.4	0.423262113	0.572025375
44	391	423.9	0.563647307	0.602197122
45	260.4	429.1	0.367138128	0.610242921
46	188.1	473.9	0.258350888	0.679560576
47	145.2	466.7	0.193800782	0.668420238
48	48.9	467.7	0.048901595	0.669967507
49	315.6	436.4	0.450195606	0.621537985
50	98.9	515.1	0.124134818	0.743308061
51	361.9	491.4	0.519861571	0.706637784
52	297.7	491.4	0.423262113	0.706637784
53	219.4	527.2	0.305446885	0.762030017
54	46.8	548.9	0.0457418	0.795605756
55	118.4	564.8	0.153475775	0.820207334
56	188.1	574.4	0.258350888	0.835061117
57	223.8	588.9	0.312067409	0.857496519
58	167.3	613.2	0.227053867	0.895095157
59	75.7	631.3	0.089226602	0.923100727
60	118.4	638.5	0.153475775	0.934241065
61	211.8	624	0.294011435	0.911805663
62	260.4	643.7	0.367138128	0.942286864
63	167.3	668.8	0.227053867	0.981123317
64	108.6	681	0.138730063	1
