node	cx	cy	scaled_cx	scaled_cy	depth	degree
0	16.4	34.7	0.0	0.0	0	8
1	58.3	37.8	0.063045441	0.004796534	1	3
2	37.2	84.7	0.031297021	0.077363454	1	2
3	121.7	49.2	0.15844116800000002	0.022435402000000004	2	3
4	83.1	79.8	0.100361119	0.069781835	2	1
5	203.0	47.0	0.280770388	0.01903141	3	2
6	169.1	99.2	0.229762263	0.099798855	3	4
7	44.4	136.9	0.042130605	0.158130899	2	4
8	105.5	144.1	0.134065603	0.16927123600000002	3	2
9	285.3	76.0	0.40460427299999996	0.063902213	4	3
10	218.9	118.7	0.30469455300000003	0.129970602	4	2
11	341.9	106.4	0.48976828200000005	0.11093919199999999	5	2
12	292.5	118.7	0.415437857	0.129970602	5	2
13	33.7	201.5	0.026030695	0.25808448100000003	3	2
14	72.8	185.6	0.084863076	0.23348290300000002	3	3
15	129.0	192.9	0.16942521800000002	0.24477796699999999	4	2
16	267.3	167.5	0.377520313	0.205477333	5	2
17	322.8	167.5	0.46102919	0.205477333	6	1
18	228.4	187.0	0.318988865	0.23564907899999998	4	3
19	181.3	219.6	0.24811916899999997	0.286090051	4	2
20	105.5	238.5	0.134065603	0.315333436	4	3
21	32.4	282.4	0.024074631000000003	0.383258549	4	2
22	278.1	212.1	0.393770689	0.274485533	5	2
23	242.9	224.0	0.3408065	0.292898035	5	1
24	140.2	254.9	0.18627746	0.340708649	5	2
25	97.6	289.6	0.122178754	0.394398886	5	3
26	191.2	286.7	0.263015348	0.389911806	6	2
27	233.3	275.2	0.326361721	0.37211821100000003	7	1
28	297.7	260.7	0.423262113	0.34968281	6	3
29	67.7	340.1	0.077189287	0.47253597399999997	4	2
30	285.8	297.6	0.405356605	0.406777039	7	3
31	337.4	276.9	0.482997292	0.374748569	7	3
32	125.7	340.1	0.164459825	0.47253597399999997	6	4
33	34.4	362.4	0.02708396	0.507040074	5	3
34	188.5	340.1	0.258952754	0.47253597399999997	7	3
35	319.8	312.5	0.45651519700000004	0.42983134799999995	8	1
36	262.1	344.4	0.369696058	0.479189231	8	1
37	37.6	404.3	0.031898887	0.571870648	6	3
38	129.0	382.8	0.16942521800000002	0.5386043629999999	7	2
39	322.8	370.3	0.46102919	0.5192635	8	3
40	203.0	394.6	0.280770388	0.556862138	7	1
41	79.6	429.1	0.09509479400000001	0.610242921	7	2
42	142.0	423.9	0.188985856	0.6021971220000001	8	4
43	297.7	404.4	0.423262113	0.572025375	9	1
44	391.0	423.9	0.563647307	0.6021971220000001	9	1
45	260.4	429.1	0.36713812799999995	0.610242921	8	3
46	188.1	473.9	0.258350888	0.679560576	9	1
47	145.2	466.7	0.193800782	0.6684202379999999	9	1
48	48.9	467.7	0.048901595	0.6699675070000001	6	4
49	315.6	436.4	0.450195606	0.621537985	9	2
50	98.9	515.1	0.12413481800000001	0.7433080609999999	7	3
51	361.9	491.4	0.519861571	0.7066377840000001	10	1
52	297.7	491.4	0.423262113	0.7066377840000001	9	1
53	219.4	527.2	0.305446885	0.7620300170000001	8	1
54	46.8	548.9	0.0457418	0.7956057559999999	7	3
55	118.4	564.8	0.153475775	0.820207334	8	2
56	188.1	574.4	0.258350888	0.8350611170000001	8	3
57	223.8	588.9	0.31206740899999996	0.857496519	9	1
58	167.3	613.2	0.227053867	0.895095157	9	3
59	75.7	631.3	0.08922660199999999	0.923100727	8	2
60	118.4	638.5	0.153475775	0.934241065	9	3
61	211.8	624.0	0.294011435	0.911805663	9	2
62	260.4	643.7	0.36713812799999995	0.9422868640000001	10	1
63	167.3	668.8	0.227053867	0.981123317	10	1
64	108.6	681.0	0.13873006300000001	1.0	10	1
