repeat. time plate treatment experiment AP1 AP2 AP3 AP4 AR Bcat Brachyury cmyc CRE E2F ELK1 ER ETS1 FOXA FOXO3A GATA1 GATA2 GATA3 GLI GR HIF1 HNF1A HOXA1 HSE KLF4 LHX8 MEF2 MNX MNX1 MYB NANOG NFAT NFKb NOBOX Notch1 OCT P53 PAX1 PEA3 PR PTTG RAR RUNX1 RUNX2 SMAD1 SMAD3 SOX SP1 SRF STAT1 STAT3 STAT4 STAT5 VDR WT1 YY1
1 0 1 NT 1 1 1.38859812340782 1.11239583701661 0.442870841305683 0.497306703546347 NA NA NA 1.22811735610903 NA NA 1.74228746369417 1.1893080886342 1.4496035554916 1 1.133876568048 NA NA NA 1.69357838310907 1.34333601388242 1 NA 1.05757073677174 NA 2.0355005825118 1.05663602180523 NA NA NA 1.07473822598168 1.70321242425072 0.820562238319931 NA 0.759572982891728 NA 1.09693523010585 1.08802408784528 NA 1.54371860102616 NA 1.14902604625888 0.500435253779602 2.04891587182766 NA 3.10836761686238 0.733487164695702 0.769841127133635 1.12182167980211 0.277930592977692 1.10984963798583 1.26364871161709 1.00279082748035 1.16531883870142 1.01891253753484 NA
2 0 1 NT 1 NA 0.922457615055452 0.995473993140271 1.40794863523683 2.64696012592251 NA NA NA 0.994053812992419 NA NA 0.848779339037601 1.70695709165363 0.84864960322846 NA 1.133876568048 NA NA NA NA 0.685106022770559 NA NA 1.13653139155354 NA 0.894331095672394 0.893996365795297 NA NA NA 1.52790213012399 0.805217362392335 NA 0.991718577787521 2.3944098210591 NA 0.698506579183588 0.911975912154719 1 1.06972945080036 1.13952533004687 1.13512724401712 1.03542940386729 0.807739318156879 NA 0.928563599295574 1 1.27678588590395 0.883526589067247 0.618985979303116 0.95543567657939 0.787859364791506 0.997209172519652 1.08424452610343 0.981087462465156 NA
3 0 1 NT 1 NA 1.02614286120988 1.00452600685973 0.592051364763171 0.432850325812038 NA 1.24920171207283 NA 1.00594618700758 NA NA 1.1512206609624 0.810691911365798 0.766237546213706 1.58874626001351 0.866123431951999 0.545911360294712 1 NA 0.827589979214528 0.69932704109705 NA NA 0.942429263228256 1 0.825434423251807 1.09290610438443 1 NA NA 0.925261774018321 0.759500242612442 1.17943776168007 1.86419076499638 1.24042701710827 1 1.27423556551314 0.750232289335126 NA 0.752310723844103 0.860474669953131 0.858695510542097 1.49651923872464 0.706567783950101 NA 1.07143640070443 NA 1.02529763473316 0.864867073234143 1.38101402069688 1.04456432342061 1.21214063520849 1.00341101136487 0.915755473896573 1.14859850920234 NA
4 0 1 NT 1 NA 0.973857138790124 0.554942658793301 1.50410290628052 1.50269329645365 NA 0.750798287927169 NA 0.750260145681582 1 NA 0.787487243896695 0.526295300834022 1.15135039677154 0.679953672425441 0.750446099411454 1.45408863970529 NA NA 1 1.30067295890295 NA NA 0.688025770300156 NA 1.10566890432761 0.943363978194772 NA NA NA 0.811294433946711 1.19478263760766 NA 1 0.402777951939676 NA 0.903064769894146 1.18509069661257 NA 0.930270549199635 NA 0.864872755982879 0.964570596132713 1.19226068184312 NA 0.840174206607283 1.15960003845784 0.974702365266844 1.11647341093275 1.49920153080966 0.83394822164932 0.708285990339759 0.882475153883126 0.726166312128958 0.900709177942071 NA
1 0 1 TGFB 1 NA 1.3014830561611 0.94659845416592 0.624740145113602 2.10512873651424 NA NA NA 1.0899677117045 NA NA 0.710160123468209 0.422780452826501 1.78312560937656 1.06398113922356 0.73993159135896 0.544191272861929 0.15559312062324 NA NA 0.968791460418933 0.186939086532323 NA 1.09506248607059 NA 0.644991940501343 0.399357546987304 NA NA NA 0.640123847792001 0.782827413867067 NA 0.661556870410971 1.35482845340032 0.786695753873415 0.442110675630197 0.96949330871923 0.649119994609259 0.430234331947387 0.704467663647854 0.881653541817941 0.813852643279957 0.395504019341878 NA 1.68638327897599 NA 0.683521967258893 0.829904641165742 1.01739071031864 0.680117151662317 0.673122084004749 1.07276764340351 1.27969386594497 0.682589976885419 NA
2 0 1 TGFB 1 0.950172516183602 0.864536183107565 0.336437237151416 1.58908134697756 NA NA NA NA 1.23382740376077 2.43834563266064 NA 1.0270429254378 0.428409205530763 1.61372778538265 1.00251106412141 1.22563187606806 1.75848880526178 NA NA NA 0.766091204846307 0.240728256460922 NA 1.93082473360636 NA 1.43981722430118 2.10675102504807 3.65180870664714 NA NA 0.33161175724034 0.836647426937768 NA 1.09370078756248 2.04874946601882 1.49661690417997 0.86563225638943 0.932137070063879 0.638256180018241 0.666816842826861 NA 1.14871380998417 0.837315409974126 0.209982988116157 NA 0.895589979057 NA 1.0141253451678 1.27372010044347 1.20404515300758 0.928894573599838 1.16554148138998 1.09322247297019 0.472113739614208 0.683434070449216 NA
3 0 1 TGFB 1 0.97709036709331 0.785065215388702 0.386793114606677 0.89724523430217 1.05197573861938 NA NA NA 0.617198039946948 3.1221928054295 NA 0.979720825586144 0.28238997912769 1.71254318271243 1.29185948906656 1.17987504533831 NA NA NA NA NA NA NA 0.864211743685143 NA 1.37313923093119 1.5078276805501 2.03484485147978 NA NA 0.37359194125148 0.684157389904115 NA 0.576121521272972 NA NA 0.7675526334017 0.897917614807068 NA 0.611857800944501 1.17771594729791 0.607093921347512 0.347357634890006 0.873691637003415 NA 0.825257971600518 NA 0.922796162020466 0.880820689745062 0.353573012295837 0.488567995987989 0.498174237321572 0.737731641880314 0.317525889344882 0.57820373949577 NA
4 0 1 TGFB 1 NA 0.861667195103274 0.619380261796261 2.03845040939609 3.67932483244543 NA NA NA 1.26272229917378 NA NA 1.40842399683482 1.16662012269477 1.0829479368684 NA 0.888387086615475 NA NA NA 1.36673319536503 NA 0.148299348016801 NA 0.974397723888377 NA 1.18343148873249 1.18165346476717 1.14023908219589 NA NA 0.590254770141185 2.01111971216951 NA 1.67916473049264 1.32848615806951 NA 1.1193696948937 0.55501015692111 0.785370335938271 0.761863656435177 0.731110458242657 0.990810780912405 1.28780053050217 0.21841695653755 NA 0.890111857873204 1.17404636206146 0.856675486438684 1.71090154687698 0.578287146118744 0.501810900577819 0.747590719354615 1.05372349173798 1.16108225318751 0.428236449661046 NA
1 1 1 NT 1 1 1.09375070504692 1.22757354531507 1.0383510202684 0.816219517622271 1.22714080540786 NA NA 1.3227397510096 NA NA 1.57356337239401 1.13200999267815 1.04804972371409 1.06132702415027 1.14218860648652 NA NA 1 0.912826562682925 2.06792433557025 NA NA 1.07348757035977 1 2.09740399313144 1.07157113379244 NA NA NA 1.2244583250511 2.15341716310767 NA NA NA NA 1.09178209685242 1.16220839810369 NA 1.44325326062841 NA 1.34438962716934 0.274652988272046 1.53986501613834 NA 1.6592515029791 2.03224729417657 0.838457847085801 1.14631818155323 0.439508151383856 1.08970011603404 1.248304772859 1.27658762414105 1.13427289606295 0.960086600988799 NA
2 1 1 NT 1 NA 0.708671874503729 1.24275369135643 0.9616489797316 1.9299513386849 NA NA NA 0.955236438644217 NA NA 0.761626055989598 1.60074112610056 0.814621065928871 0.520193246306315 1.16700337201645 NA NA NA NA 0.789767674946602 NA NA 1.15617528476767 NA 0.923132179889876 0.799981812405164 0.709912385418776 1 1 1.50532988969221 0.866021411547019 0.764805601902937 1 2.01865924213591 NA 0.708750870879197 0.913626736407447 1 1.16368530959939 1.28888841192007 1.04160411603388 1.00395310746788 0.558431450214696 NA 1.180079704324 0.85364903591998 1.34898037614289 0.853192255313171 0.603174040377538 0.93210543703501 0.751695227140996 0.988502131098063 1.12544641152306 1.02154056454573 NA
