regulator-target	rank_importance	Rank	tp	index	Edge	Lag	Lag_list	Sign	parent	child	name_x	parent_cluster	name_y	child_cluster	Source	Target	moduleID	window_size	min_lag	max_lag	total_edges	pr	auroc
"('rob', 'zwf')"	26	21	TRUE	2694	"('rob', 'zwf')"	0	"[(0, 0.4572823168823027, 4.5185054499940188e-08), (10, 0.29134221775369762, 0.023914909101933515), (20, 0.28549734117540393, 0.03133996561766253), (30, 0.17730627961709461, 0.13907652725598724), (60, 0.20129284684904125, 0.26131084219894513), (90, 0.0045500048341145134, 0.98665713008869471)]"	['+']	rob	zwf	rob	0	zwf	0	rob	zwf	0	4	1	1	68	0.383456597	0.486506974
"('soxs', 'fpr')"	27	22	TRUE	2722	"('soxs', 'fpr')"	0	"[(0, 0.37706700921249592, 9.7765735605401431e-06), (10, 0.42190693276544544, 0.00078631360813488811), (20, 0.33294417183028152, 0.011385555900634056), (30, 0.1196657558762047, 0.32022220067405177), (60, -0.12941848687501581, 0.47287216847009572), (90, -0.17450170707229726, 0.51803653530041438)]"	['+']	soxs	fpr	soxs	0	fpr	0	soxs	fpr	0	4	1	1	68	0.383456597	0.486506974
"('rob', 'ybao')"	28	23	FALSE												rob	ybao	0	4	1	1	68	0.383456597	0.486506974
"('rob', 'flda')"	29	24	FALSE												rob	flda	0	4	1	1	68	0.383456597	0.486506974
"('soxr', 'fpr')"	30	25	FALSE												soxr	fpr	0	4	1	1	68	0.383456597	0.486506974
"('rob', 'putp')"	31	26	FALSE												rob	putp	0	4	1	1	68	0.383456597	0.486506974
"('rob', 'nfo')"	32	27	TRUE	2685	"('rob', 'nfo')"		"[(0, 0.10668661084869006, 0.22700206109195417), (10, 0.1857898295728605, 0.15524229624038346), (20, 0.082419887039780884, 0.54218706071071243), (30, 0.17886352425716867, 0.13558295060207579), (60, 0.64507162727830292, 5.0615740934098339e-05), (90, 0.82895655798438683, 7.2126709070380638e-05)]"	['+']	rob	nfo	rob	0	nfo	0	rob	nfo	0	4	1	1	68	0.383456597	0.486506974
"('soxr', 'putp')"	33	28	FALSE												soxr	putp	0	4	1	1	68	0.383456597	0.486506974
"('puta', 'flda')"	34	29	FALSE												puta	flda	0	4	1	1	68	0.383456597	0.486506974
"('rob', 'inaa')"	35	30	TRUE	2682	"('rob', 'inaa')"	0	"[(0, 0.38407926632734457, 6.4477706660049082e-06), (10, 0.24658849806871802, 0.057521135280135971), (20, 0.15405225416296928, 0.25256253325401568), (30, 0.18375167004662615, 0.12504691157679301), (60, -0.051171325067673044, 0.77732430113501272), (90, -0.26471647727567876, 0.32178430266931879)]"	['+']	rob	inaa	rob	0	inaa	0	rob	inaa	0	4	1	1	68	0.383456597	0.486506974
"('mara', 'ygib')"	36	31	TRUE	2090	"('mara', 'ygib')"	0	"[(0, -0.41444937453247754, 9.481633131980112e-07), (10, -0.51259877039632962, 2.8240295950213823e-05), (20, -0.45938605492889745, 0.00032487522184147691), (30, -0.3305945754781287, 0.004865070427915584), (60, -0.38776136182825932, 0.025768591382149656), (90, -0.054525652608190048, 0.84104370324455391)]"	['+']	mara	ygib	mara	0	ygib	0	mara	ygib	0	4	1	1	68	0.383456597	0.486506974
"('rob', 'ydbk')"	37	32	FALSE												rob	ydbk	0	4	1	1	68	0.383456597	0.486506974
"('soxr', 'fumc')"	38	33	TRUE	2716	"('soxr', 'fumc')"	20	"[(0, 0.12530584043953816, 0.15545836749797909), (10, 0.52638699430606284, 1.560941299219045e-05), (20, 0.57594019382773132, 2.7654984911692988e-06), (30, 0.17438416258697845, 0.1458144292398906), (60, -0.3416434148686267, 0.051664348326418176), (90, 0.12666096946530628, 0.64018768347768695)]"	['+']	soxr	fumc	soxr	0	fumc	0	soxr	fumc	0	4	1	1	68	0.383456597	0.486506974
"('soxs', 'nfo')"	39	34	TRUE	2727	"('soxs', 'nfo')"	10	"[(0, 0.21361958912521345, 0.014672928731019707), (10, 0.56194332176628403, 2.9841893167044137e-06), (20, 0.33151863448588775, 0.011764074881299944), (30, 0.20168751488951775, 0.091667774818691386), (60, 0.2001668313862846, 0.2640440816612743), (90, 0.23630404559284401, 0.37825454885257415)]"	['+']	soxs	nfo	soxs	0	nfo	0	soxs	nfo	0	4	1	1	68	0.383456597	0.486506974
"('rob', 'ybjc')"	40	35	TRUE	2690	"('rob', 'ybjc')"		"[(0, 0.27082039649784562, 0.0018303734746186512), (10, 0.2145740067319091, 0.099690103449485923), (20, 0.20395622916769535, 0.12806746717690209), (30, 0.29367296902850382, 0.012930301698408347), (60, -0.16636568167968266, 0.35480004703174517), (90, -0.46167130409885682, 0.071833406545504033)]"	['+']	rob	ybjc	rob	0	ybjc	0	rob	ybjc	0	4	1	1	68	0.383456597	0.486506974
"('soxr', 'tolc')"	41	36	FALSE												soxr	tolc	0	4	1	1	68	0.383456597	0.486506974
"('soxr', 'ptsg')"	42	37	FALSE												soxr	ptsg	0	4	1	1	68	0.383456597	0.486506974
"('mara', 'pqib')"	43	38	TRUE	2081	"('mara', 'pqib')"		"[(0, 0.11851641666224343, 0.17927767438409115), (10, -0.063934815221763516, 0.6274520889216344), (20, 0.016254788792319588, 0.90447522266618097), (30, 0.13980803776340492, 0.24488838878942862), (60, 0.083771418190066921, 0.6430125425394726), (90, 0.57799835186675419, 0.019021327828859447)]"	['+']	mara	pqib	mara	0	pqib	0	mara	pqib	0	4	1	1	68	0.383456597	0.486506974
"('puta', 'poxb')"	44	39	FALSE												puta	poxb	0	4	1	1	68	0.383456597	0.486506974
"('rob', 'micf')"	45	40	TRUE	2684	"('rob', 'micf')"	0	"[(0, 0.38066671209321729, 7.9050781184677472e-06), (10, 0.21930306706444305, 0.092270126386100312), (20, 0.072316949699164912, 0.59293631176696049), (30, 0.41282377448083735, 0.00034655847088089169), (60, 0.42120356985275709, 0.014641943718878652), (90, 0.12755308719870062, 0.63781502992441386)]"	['+']	rob	micf	rob	0	micf	0	rob	micf	0	4	1	1	68	0.383456597	0.486506974
"('soxs', 'ybao')"	46	41	FALSE												soxs	ybao	0	4	1	1	68	0.383456597	0.486506974
"('mara', 'ybjc')"	47	42	TRUE	2088	"('mara', 'ybjc')"	0	"[(0, 0.40092777524210554, 2.278828956414048e-06), (10, 0.127260751208814, 0.33256103138413262), (20, 0.14568501948583415, 0.27955852396940128), (30, 0.2892451433147239, 0.014424952663450114), (60, 0.065799937149865553, 0.71599855243047761), (90, 0.84448964334832177, 3.8690835517978714e-05)]"	['+']	mara	ybjc	mara	0	ybjc	0	mara	ybjc	0	4	1	1	68	0.383456597	0.486506974
"('rob', 'fldb')"	48	43	FALSE												rob	fldb	0	4	1	1	68	0.383456597	0.486506974
"('soxs', 'ompn')"	49	44	TRUE	2729	"('soxs', 'ompn')"		"[(0, 0.21788394861586319, 0.012764951429482328), (10, 0.47727511374318321, 0.00011535532046570906), (20, 0.22813681573666683, 0.087854568507175351), (30, 0.19521071855611088, 0.10280271352325364), (60, 0.20032940394466528, 0.26364830717195326), (90, 0.053232460053584264, 0.84477056084047097)]"	['+']	soxs	ompn	soxs	0	ompn	0	soxs	ompn	0	4	1	1	68	0.383456597	0.486506974
"('soxr', 'riba')"	50	45	FALSE												soxr	riba	0	4	1	1	68	0.383456597	0.486506974
"('rob', 'riba')"	51	46	FALSE												rob	riba	0	4	1	1	68	0.383456597	0.486506974
"('mara', 'riba')"	52	47	FALSE												mara	riba	0	4	1	1	68	0.383456597	0.486506974
"('soxr', 'ygic')"	53	48	FALSE												soxr	ygic	0	4	1	1	68	0.383456597	0.486506974
"('mara', 'micf')"	54	49	TRUE	2076	"('mara', 'micf')"		"[(0, 0.28685401113022346, 0.0009367220785197369), (10, 0.06984118436714061, 0.59593480200168369), (20, -0.01099926765920547, 0.93527869366895122), (30, 0.18696336077355824, 0.11847197330016465), (60, 0.29373827096507765, 0.097082478184571261), (90, 0.17759647783141835, 0.51052302085352319)]"	['+']	mara	micf	mara	0	micf	0	mara	micf	0	4	1	1	68	0.383456597	0.486506974
"('mara', 'ynce')"	55	50	TRUE	2093	"('mara', 'ynce')"		"[(0, 0.19357602060701229, 0.027334613872730961), (10, 0.19019873601528597, 0.14550161556750876), (20, 0.25594066230286139, 0.054650966210806354), (30, 0.40715869604634414, 0.00042527622265191626), (60, 0.20415390184179122, 0.25444995301416534), (90, 0.54561858832898613, 0.028804482373056366)]"	['+']	mara	ynce	mara	0	ynce	0	mara	ynce	0	4	1	1	68	0.383456597	0.486506974
"('rob', 'poxb')"	56	51	FALSE												rob	poxb	0	4	1	1	68	0.383456597	0.486506974
"('mara', 'ptsg')"	57	52	FALSE												mara	ptsg	0	4	1	1	68	0.383456597	0.486506974
"('rob', 'puta')"	58	53	FALSE												rob	puta	0	4	1	1	68	0.383456597	0.486506974
"('soxr', 'ynce')"	59	54	FALSE												soxr	ynce	0	4	1	1	68	0.383456597	0.486506974
"('rob', 'pgi')"	60	55	FALSE												rob	pgi	0	4	1	1	68	0.383456597	0.486506974
"('rob', 'aslb')"	61	56	TRUE	2680	"('rob', 'aslb')"		"[(0, -0.16708231170862115, 0.057431684666300158), (10, 0.2181853387387743, 0.093983624267984678), (20, 0.19793551903557513, 0.1399655488754443), (30, -0.17902608095023639, 0.13522212177865087), (60, -0.28160671475708354, 0.11236485708662354), (90, 0.021452833947702678, 0.93714491859505766)]"	['+']	rob	aslb	rob	0	aslb	0	rob	aslb	0	4	1	1	68	0.383456597	0.486506974
"('soxr', 'pqib')"	62	57	FALSE												soxr	pqib	0	4	1	1	68	0.383456597	0.486506974
"('puta', 'ydbk')"	63	58	FALSE												puta	ydbk	0	4	1	1	68	0.383456597	0.486506974
"('soxr', 'flda')"	64	59	FALSE												soxr	flda	0	4	1	1	68	0.383456597	0.486506974
"('puta', 'ygib')"	65	60	FALSE												puta	ygib	0	4	1	1	68	0.383456597	0.486506974
"('puta', 'ptsg')"	66	61	FALSE												puta	ptsg	0	4	1	1	68	0.383456597	0.486506974
"('rob', 'fpr')"	67	62	FALSE												rob	fpr	0	4	1	1	68	0.383456597	0.486506974
"('mara', 'pqia')"	68	63	TRUE	2080	"('mara', 'pqia')"		"[(0, 0.16501591178840744, 0.060630192544359654), (10, -0.13397384373790025, 0.30747411479291092), (20, -0.071193578484373313, 0.59870743081488709), (30, 0.075338845556240389, 0.53234075137791637), (60, 0.22307480453965495, 0.21208523858026099), (90, 0.56990918306497773, 0.021178746191994412)]"	['+']	mara	pqia	mara	0	pqia	0	mara	pqia	0	4	1	1	68	0.383456597	0.486506974
"('mara', 'nfsa')"	69	64	TRUE	2078	"('mara', 'nfsa')"	0	"[(0, 0.47465797661982273, 1.1609808919058504e-08), (10, 0.24138329187257362, 0.063169992982148052), (20, 0.23945160494924408, 0.072818542765899011), (30, 0.35710469794862948, 0.0022349893544978561), (60, 0.058331653055962406, 0.74711633936855359), (90, 0.80617911244304585, 0.00016223820817609264)]"	['+']	mara	nfsa	mara	0	nfsa	0	mara	nfsa	0	4	1	1	68	0.383456597	0.486506974
"('soxr', 'poxb')"	70	65	FALSE												soxr	poxb	0	4	1	1	68	0.383456597	0.486506974
"('rob', 'ompn')"	71	66	FALSE												rob	ompn	0	4	1	1	68	0.383456597	0.486506974
"('mara', 'aslb')"	72	67	FALSE												mara	aslb	0	4	1	1	68	0.383456597	0.486506974
"('yqji', 'yhhy')"	3	0	FALSE												yqji	yhhy	2	4	1	1	77	0.306358041	0.460490214
"('yqji', 'garp')"	4	1	FALSE												yqji	garp	2	4	1	1	77	0.306358041	0.460490214
"('yqji', 'gark')"	5	2	FALSE												yqji	gark	2	4	1	1	77	0.306358041	0.460490214
"('yqji', 'gspm')"	6	3	FALSE												yqji	gspm	2	4	1	1	77	0.306358041	0.460490214
"('yqji', 'glnd')"	7	4	FALSE												yqji	glnd	2	4	1	1	77	0.306358041	0.460490214
"('yqji', 'gard')"	8	5	FALSE												yqji	gard	2	4	1	1	77	0.306358041	0.460490214
"('yqji', 'gspl')"	9	6	FALSE												yqji	gspl	2	4	1	1	77	0.306358041	0.460490214
"('yqji', 'fepb')"	10	7	FALSE												yqji	fepb	2	4	1	1	77	0.306358041	0.460490214
"('yqji', 'gpma')"	11	8	FALSE												yqji	gpma	2	4	1	1	77	0.306358041	0.460490214
"('fur', 'aspc')"	12	9	TRUE	1642	"('fur', 'aspc')"		"[(0, -0.15414569620356117, 0.079939351542279116), (10, 0.064844193828635308, 0.6225542444424591), (20, -0.097173587955365209, 0.47208216602861819), (30, -0.077963009701545849, 0.51811599074597281), (60, 0.17065538980338585, 0.34235086424544281), (90, -0.095906733125852031, 0.72384557490910728)]"	['-']	fur	aspc	fur	2	aspc	2	fur	aspc	2	4	1	1	77	0.306358041	0.460490214
"('yqji', 'gspo')"	13	10	FALSE												yqji	gspo	2	4	1	1	77	0.306358041	0.460490214
"('yqji', 'ente')"	14	11	FALSE												yqji	ente	2	4	1	1	77	0.306358041	0.460490214
"('yqji', 'yqjh')"	15	12	TRUE	2861	"('yqji', 'yqjh')"	20	"[(0, 0.41549122125957577, 8.8479606266088591e-07), (10, 0.62015908438554135, 1.2605384208369594e-07), (20, 0.71569974482715537, 3.9271613907545933e-10), (30, 0.55516749555985423, 5.0443084682272985e-07), (60, -0.22852809846986102, 0.20083306367793133), (90, -0.11877018795914451, 0.66131404768062996)]"	['-']	yqji	yqjh	yqji	2	yqjh	2	yqji	yqjh	2	4	1	1	77	0.306358041	0.460490214
"('yqji', 'gudp')"	16	13	FALSE												yqji	gudp	2	4	1	1	77	0.306358041	0.460490214
"('yqji', 'tonb')"	17	14	FALSE												yqji	tonb	2	4	1	1	77	0.306358041	0.460490214
"('yqji', 'ygac')"	18	15	FALSE												yqji	ygac	2	4	1	1	77	0.306358041	0.460490214
"('yqji', 'exbb')"	19	16	FALSE												yqji	exbb	2	4	1	1	77	0.306358041	0.460490214
"('yqji', 'sdhd')"	20	17	FALSE												yqji	sdhd	2	4	1	1	77	0.306358041	0.460490214
"('yqji', 'gspc')"	21	18	FALSE												yqji	gspc	2	4	1	1	77	0.306358041	0.460490214
"('yqji', 'feca')"	22	19	FALSE												yqji	feca	2	4	1	1	77	0.306358041	0.460490214
"('yqji', 'sdhc')"	23	20	FALSE												yqji	sdhc	2	4	1	1	77	0.306358041	0.460490214
"('yqji', 'fecd')"	24	21	FALSE												yqji	fecd	2	4	1	1	77	0.306358041	0.460490214
"('yqji', 'fepd')"	25	22	FALSE												yqji	fepd	2	4	1	1	77	0.306358041	0.460490214
"('yqji', 'garl')"	26	23	FALSE												yqji	garl	2	4	1	1	77	0.306358041	0.460490214
"('yqji', 'exbd')"	27	24	FALSE												yqji	exbd	2	4	1	1	77	0.306358041	0.460490214
"('yqji', 'fhua')"	28	25	FALSE												yqji	fhua	2	4	1	1	77	0.306358041	0.460490214
"('cdar', 'sdha')"	29	26	FALSE												cdar	sdha	2	4	1	1	77	0.306358041	0.460490214
"('fur', 'enta')"	30	27	TRUE	1650	"('fur', 'enta')"		"[(0, -0.059188687187118359, 0.50354409449309623), (10, 0.018858868580041183, 0.88627447231456025), (20, 0.2461047866714636, 0.064982093822956041), (30, 0.14226623051758158, 0.23660717374117321), (60, 0.17544233441156845, 0.32877658504011431), (90, 0.48672773086227628, 0.055882988286805095)]"	['-']	fur	enta	fur	2	enta	2	fur	enta	2	4	1	1	77	0.306358041	0.460490214
"('fur', 'entb')"	31	28	TRUE	1651	"('fur', 'entb')"		"[(0, -0.15271417937599452, 0.082814847225522986), (10, -0.072581665065159617, 0.58155406676686439), (20, 0.1250667973248262, 0.35394676113254941), (30, -0.060303288643566773, 0.61738467216632964), (60, 0.25243133236335574, 0.15640516270144095), (90, 0.55929700778171054, 0.024289953740298489)]"	['-']	fur	entb	fur	2	entb	2	fur	entb	2	4	1	1	77	0.306358041	0.460490214
"('cdar', 'rnpb')"	32	29	TRUE	941	"('cdar', 'rnpb')"	60	"[(0, 0.25734643931054352, 0.0031184578003745204), (10, 0.15996220862561508, 0.22213265492613438), (20, 0.29586108846721643, 0.025450204469081181), (30, 0.24143163681512333, 0.042525365208950748), (60, 0.68434680024677774, 1.1246954705823356e-05), (90, 0.15069795437430131, 0.57746418430626489)]"	['+']	cdar	rnpb	cdar	2	rnpb	2	cdar	rnpb	2	4	1	1	77	0.306358041	0.460490214
"('fur', 'feci')"	33	30	TRUE	1663	"('fur', 'feci')"		"[(0, -0.1274950914339473, 0.14830793703146597), (10, 0.015560430281098877, 0.90606592382861473), (20, -0.27973129058551777, 0.035082256490799019), (30, -0.26197824982372719, 0.027314994541359317), (60, 0.31102296302031218, 0.078104690285182854), (90, 0.31509648230125298, 0.23454615839829304)]"	['-']	fur	feci	fur	2	feci	2	fur	feci	2	4	1	1	77	0.306358041	0.460490214
"('yqji', 'gspg')"	34	31	FALSE												yqji	gspg	2	4	1	1	77	0.306358041	0.460490214
"('fur', 'fhuc')"	35	32	TRUE	1676	"('fur', 'fhuc')"		"[(0, 0.027851048282435457, 0.75310724175317811), (10, 0.13085590438624284, 0.31897004323937783), (20, -0.020048450538870326, 0.88232388695539121), (30, -0.10515360973917043, 0.38280706696492495), (60, 0.26421089635251727, 0.13733175783314217), (90, 0.33856768756733269, 0.19959567179155233)]"	['-']	fur	fhuc	fur	2	fhuc	2	fur	fhuc	2	4	1	1	77	0.306358041	0.460490214
"('fur', 'yjjz')"	36	33	TRUE	1747	"('fur', 'yjjz')"		"[(0, 0.092033181210201487, 0.29768202352018286), (10, 0.29056003497416283, 0.024312558537494297), (20, 0.065618080262873801, 0.62770944476169688), (30, 0.024121574559039363, 0.8417360991696089), (60, 0.083378365743431423, 0.64457723976012093), (90, 0.30688353225246917, 0.24762909132165772)]"	['-']	fur	yjjz	fur	2	yjjz	2	fur	yjjz	2	4	1	1	77	0.306358041	0.460490214
"('yqji', 'gspe')"	37	34	FALSE												yqji	gspe	2	4	1	1	77	0.306358041	0.460490214
"('yqji', 'entc')"	38	35	FALSE												yqji	entc	2	4	1	1	77	0.306358041	0.460490214
"('yqji', 'fiu')"	39	36	FALSE												yqji	fiu	2	4	1	1	77	0.306358041	0.460490214
"('yqji', 'fecb')"	40	37	FALSE												yqji	fecb	2	4	1	1	77	0.306358041	0.460490214
"('yqji', 'fes')"	41	38	FALSE												yqji	fes	2	4	1	1	77	0.306358041	0.460490214
"('yqji', 'fhue')"	42	39	FALSE												yqji	fhue	2	4	1	1	77	0.306358041	0.460490214
"('yqji', 'gspd')"	43	40	FALSE												yqji	gspd	2	4	1	1	77	0.306358041	0.460490214
"('fur', 'fhua')"	44	41	TRUE	1674	"('fur', 'fhua')"		"[(0, -0.029446905657981724, 0.73945449906631133), (10, 0.069624785434609218, 0.59707705298339331), (20, -0.12867205395801987, 0.34013240910276099), (30, -0.119880245612524, 0.31934928088874154), (60, 0.30802090839074492, 0.081176229668197666), (90, 0.42873937619102814, 0.097518158006993871)]"	['-']	fur	fhua	fur	2	fhua	2	fur	fhua	2	4	1	1	77	0.306358041	0.460490214
"('fur', 'fecr')"	45	42	TRUE	1664	"('fur', 'fecr')"		"[(0, -0.0010139170498119634, 0.99086539286184672), (10, 0.15068500751995972, 0.25046360872789664), (20, -0.0037238850780463915, 0.9780673795749304), (30, -0.070525309833752922, 0.55892617995565175), (60, 0.25654346307599796, 0.14954154574548054), (90, 0.34938684376660067, 0.18469096288020184)]"	['-']	fur	fecr	fur	2	fecr	2	fur	fecr	2	4	1	1	77	0.306358041	0.460490214
"('fur', 'fhud')"	46	43	TRUE	1677	"('fur', 'fhud')"		"[(0, -0.022808738424281053, 0.79672995828735915), (10, 0.16337319008162912, 0.21230128208732488), (20, 0.14457730866162308, 0.28327023385115246), (30, 0.084803558899689852, 0.48196097075228561), (60, 0.26275812389724135, 0.13958713482917171), (90, 0.56865256190562141, 0.021530169617268512)]"	['-']	fur	fhud	fur	2	fhud	2	fur	fhud	2	4	1	1	77	0.306358041	0.460490214
"('fur', 'ndh')"	47	44	TRUE	1713	"('fur', 'ndh')"		"[(0, -0.036781842685429868, 0.6777995224313641), (10, -0.11642111046484986, 0.37570298205885133), (20, -0.2369543462340053, 0.075947132774726131), (30, -0.17255691217427094, 0.15015019860979878), (60, 0.34174853410431927, 0.051587793874567245), (90, 0.29620250452597685, 0.26530808587807514)]"	['-']	fur	ndh	fur	2	ndh	2	fur	ndh	2	4	1	1	77	0.306358041	0.460490214
"('fur', 'entd')"	48	45	TRUE	1653	"('fur', 'entd')"		"[(0, 0.091065949009051697, 0.30280997201174326), (10, 0.20083484950674341, 0.12388755804977401), (20, 0.14974505518109368, 0.26623005341799044), (30, 0.3223968403888271, 0.0061071488634293087), (60, 0.001970296192879353, 0.99131754562916696), (90, 0.42290053576118636, 0.10267364464561568)]"	['-']	fur	entd	fur	2	entd	2	fur	entd	2	4	1	1	77	0.306358041	0.460490214
"('yqji', 'cira')"	49	46	FALSE												yqji	cira	2	4	1	1	77	0.306358041	0.460490214
"('cdar', 'fecb')"	50	47	FALSE												cdar	fecb	2	4	1	1	77	0.306358041	0.460490214
"('yqji', 'gspj')"	51	48	FALSE												yqji	gspj	2	4	1	1	77	0.306358041	0.460490214
"('fur', 'sucd')"	52	49	TRUE	1736	"('fur', 'sucd')"		"[(0, 0.019561379045992314, 0.82516946808557667), (10, -0.04665888129109369, 0.72333270229935853), (20, -0.27430912963044812, 0.038932629857533353), (30, -0.27165217810520981, 0.021927025582269929), (60, -0.051584867559105442, 0.77557044381748053), (90, -0.19034125888487585, 0.48012494463351041)]"	['+']	fur	sucd	fur	2	sucd	2	fur	sucd	2	4	1	1	77	0.306358041	0.460490214
"('yqji', 'entb')"	53	50	FALSE												yqji	entb	2	4	1	1	77	0.306358041	0.460490214
"('yqji', 'fepa')"	54	51	FALSE												yqji	fepa	2	4	1	1	77	0.306358041	0.460490214
"('cdar', 'fecc')"	55	52	FALSE												cdar	fecc	2	4	1	1	77	0.306358041	0.460490214
"('yqji', 'gspi')"	56	53	FALSE												yqji	gspi	2	4	1	1	77	0.306358041	0.460490214
"('fur', 'entf')"	57	54	TRUE	1655	"('fur', 'entf')"		"[(0, -0.053567226312719998, 0.54498211573866917), (10, 0.062780823707449002, 0.63369046698551745), (20, -0.037779106870567007, 0.78023981414546628), (30, 0.23838504621351181, 0.045287224509952165), (60, 0.22340181711557183, 0.21139853824177715), (90, 0.62377782912230517, 0.0098177255124631754)]"	['-']	fur	entf	fur	2	entf	2	fur	entf	2	4	1	1	77	0.306358041	0.460490214
"('fur', 'crl')"	58	55	TRUE	1644	"('fur', 'crl')"	0	"[(0, 0.4292859990467367, 3.4628607138687097e-07), (10, 0.51661554070403382, 2.3823738417987918e-05), (20, 0.36385398761323717, 0.0053985223452042508), (30, 0.47998980999139601, 2.2779442653572441e-05), (60, 0.33922097122290584, 0.053453693027582037), (90, 0.4438623756609828, 0.085023255201108011)]"	['-']	fur	crl	fur	2	crl	2	fur	crl	2	4	1	1	77	0.306358041	0.460490214
