regulator-target	rank_importance	Rank	tp	index	Edge	Lag	Lag_list	Sign	parent	child	name_x	parent_cluster	name_y	child_cluster	Source	Target	moduleID	window_size	min_lag	max_lag	total_edges	pr	auroc
"('soxr', 'ompn')"	5	0	FALSE												soxr	ompn	0	4	1	1	68	0.383456597	0.486506974
"('rob', 'ybjn')"	6	1	TRUE	2691	"('rob', 'ybjn')"		"[(0, 0.0022968843638287305, 0.97930869694208134), (10, 0.204906300691205, 0.11629319621137402), (20, 0.098051784771905154, 0.46806837688847469), (30, 0.43771421828057094, 0.00013493476857570408), (60, -0.45330208970113928, 0.0080659494256120606), (90, -0.20332824384184495, 0.45007971208682018)]"	['+']	rob	ybjn	rob	0	ybjn	0	rob	ybjn	0	4	1	1	68	0.383456597	0.486506974
"('puta', 'pqia')"	7	2	FALSE												puta	pqia	0	4	1	1	68	0.383456597	0.486506974
"('rob', 'acna')"	8	3	TRUE	2677	"('rob', 'acna')"	0	"[(0, 0.4955959645568796, 2.0350586083754835e-09), (10, 0.056511384608753844, 0.66801775425509502), (20, -0.037596379391089237, 0.78127637057425359), (30, 0.23288417230808411, 0.050648072899478834), (60, 0.68322137452511167, 1.1779530090336208e-05), (90, 0.55914742509710325, 0.024336181515147323)]"	['+']	rob	acna	rob	0	acna	0	rob	acna	0	4	1	1	68	0.383456597	0.486506974
"('soxs', 'aslb')"	9	4	FALSE												soxs	aslb	0	4	1	1	68	0.383456597	0.486506974
"('soxr', 'pgi')"	10	5	FALSE												soxr	pgi	0	4	1	1	68	0.383456597	0.486506974
"('soxr', 'micf')"	11	6	FALSE												soxr	micf	0	4	1	1	68	0.383456597	0.486506974
"('soxr', 'fldb')"	12	7	FALSE												soxr	fldb	0	4	1	1	68	0.383456597	0.486506974
"('puta', 'ygic')"	13	8	FALSE												puta	ygic	0	4	1	1	68	0.383456597	0.486506974
"('soxs', 'ynce')"	14	9	FALSE												soxs	ynce	0	4	1	1	68	0.383456597	0.486506974
"('rob', 'tolc')"	15	10	TRUE	2689	"('rob', 'tolc')"	0	"[(0, 0.41680879151547523, 8.1041642371685549e-07), (10, 0.09608851429880326, 0.46518616589402495), (20, 0.0051154143836115796, 0.96987494194570667), (30, 0.5067705279134791, 6.4972173743826166e-06), (60, 0.27354316011706598, 0.12347680627250929), (90, -0.081467385651047955, 0.7642272673784859)]"	['+']	rob	tolc	rob	0	tolc	0	rob	tolc	0	4	1	1	68	0.383456597	0.486506974
"('mara', 'ydbk')"	16	11	FALSE												mara	ydbk	0	4	1	1	68	0.383456597	0.486506974
"('soxr', 'nfo')"	17	12	FALSE												soxr	nfo	0	4	1	1	68	0.383456597	0.486506974
"('soxs', 'soda')"	18	13	TRUE	2737	"('soxs', 'soda')"	0	"[(0, 0.48523433071597455, 4.8885041447131445e-09), (10, 0.24393798280792564, 0.060344180883863008), (20, 0.18852861961751258, 0.16018312322099329), (30, 0.046359781538601451, 0.70104720592761061), (60, 0.22188773160263248, 0.21459086565657823), (90, 0.31239097382490277, 0.23880691112210586)]"	['+']	soxs	soda	soxs	0	soda	0	soxs	soda	0	4	1	1	68	0.383456597	0.486506974
"('soxr', 'zwf')"	19	14	FALSE												soxr	zwf	0	4	1	1	68	0.383456597	0.486506974
"('soxr', 'soda')"	20	15	FALSE												soxr	soda	0	4	1	1	68	0.383456597	0.486506974
"('soxr', 'inaa')"	21	16	FALSE												soxr	inaa	0	4	1	1	68	0.383456597	0.486506974
"('soxr', 'rimk')"	22	17	FALSE												soxr	rimk	0	4	1	1	68	0.383456597	0.486506974
"('soxs', 'fumc')"	23	18	TRUE	2723	"('soxs', 'fumc')"	10	"[(0, 0.38555035280034494, 5.9013827844585728e-06), (10, 0.58291499378750133, 1.0242995148753607e-06), (20, 0.37901669747060268, 0.0036439414064911757), (30, 0.2735467039108011, 0.020985350676625592), (60, -0.24556069656205065, 0.16837489823846469), (90, -0.39152981467853909, 0.13368910459477215)]"	['+']	soxs	fumc	soxs	0	fumc	0	soxs	fumc	0	4	1	1	68	0.383456597	0.486506974
"('rob', 'pqib')"	24	19	FALSE												rob	pqib	0	4	1	1	68	0.383456597	0.486506974
"('rob', 'nfsa')"	25	20	TRUE	2686	"('rob', 'nfsa')"		"[(0, 0.31623321196864534, 0.00024703625197486508), (10, 0.30759262164192402, 0.016813594095051801), (20, 0.27988624629496128, 0.034977044012208067), (30, 0.38061998319416945, 0.0010588044121359755), (60, -0.12315987742463662, 0.49471660353507252), (90, -0.40732753959572171, 0.11735858543004864)]"	['+']	rob	nfsa	rob	0	nfsa	0	rob	nfsa	0	4	1	1	68	0.383456597	0.486506974
