cluster_id	lag_mean	lag_median	percent_lagged	total_edges
0.0	0.9901563610518835	0.9029850746268657	0.29850746268656714	67.0
2.0	1.4164855072463771	1.3043478260869565	0.4782608695652174	46.0
6.0	1.4114583333333333	1.375	0.4375	16.0
9.0	0.8194444444444445	0.7916666666666666	0.3333333333333333	12.0
12.0	1.2894444444444444	1.3	0.5	30.0
14.0	1.7645293100738644	1.806930693069307	0.6336633663366337	101.0
16.0	1.1466666666666667	1.0	0.4666666666666667	15.0
21.0	1.245508658008658	1.2272727272727273	0.4090909090909091	22.0
22.0	1.9154692082111435	1.9274193548387097	0.7096774193548387	62.0
23.0	1.0126984126984127	1.0	0.3333333333333333	21.0
27.0	1.2441468253968253	1.1354166666666667	0.375	48.0
29.0	0.9888888888888889	1.0277777777777777	0.3888888888888889	18.0
38.0	1.1526315789473685	1.1578947368421053	0.5263157894736842	19.0
42.0	0.9243039042334819	0.8309859154929577	0.30985915492957744	71.0
46.0	1.3038690476190475	1.3571428571428572	0.5	56.0
48.0	1.2606582633053223	1.2294117647058824	0.4	85.0
55.0	1.582638888888889	1.71875	0.75	16.0
60.0	1.2799382716049383	1.3703703703703705	0.5	54.0
