cluster_id	lag_mean	lag_median	percent_lagged	total_edges
0.0	1.2505494505494505	1.0769230769230769	0.04477611940298507	67.0
2.0	1.7871212121212119	1.5454545454545454	0.10869565217391304	46.0
6.0			0.0	16.0
9.0			0.0	12.0
12.0	1.6833333333333333	1.9166666666666667	0.13333333333333333	30.0
14.0	1.834971838197645	1.8870967741935485	0.12871287128712872	101.0
16.0	1.2	0.0	0.0	15.0
21.0	1.4484523809523808	1.4	0.18181818181818182	22.0
22.0	1.871867321867322	1.7837837837837838	0.2903225806451613	62.0
23.0	0.8875	0.9375	0.09523809523809523	21.0
27.0	1.4428571428571428	1.5	0.020833333333333332	48.0
29.0	1.8	2.0	0.0	18.0
38.0	1.4	2.0	0.0	19.0
42.0	0.5085954078601138	0.3382352941176471	0.04225352112676056	71.0
46.0	1.2212121212121212	1.2727272727272727	0.08928571428571429	56.0
48.0	1.1495714285714285	1.12	0.08235294117647059	85.0
55.0	2.051851851851852	2.3333333333333335	0.0625	16.0
60.0	2.175	2.75	0.05555555555555555	54.0
