baseline_aupr	baseline_auroc	cluster_id	lagged_edges	lagged_edges2	nan_edges	percent_lagged	percent_lagged2	swing_aupr	swing_auroc	total_edges
0.427438065822622	0.5463917525773198	0.0	5.0	2.0	50.0	0.07352941176470588	0.029411764705882353	0.383456597341651	0.4865069739235901	68.0
0.31462134945430653	0.4890250594475944	2.0	2.0	2.0	66.0	0.025974025974025976	0.025974025974025976	0.3063580412841342	0.46049021401134066	77.0
0.32755343466083886	0.40158636897767325	3.0	15.0	15.0	28.0	0.32608695652173914	0.32608695652173914	0.334595038085613	0.45387779083431273	46.0
0.6390802485571677	0.7464046493301809	8.0	9.0	2.0	52.0	0.09574468085106383	0.02127659574468085	0.6676995177340372	0.7850669818754923	94.0
0.22572934028431968	0.530258985200846	11.0	15.0	8.0	24.0	0.3409090909090909	0.18181818181818182	0.24405378357683258	0.5093816067653278	44.0
0.19102491277129885	0.4413359977162433	15.0	0.0	0.0	24.0	0.0	0.0	0.22628366638601932	0.4941478732514988	31.0
0.3478266872545017	0.563254744105808	21.0	2.0	1.0	26.0	0.0425531914893617	0.02127659574468085	0.21737002618234622	0.46204715353651515	47.0
0.5335512667239024	0.672	22.0	3.0	1.0	13.0	0.15	0.05	0.6363502918057821	0.724	20.0
0.5166840087042962	0.7728110229912682	27.0	7.0	2.0	29.0	0.12280701754385964	0.03508771929824561	0.47761094608708277	0.7551069454458063	57.0
0.15443328087760372	0.4844947735191637	28.0	13.0	5.0	47.0	0.15853658536585366	0.06097560975609756	0.15027099696886706	0.5081134892981585	82.0
0.3663299798780568	0.45267489711934156	30.0	1.0	1.0	11.0	0.05555555555555555	0.05555555555555555	0.29718169520545196	0.33744855967078197	18.0
0.40585333895108083	0.465625	34.0	2.0	0.0	9.0	0.125	0.0	0.6741599841687521	0.759375	16.0
0.41888880423474917	0.5859090909090906	37.0	2.0	1.0	24.0	0.045454545454545456	0.022727272727272728	0.4601082230193087	0.6386363636363636	44.0
0.3860269079012846	0.6388422035480851	45.0	5.0	1.0	35.0	0.07936507936507936	0.015873015873015872	0.18807942849625028	0.47258014316837843	63.0
0.4300131874382419	0.5345394736842105	48.0	0.0	0.0	54.0	0.0	0.0	0.34718743147226644	0.4813273993808054	76.0
0.5387727751163351	0.5012787723785166	49.0	7.0	7.0	25.0	0.20588235294117646	0.20588235294117646	0.7178889442797829	0.639386189258312	34.0
0.2894489217794368	0.46081504702194376	57.0	1.0	0.0	15.0	0.045454545454545456	0.0	0.40686029723012934	0.5752351097178684	22.0
0.4442955814716143	0.48907718787236854	58.0	3.0	2.0	63.0	0.03614457831325301	0.024096385542168676	0.4782899976369869	0.5465377995498475	83.0
0.32124904254611475	0.349264705882353	59.0	8.0	7.0	21.0	0.2	0.175	0.3471983892814388	0.4029411764705883	40.0
0.42815196860565047	0.3653250773993808	62.0	4.0	0.0	13.0	0.21052631578947367	0.0	0.5265729570464621	0.563467492260062	19.0
