name,__glayCluster,,
YDR310C,34,,
YMR272C,34,,
YDR322W,34,,
YOR255W,34,,
YFR032C,34,,
YGR059W,34,,
YGR258C,34,,
YKR034W,34,,
YOL043C,34,,
YKR035W-A,34,,
YHR185C,34,,
YGL137W,34,,
YOR365C,34,,
YBR017C,34,,
YJL044C,34,,
YGR255C,34,,
YJL043W,34,,
YHR091C,34,,
YOR093C,34,,
YCL048W,34,,
YJR077C,34,,
YOR213C,34,,
YMR272W-B,34,,
YLR082C,34,,
YOR254C,34,,
YHR184W,34,,
YDR127W,34,,
YGL170C,34,,
YDR042C,34,,
YBR148W,34,,
YFL040W,34,,
YFR023W,34,,
YGL169W,34,,
YBR180W,34,,
YOL102C,34,,
YNL317W,34,,
YGR260W,34,,
YDL049C,34,,
YJR078W,34,,
YAL023C,34,,
YGL138C,34,,
YMR257C,34,,
YOR094W,34,,
YOR367W,34,,
YNL318C,34,,
YFL010W-A,34,,
YOL042W,34,,
YCL049C,34,,
YJR025C,34,,
YDR520C,33,,
YHR128W,33,,
YBR137W,33,,
YER036C,33,,
YER037W,33,,
YBL005W,32,,
YBL006C,32,,
YMR042W,31,,
YJL089W,31,,
YFL021W,31,,
YML099C,31,,
YJL110C,31,,
YDL170W,31,,
YPL177C,31,,
YCR106W,31,,
YBR015C,31,,
YGL157W,31,,
YOL058W,31,,
YLR023C,31,,
YOR113W,31,,
YGR100W,31,,
YDR452W,31,,
YEL062W,31,,
YER069W,31,,
YLL048C,31,,
YDR463W,31,,
YDR047W,31,,
YDL237W,31,,
YLR094C,31,,
YBL104C,31,,
YPR171W,31,,
YPL265W,31,,
YOL126C,31,,
YMR032W,31,,
YDR508C,31,,
YDL238C,31,,
YFL023W,31,,
YDR434W,31,,
YOL140W,31,,
YFL024C,31,,
YEL063C,31,,
YJR011C,31,,
YHR156C,31,,
YDR046C,31,,
YJL088W,31,,
YBR043C,31,,
YHR157W,31,,
YIL002W-A,31,,
YNL241C,31,,
YJR013W,31,,
YNL050C,31,,
YKL161C,31,,
YDR510W,31,,
YBR016W,31,,
YKR097W,31,,
YER065C,31,,
YKL160W,31,,
YOL125W,31,,
YMR031C,31,,
YER048C,31,,
YPR127W,31,,
YIR029W,31,,
YML098W,31,,
YML051W,30,,
YBR019C,30,,
YBR020W,30,,
YLR176C,29,,
YKR099W,29,,
YAL044C,29,,
YMR243C,29,,
YKR079C,29,,
YGR061C,29,,
YDR408C,29,,
YGR204W,29,,
YDR410C,29,,
YLR286C,29,,
YMR244W,29,,
YDR409W,29,,
YMR120C,29,,
YKL218C,29,,
YCL030C,29,,
YDL229W,29,,
YMR300C,29,,
YMR186W,29,,
YLR060W,29,,
YKR080W,29,,
YOR267C,29,,
YGL234W,29,,
