cluster_id	lag_mean	lag_median
0.0	1.0986471861471865	0.9659090909090909
2.0	1.5046568627450982	1.3529411764705883
6.0	1.048611111111111	1.0
9.0	1.0925925925925926	1.0555555555555556
12.0	1.321604938271605	1.3333333333333333
14.0	1.75247113997114	1.8011363636363635
16.0	1.2909090909090908	1.0909090909090908
21.0	1.3048185941043084	1.2857142857142858
22.0	1.8976900149031293	1.9098360655737705
23.0	0.9541666666666666	0.9375
27.0	1.2573015873015874	1.0833333333333333
29.0	1.1500000000000001	1.2083333333333333
38.0	1.718181818181818	1.7272727272727273
42.0	0.8691496437590187	0.765625
46.0	1.321069182389937	1.3773584905660377
48.0	1.2375875350140058	1.1985294117647058
55.0	1.8135802469135802	2.0555555555555554
60.0	1.6799019607843138	1.8235294117647058
