,child,Lag_list
48,mhpr,"[(0, 0.24468470845187915, 0.0050212096512436619), (10, 0.55911506754640128, 3.4280382073115449e-06), (20, 0.64500613228624093, 6.1062743658323353e-08), (30, 0.11256327624891269, 0.34998704380014556), (60, 0.47220159495558167, 0.0055273482408477771), (90, 0.048872943939364796, 0.85735660214254672)]"
57,rhar,"[(0, 0.28676787431604456, 0.00094019911340333009), (10, 0.50018137114533712, 4.7142113296220642e-05), (20, 0.55990102067786607, 5.9444325056386686e-06), (30, 0.25536703347385686, 0.031607341780741795), (60, 0.2753239042036485, 0.12095540763987984), (90, -0.005532422262506909, 0.98377651652657583)]"
58,rhas,"[(0, 0.078967750604395676, 0.37181936464312215), (10, 0.45932443860443806, 0.00022281540737773207), (20, 0.54044096491758553, 1.4281927747539236e-05), (30, 0.30932119086333276, 0.0086691081651084842), (60, 0.50683946121025547, 0.0026118771404415337), (90, 0.31201947466464031, 0.23939572362863926)]"
60,tdca,"[(0, 0.33708441901557479, 8.7947016413524352e-05), (10, 0.55658793778962545, 3.8760272941596868e-06), (20, 0.59945679998607604, 8.3452930174014057e-07), (30, 0.34906372583204703, 0.0028496282545536641), (60, 0.24593507668804815, 0.16770630949808266), (90, 0.14166533841473711, 0.60073268428364457)]"
64,zrar,"[(0, 0.25102439475699095, 0.0039672977756295743), (10, 0.58215297881338357, 1.066279887324301e-06), (20, 0.60876780936495845, 5.0551016368379656e-07), (30, 0.29376156421686522, 0.012901817559073882), (60, 0.057290853549670819, 0.75148556111183473), (90, -0.27462023241338174, 0.30332085499569988)]"
512,aldb,"[(0, 0.13673051842411246, 0.12085242199080198), (10, 0.53613713991610001, 1.0102180408455147e-05), (20, 0.58181119934730008, 2.0685822056481514e-06), (30, 0.37224945601177961, 0.0013902132362514723), (60, 0.49089096324646642, 0.0037239861121658602), (90, 0.47309816282156114, 0.064195172035132947)]"
523,araj,"[(0, 0.15023463916264171, 0.087991001726051316), (10, 0.37031423144598058, 0.0035864839079414027), (20, 0.5516014958791684, 8.6973255028076943e-06), (30, 0.18184945537183983, 0.12907021044777389), (60, 0.221168932329533, 0.21611790082647309), (90, 0.27697141206538733, 0.29903147848286538)]"
591,fadh,"[(0, 0.15003801279344794, 0.088412261243781376), (10, 0.45682631049789674, 0.00024349927601833004), (20, 0.5423630451442667, 1.3129154664416454e-05), (30, 0.20888761021484384, 0.080426273233870568), (60, 0.49660776198171291, 0.003285682727822523), (90, 0.21595650896812882, 0.42180075860088317)]"
596,fecb,"[(0, -0.017711083486020084, 0.84147842698328357), (10, 0.46249620919619949, 0.00019886970470720899), (20, 0.55522134715487337, 7.3764203997383453e-06), (30, -0.14557667203572477, 0.22576388378297466), (60, -0.49932615721071766, 0.0030934296758140154), (90, -0.6247224783221641, 0.0096745601308888419)]"
597,fecc,"[(0, -0.096923691580388507, 0.27263617063322404), (10, 0.53612114022615898, 1.0109508463076516e-05), (20, 0.65096596910630788, 4.1982093726141121e-08), (30, -0.22899395892483046, 0.054744694957729143), (60, -0.59489334905214653, 0.00026090727160916859), (90, -0.54646199221364833, 0.028508871509067051)]"
