,child,Lag_list
609,fuci,"[(0, 0.27699222056407807, 0.0014209622052113627), (10, 0.61275609985216994, 1.9533815200618037e-07), (20, 0.66473347868100474, 1.710759839403271e-08), (30, 0.17724245762219573, 0.13922114031414701), (60, 0.25548705284010909, 0.1512835812053879), (90, 0.52188409521832924, 0.038123724836542965)]"
620,gada,"[(0, 0.075302812224883914, 0.39449075260056776), (10, 0.5809505385534024, 1.1358157677272491e-06), (20, 0.65004988367403582, 4.4494502313260169e-08), (30, 0.46823696406089782, 3.8248011823737685e-05), (60, 0.3877543974694681, 0.025771481632210855), (90, 0.55230555498628786, 0.026523858499817751)]"
621,gadb,"[(0, 0.14950167259470706, 0.08956950747631294), (10, 0.56039923682543746, 3.2193767412032086e-06), (20, 0.60784335046239213, 5.3168870846652874e-07), (30, 0.51763384240700561, 3.7870462624015273e-06), (60, 0.4594430207181105, 0.0071500941588216417), (90, 0.59426999220755883, 0.015199648508094195)]"
664,gntu,"[(0, -0.11093323025758818, 0.20893491790173388), (10, 0.49080802679121954, 6.8514189495712323e-05), (20, 0.55014897541221508, 9.2866353996644875e-06), (30, -0.053749858647762827, 0.65618435623427884), (60, -0.25671760211059375, 0.14925579062063504), (90, -0.3137123173523873, 0.23671998762674018)]"
683,hyfd,"[(0, -0.070756166455939865, 0.42373627222419752), (10, 0.48179780543791689, 9.7156898059905049e-05), (20, 0.5750910112079094, 2.8827750719878683e-06), (30, 0.016656330097750666, 0.89034547490467286), (60, -0.23812402722302584, 0.18205203753286384), (90, 0.067373052667996244, 0.8042021440478434)]"
692,idno,"[(0, 0.11453168729352092, 0.19445093271452649), (10, 0.53878177029159968, 8.9565271131672544e-06), (20, 0.55548159676993003, 7.2890342146583858e-06), (30, 0.13511699619636108, 0.26123855419063313), (60, 0.41188192455885864, 0.017235112197880643), (90, 0.5249632205984508, 0.036801182250625904)]"
700,lacy,"[(0, 0.050381788916412679, 0.56918349231714704), (10, 0.52051824000261382, 2.0153434166260186e-05), (20, 0.57028676531201838, 3.6384148109122506e-06), (30, -0.045016937437618809, 0.70931545232559945), (60, -0.23157457124627959, 0.19473064978876925), (90, -0.20122234595744667, 0.45488626689818568)]"
710,lsrk,"[(0, 0.045923594234461441, 0.60388189207721665), (10, 0.52057880332527873, 2.0100850549566464e-05), (20, 0.5848943778607415, 1.7719834588824411e-06), (30, 0.33791330198365971, 0.0039507912753497737), (60, 0.31837202810602411, 0.070964967154984987), (90, 0.36151531559755079, 0.16887425228391956)]"
713,malg,"[(0, 0.36657248675307863, 1.7908044474044211e-05), (10, 0.46823402488318555, 0.00016144059179497392), (20, 0.56765891076779207, 4.1261226452717215e-06), (30, 0.16828903629576986, 0.16065068589265971), (60, 0.28325255104600089, 0.11019200867170138), (90, 0.29754548500982059, 0.2630439070898245)]"
725,mdte,"[(0, -0.078066698693570039, 0.37731790674621601), (10, 0.53670466923891402, 9.845416799320792e-06), (20, 0.56262653479969693, 5.2342933832674331e-06), (30, 0.2631317052550276, 0.026618966430923666), (60, 0.31311583072214522, 0.076017141628036633), (90, 0.34906536878304334, 0.18512297080981333)]"
737,mhpd,"[(0, 0.28362157282714351, 0.0010755974528554599), (10, 0.56148697781974999, 3.0519712197496157e-06), (20, 0.62760248756438586, 1.7430910015047103e-07), (30, 0.42787166878692845, 0.00019765473611425716), (60, 0.53538703817341982, 0.0013245091939582082), (90, 0.59629497687186295, 0.014769497557121064)]"
746,murp,"[(0, 0.26697005134635782, 0.0021373119172580033), (10, 0.46405360324083483, 0.00018799536574776705), (20, 0.61407297021652507, 3.7716802604551581e-07), (30, 0.25128761030335894, 0.034528056423298696), (60, 0.21686212722514481, 0.22542312354870858), (90, 0.22095785919324162, 0.41086325806601676)]"
751,nana,"[(0, 0.31692941933992103, 0.00023894665446360077), (10, 0.40323492594275873, 0.001400482820464094), (20, 0.56564509255708639, 4.5403583025529485e-06), (30, 0.043111064169428399, 0.72110793461952727), (60, 0.073376874092894048, 0.68488012648255314), (90, 0.22114136191912828, 0.41046482392869765)]"
753,nank,"[(0, 0.33715198421388498, 8.7642513513672122e-05), (10, 0.54807210195325429, 5.8204176146207845e-06), (20, 0.61264876361925913, 4.0823524704708659e-07), (30, 0.00086120183597061621, 0.99431287883083919), (60, 0.38148649335470847, 0.028482926924786905), (90, 0.50754878591994468, 0.044757824591384381)]"
770,paab,"[(0, 0.16396247848851855, 0.06231606557584371), (10, 0.56399007750436991, 2.697113352916929e-06), (20, 0.61302764976331658, 3.9974402784015472e-07), (30, 0.32771745494142496, 0.0052728662508528647), (60, 0.36755086578264801, 0.035352684546808073), (90, 0.45240965770370972, 0.078492522956287183)]"
772,paad,"[(0, 0.21292824876889777, 0.01500458342914459), (10, 0.56430423943446351, 2.6554044209615645e-06), (20, 0.64200822247800038, 7.3501441201760008e-08), (30, 0.25760829643665251, 0.030092867462505418), (60, 0.4091365788475223, 0.018068035431277534), (90, 0.50784055497129299, 0.044614743487402256)]"
773,paae,"[(0, 0.10403471304866545, 0.2388280007839754), (10, 0.54849052581470736, 5.7067841442000474e-06), (20, 0.60381180522945421, 6.6141521558110183e-07), (30, 0.21272760043677522, 0.074895279702049913), (60, 0.31997991857151925, 0.06947294933151392), (90, 0.46251786472954681, 0.071245914360224163)]"
774,paaf,"[(0, 0.15712186173219631, 0.074217786109598782), (10, 0.61748986521297922, 1.4781290971754211e-07), (20, 0.63780242447412183, 9.5015512277031362e-08), (30, 0.28598268567481794, 0.015619465707945609), (60, 0.41846507335209493, 0.015367389319496522), (90, 0.56955817050971858, 0.021276460500536911)]"
792,prpe,"[(0, -0.064284756293347595, 0.46745142372793402), (10, 0.52822536294211186, 1.4394688849629808e-05), (20, 0.61392498360535441, 3.8028979831652206e-07), (30, 0.26254147447928883, 0.026973233495544497), (60, 0.16340971892943509, 0.36353451723670316), (90, 0.17376470849876738, 0.51983327924100697)]"
832,sgbh,"[(0, 0.0057010876449524748, 0.94867154509082452), (10, 0.49561959232930319, 5.6626837637111924e-05), (20, 0.59157393150695037, 1.2602289537894062e-06), (30, 0.10223484047101905, 0.39622557255992819), (60, 0.00016071149463721662, 0.99929178352422532), (90, -0.012116561833442801, 0.96447719356184736)]"
833,sgbu,"[(0, -0.001114160188207772, 0.98996232480987467), (10, 0.5487765931378662, 5.6302887681464901e-06), (20, 0.5878133024341432, 1.5282244498088736e-06), (30, 0.12882669191493451, 0.28429786653666006), (60, -0.091214371262153815, 0.61367321673510622), (90, -0.025785364531481097, 0.92448185191951082)]"
840,srlb,"[(0, 0.22008939514205403, 0.011866135392035831), (10, 0.51479219452746994, 2.5742612994494163e-05), (20, 0.56960247363492167, 3.759959335337654e-06), (30, -0.050491917360030746, 0.67582459335161515), (60, 0.18914670542805354, 0.29178112879355067), (90, 0.15373015441145682, 0.56973866021531339)]"
851,tdce,"[(0, 0.10717573940430231, 0.22486670838468628), (10, 0.52058512409739321, 2.009536992536323e-05), (20, 0.57994182794951143, 2.2703388737606546e-06), (30, 0.21927529904550286, 0.066168540353644847), (60, 0.065536691020095961, 0.71708815091638778), (90, 0.27700044573078147, 0.29897873674806114)]"
854,tnaa,"[(0, 0.32535492950139783, 0.00015867354699123664), (10, 0.53729033833046147, 9.58681797505488e-06), (20, 0.60593878863983286, 5.8967608599121692e-07), (30, 0.2838469084980712, 0.016446744136438228), (60, 0.46425960441980096, 0.0064952535147346519), (90, 0.44991210059187497, 0.080362073373090578)]"
865,ugpa,"[(0, 0.10100124340741688, 0.25287435997862878), (10, 0.60544063660772762, 2.9787536643191125e-07), (20, 0.62643953800252294, 1.8653642025118911e-07), (30, 0.22964489517117356, 0.054040986547239329), (60, 0.44682330605215587, 0.0091385149095555996), (90, 0.3702132016643489, 0.15810419361254049)]"
877,ulad,"[(0, 0.27873102756616164, 0.0013217451898593082), (10, 0.52717811345500842, 1.5075459256830584e-05), (20, 0.54898340912695132, 9.7861097862081845e-06), (30, 0.17067318460268713, 0.15471989973837169), (60, 0.17565739590886892, 0.32817463448706286), (90, 0.20955269695109072, 0.43602363432635927)]"
886,xyla,"[(0, 0.22709809020435409, 0.0093672850316414563), (10, 0.5439846594001132, 7.0468836139770059e-06), (20, 0.58742871435425481, 1.5584447079621801e-06), (30, 0.35645681288336745, 0.0022796984258473163), (60, 0.55378506488650114, 0.00082771833235697361), (90, 0.45306144794364583, 0.078009835276128342)]"
888,xylf,"[(0, 0.16424271295573775, 0.061863891584933557), (10, 0.47347680528750985, 0.00013300253635018932), (20, 0.55062537468179606, 9.0893863680600354e-06), (30, 0.22900691347215052, 0.054730617635637316), (60, 0.44502749736241071, 0.0094563823929700828), (90, 0.34070874941862234, 0.19658612092493419)]"
904,yial,"[(0, -0.036384220658817169, 0.68109201881884962), (10, 0.48065613858832079, 0.00010148322992944918), (20, 0.56336902614574713, 5.0549978382737745e-06), (30, 0.053295630508635582, 0.65890910990892182), (60, 0.03545091592830351, 0.84472056339181711), (90, 0.22101706672646634, 0.41073468018840698)]"
