,index,Edge,Lag,Lag_list,Sign,parent,child,name_x,parent_cluster,name_y,child_cluster
199,199,"('torr', 'gadx')",,"[(0, 0.28237492368349837, 0.0011340084265249301), (10, 0.24074644266488363, 0.063890761354840092), (20, 0.24743871938606296, 0.063495491842320048), (30, 0.22799082113199726, 0.05584377667834426), (60, 0.30255489931375379, 0.087007084150493755), (90, -0.44174296173571037, 0.086701165318720227)]",['-'],torr,gadx,torr,11,gadx,11
2761,2761,"('torr', 'gada')",10.0,"[(0, 0.44175667977343303, 1.4297377782087785e-07), (10, 0.79438351999394774, 3.600886809615072e-14), (20, 0.66173025953663855, 2.0890783673690042e-08), (30, 0.56406298146898781, 3.0146755345388433e-07), (60, 0.63862824781940497, 6.3503412062833472e-05), (90, -0.29669921835203322, 0.26446927394602321)]",['-'],torr,gada,torr,11,gada,11
2762,2762,"('torr', 'hdea')",0.0,"[(0, 0.37450714977774924, 1.1353970431175598e-05), (10, 0.45187072520781946, 0.00028980487017315056), (20, 0.47301058325214596, 0.00020265828244070067), (30, 0.40264063277816697, 0.00049940390602123768), (60, 0.55457029635255228, 0.00081078556894893209), (90, -0.27042573422581484, 0.31106269235094425)]",['+'],torr,hdea,torr,11,hdea,59
2763,2763,"('torr', 'hdeb')",,"[(0, 0.29809951255557304, 0.00057171047340031061), (10, 0.28073871516287124, 0.029799208158808679), (20, 0.29663348919122745, 0.025051314573877118), (30, 0.29857414383153102, 0.011433915202034762), (60, 0.54117277566291433, 0.0011457655719801058), (90, -0.28298727197590789, 0.28822113931659299)]",['+'],torr,hdeb,torr,11,hdeb,11
2764,2764,"('torr', 'tnaa')",10.0,"[(0, 0.31857271475446564, 0.00022081638710652314), (10, 0.71771419439559414, 1.0949332108049475e-10), (20, 0.54088179653920554, 1.4009538704524507e-05), (30, 0.17208002685872087, 0.15129743404287516), (60, 0.19862139678251928, 0.26782580678466128), (90, -0.12313989322472604, 0.64958400397005833)]",['+'],torr,tnaa,torr,11,tnaa,11
2765,2765,"('torr', 'tnab')",10.0,"[(0, 0.34198322483008625, 6.825035192810644e-05), (10, 0.66977645313864098, 4.8579566788874836e-09), (20, 0.50781102473182105, 5.5272314599874962e-05), (30, 0.20740356493474763, 0.082648857568079478), (60, 0.048879271006612816, 0.7870643819159806), (90, -0.013311179488583126, 0.96097723616266262)]",['+'],torr,tnab,torr,11,tnab,11
2766,2766,"('torr', 'tnac')",,"[(0, 0.26421694398370005, 0.0023846058580650263), (10, 0.29694831618773748, 0.021222503980888024), (20, 0.29612469730238283, 0.025313472907030905), (30, -0.020260956144583994, 0.86681243763526661), (60, 0.13558083943954183, 0.45186742789429524), (90, -0.07344973861024677, 0.78690543018619952)]",['+'],torr,tnac,torr,11,tnac,11
2767,2767,"('torr', 'tora')",10.0,"[(0, 0.44806593571601944, 9.01483380560248e-08), (10, 0.73147962471571326, 3.1806231993285692e-11), (20, 0.54292609746458687, 1.2808175121592434e-05), (30, 0.25637402851934005, 0.030919163191101766), (60, 0.10491422804299678, 0.56120330161571463), (90, 0.186072511036245, 0.49020766798257986)]",['+'],torr,tora,torr,11,tora,11
2768,2768,"('torr', 'torc')",,"[(0, 0.23614577346170704, 0.0068337811216203932), (10, 0.36787796533759248, 0.003830646620945176), (20, 0.37199835603257325, 0.0043810423365078796), (30, 0.13749356464789514, 0.25286528105311912), (60, 0.030261703225015098, 0.8672320963977137), (90, 0.14281953283780757, 0.59773855053157376)]",['+'],torr,torc,torr,11,torc,11
2769,2769,"('torr', 'tord')",10.0,"[(0, 0.43898760978717172, 1.7453982524172354e-07), (10, 0.74972795051794994, 5.4711823082271293e-12), (20, 0.58343519988283299, 1.9070218801178872e-06), (30, 0.38950361834089064, 0.00078677837705311759), (60, 0.098460228193191987, 0.58566449415526445), (90, 0.051169465884240567, 0.85072227715999671)]",['+'],torr,tord,torr,11,tord,11
2770,2770,"('torr', 'yhid')",10.0,"[(0, 0.3720060607875329, 1.3124707494953724e-05), (10, 0.74229837528481624, 1.1402759046661609e-11), (20, 0.6193827167159407, 2.7981185285876569e-07), (30, 0.54437269714683145, 9.2369614797686991e-07), (60, 0.5669696764029597, 0.00058100901447364261), (90, -0.28714400379740679, 0.28089026451484556)]",['+'],torr,yhid,torr,11,yhid,11
