RandomForest-rank	range	mean-rank	median-rank	sd-rank	regulator-target	tp	index	Edge	Lag	Lag_list	Sign	parent	child	name_x	parent_cluster	name_y	child_cluster	Source	Target	moduleID	window_size	min_lag	max_lag	total_edges	pr	roc
0	(0, 0)	0.0	0.0		('csgd', 'fliz')	True	69.0	('csgd', 'fliz')	10.0	[(0, -0.39725007870157986, 2.8736624851682439e-06), (10, -0.68702054687376224, 1.3491869972570075e-09), (20, -0.65700527023526178, 2.84773891388335e-08), (30, -0.40201281198092864, 0.00051058850827045824), (60, -0.038265708008620794, 0.83255868739586125), (90, 0.30456164643927686, 0.25140829231045969)]	['-']	csgd	fliz	csgd	28.0	fliz	28.0	csgd	fliz	csgd	5	0	0	24	0.3354125826078465	0.19444444444444442
1	(1, 1)	1.0	1.0		('fliz', 'csgd')	False												fliz	csgd	csgd	5	0	0	24	0.3354125826078465	0.19444444444444442
2	(2, 2)	2.0	2.0		('fliz', 'flia')	False												fliz	flia	csgd	5	0	0	24	0.3354125826078465	0.19444444444444442
3	(3, 3)	3.0	3.0		('fliz', 'flie')	False												fliz	flie	csgd	5	0	0	24	0.3354125826078465	0.19444444444444442
4	(4, 4)	4.0	4.0		('fliz', 'flgm')	False												fliz	flgm	csgd	5	0	0	24	0.3354125826078465	0.19444444444444442
5	(5, 5)	5.0	5.0		('fliz', 'flgn')	False												fliz	flgn	csgd	5	0	0	24	0.3354125826078465	0.19444444444444442
6	(6, 6)	6.0	6.0		('fliz', 'flij')	False												fliz	flij	csgd	5	0	0	24	0.3354125826078465	0.19444444444444442
7	(7, 7)	7.0	7.0		('fliz', 'flif')	False												fliz	flif	csgd	5	0	0	24	0.3354125826078465	0.19444444444444442
8	(8, 8)	8.0	8.0		('fliz', 'flig')	False												fliz	flig	csgd	5	0	0	24	0.3354125826078465	0.19444444444444442
9	(9, 9)	9.0	9.0		('fliz', 'flik')	False												fliz	flik	csgd	5	0	0	24	0.3354125826078465	0.19444444444444442
10	(10, 10)	10.0	10.0		('fliz', 'flih')	False												fliz	flih	csgd	5	0	0	24	0.3354125826078465	0.19444444444444442
11	(11, 11)	11.0	11.0		('fliz', 'flii')	False												fliz	flii	csgd	5	0	0	24	0.3354125826078465	0.19444444444444442
12	(12, 12)	12.0	12.0		('csgd', 'csgf')	True	1007.0	('csgd', 'csgf')	0.0	[(0, 0.86280377907062455, 9.7955278829379099e-40), (10, 0.80455172793326712, 9.6288175980995684e-15), (20, 0.69436136841407814, 2.0953167377636305e-09), (30, 0.60994245933019842, 1.6396887739448005e-08), (60, 0.25381911462000384, 0.1540638780336091), (90, -0.19035701494017768, 0.48008791616591595)]	['+']	csgd	csgf	csgd	28.0	csgf	28.0	csgd	csgf	csgd	5	0	0	24	0.3354125826078465	0.19444444444444442
13	(13, 13)	13.0	13.0		('fliz', 'ycct')	False												fliz	ycct	csgd	5	0	0	24	0.3354125826078465	0.19444444444444442
14	(14, 14)	14.0	14.0		('csgd', 'csge')	True	1006.0	('csgd', 'csge')	0.0	[(0, 0.82907500223475394, 4.0715580138450015e-34), (10, 0.74998751622193416, 5.330138124536433e-12), (20, 0.61111354134651463, 4.4440251921069438e-07), (30, 0.54218586074951503, 1.0414604417178664e-06), (60, 0.089496830119876775, 0.62039372779467772), (90, 0.041095213643067507, 0.87988950125576704)]	['+']	csgd	csge	csgd	28.0	csge	28.0	csgd	csge	csgd	5	0	0	24	0.3354125826078465	0.19444444444444442
15	(15, 15)	15.0	15.0		('csgd', 'csgg')	True	1008.0	('csgd', 'csgg')	0.0	[(0, 0.50797730276266895, 6.8679408246961755e-10), (10, 0.35213131823606997, 0.0057943724907210921), (20, 0.25183374311243911, 0.05878977616043838), (30, 0.31179941745106748, 0.008121567417688583), (60, 0.036517670233444023, 0.84010713757401034), (90, 0.027799575051137983, 0.91860035093551329)]	['+']	csgd	csgg	csgd	28.0	csgg	28.0	csgd	csgg	csgd	5	0	0	24	0.3354125826078465	0.19444444444444442
16	(16, 16)	16.0	16.0		('fliz', 'pepd')	False												fliz	pepd	csgd	5	0	0	24	0.3354125826078465	0.19444444444444442
17	(17, 17)	17.0	17.0		('csgd', 'yhbs')	True	1024.0	('csgd', 'yhbs')		[(0, -0.13485338187284773, 0.12608819091036613), (10, -0.16904850168668767, 0.19662934335444915), (20, -0.21771331443460049, 0.10376590189923431), (30, -0.46076152698682454, 5.2666982882100308e-05), (60, -0.16438009725055461, 0.36065319171641996), (90, -0.23492073341561751, 0.38113427212075318)]	['-']	csgd	yhbs	csgd	28.0	yhbs	28.0	csgd	yhbs	csgd	5	0	0	24	0.3354125826078465	0.19444444444444442
18	(18, 18)	18.0	18.0		('fliz', 'csgb')	False												fliz	csgb	csgd	5	0	0	24	0.3354125826078465	0.19444444444444442
19	(19, 19)	19.0	19.0		('fliz', 'yccj')	False												fliz	yccj	csgd	5	0	0	24	0.3354125826078465	0.19444444444444442
20	(20, 20)	20.0	20.0		('fliz', 'csga')	False												fliz	csga	csgd	5	0	0	24	0.3354125826078465	0.19444444444444442
21	(21, 21)	21.0	21.0		('csgd', 'nlpa')	True	1019.0	('csgd', 'nlpa')		[(0, -0.055302711076900012, 0.53201274005768684), (10, -0.30202331484262213, 0.019011348233381267), (20, -0.28675953307724905, 0.030566847319381935), (30, -0.1814041465152664, 0.13002611769881234), (60, 0.035439367122924656, 0.84477053687289094), (90, -0.12384267619688485, 0.6477045478396104)]	['+']	csgd	nlpa	csgd	28.0	nlpa	28.0	csgd	nlpa	csgd	5	0	0	24	0.3354125826078465	0.19444444444444442
22	(22, 22)	22.0	22.0		('fliz', 'yhbt')	False												fliz	yhbt	csgd	5	0	0	24	0.3354125826078465	0.19444444444444442
23	(23, 23)	23.0	23.0		('fliz', 'csgc')	False												fliz	csgc	csgd	5	0	0	24	0.3354125826078465	0.19444444444444442
