Dionesus-rank	RandomForest-rank	Lasso-rank	range	mean-rank	median-rank	sd-rank	regulator-target	tp	index	Edge	Lag	Lag_list	Sign	parent	child	name_x	parent_cluster	name_y	child_cluster	Source	Target	moduleID	window_size	min_lag	max_lag	total_edges	pr	roc
85	59	52	(52, 85)	65.33333333333333	59.0	17.3877351409933	('gntr', 'tnac')	False												gntr	tnac	torr	5	0	0	46	0.3539829654952878	0.5807453416149068
75	48	76	(48, 76)	66.33333333333333	75.0	15.88500340992514	('torr', 'flih')	False												torr	flih	torr	5	0	0	46	0.3539829654952878	0.5807453416149068
60	120	26	(26, 120)	68.66666666666667	60.0	47.59551799627076	('torr', 'idnk')	False												torr	idnk	torr	5	0	0	46	0.3539829654952878	0.5807453416149068
58	108	41	(41, 108)	69.0	58.0	34.828149534535996	('torr', 'idno')	False												torr	idno	torr	5	0	0	46	0.3539829654952878	0.5807453416149068
55	62	94	(55, 94)	70.33333333333333	62.0	20.79262689833426	('csgd', 'flik')	True	1018.0	('csgd', 'flik')	0.0	[(0, -0.38435633074726266, 6.3413391775852022e-06), (10, -0.50288029098040266, 4.2244631533733678e-05), (20, -0.50552700210101509, 6.0455542873479971e-05), (30, -0.25697675850485235, 0.030513309104334311), (60, 0.029860904161362688, 0.86897531741706135), (90, 0.32566431139079688, 0.21836406012432738)]	['-']	csgd	flik	csgd	28.0	flik	28.0	csgd	flik	torr	5	0	0	46	0.3539829654952878	0.5807453416149068
57	28	126	(28, 126)	70.33333333333333	57.0	50.34216258101486	('torr', 'flii')	False												torr	flii	torr	5	0	0	46	0.3539829654952878	0.5807453416149068
96	8	108	(8, 108)	70.66666666666667	96.0	54.60158727851539	('csgd', 'gntr')	False												csgd	gntr	torr	5	0	0	46	0.3539829654952878	0.5807453416149068
106	12	97	(12, 106)	71.66666666666667	97.0	51.86842327788009	('gntr', 'csgd')	False												gntr	csgd	torr	5	0	0	46	0.3539829654952878	0.5807453416149068
100	91	27	(27, 100)	72.66666666666667	91.0	39.80368492154129	('gntr', 'gntt')	True	1841.0	('gntr', 'gntt')		[(0, 0.09394166339026086, 0.28773302271579537), (10, 0.34574501972832333, 0.0068142226441510884), (20, 0.24265912588361901, 0.06895155678758752), (30, -0.18202014490144097, 0.12870522441941634), (60, 0.036189124323886088, 0.84152746137919776), (90, -0.2088471276792648, 0.43760555196207551)]	['-']	gntr	gntt	gntr	62.0	gntt	62.0	gntr	gntt	torr	5	0	0	46	0.3539829654952878	0.5807453416149068
80	55	83	(55, 83)	72.66666666666667	80.0	15.37313674346694	('torr', 'flig')	False												torr	flig	torr	5	0	0	46	0.3539829654952878	0.5807453416149068
21	65	132	(21, 132)	72.66666666666667	65.0	55.89573627150226	('gntr', 'flie')	False												gntr	flie	torr	5	0	0	46	0.3539829654952878	0.5807453416149068
83	105	30	(30, 105)	72.66666666666667	83.0	38.552993831002716	('gntr', 'csgc')	False												gntr	csgc	torr	5	0	0	46	0.3539829654952878	0.5807453416149068
72	52	95	(52, 95)	73.0	72.0	21.517434791350013	('csgd', 'flij')	True	1017.0	('csgd', 'flij')	0.0	[(0, -0.37695456334932814, 9.8412828674286257e-06), (10, -0.41746446257684866, 0.00090478571498014125), (20, -0.35888029393122617, 0.0061171618521869168), (30, -0.17456933428841651, 0.14538033316385576), (60, 0.023803603428070134, 0.89538990934467289), (90, 0.30639014116579943, 0.24842918465681463)]	['-']	csgd	flij	csgd	28.0	flij	28.0	csgd	flij	torr	5	0	0	46	0.3539829654952878	0.5807453416149068
68	50	101	(50, 101)	73.0	68.0	25.865034312755125	('torr', 'flij')	False												torr	flij	torr	5	0	0	46	0.3539829654952878	0.5807453416149068
73	116	32	(32, 116)	73.66666666666667	73.0	42.00396806652121	('torr', 'gada')	True	2761.0	('torr', 'gada')	10.0	[(0, 0.44175667977343303, 1.4297377782087785e-07), (10, 0.79438351999394774, 3.600886809615072e-14), (20, 0.66173025953663855, 2.0890783673690042e-08), (30, 0.56406298146898781, 3.0146755345388433e-07), (60, 0.63862824781940497, 6.3503412062833472e-05), (90, -0.29669921835203322, 0.26446927394602321)]	['-']	torr	gada	torr	11.0	gada	11.0	torr	gada	torr	5	0	0	46	0.3539829654952878	0.5807453416149068
79	124	21	(21, 124)	74.66666666666667	79.0	51.636550362445135	('gntr', 'edd')	True	1839.0	('gntr', 'edd')		[(0, 0.26994234821085289, 0.001896614002726008), (10, 0.25242061975133762, 0.051685218950672837), (20, 0.11683726499320163, 0.38674844026264732), (30, 0.1112959427257498, 0.35547308004767231), (60, -0.24029763071514265, 0.17797599023598987), (90, 0.060971017818857921, 0.82251735849300689)]	['-']	gntr	edd	gntr	62.0	edd	62.0	gntr	edd	torr	5	0	0	46	0.3539829654952878	0.5807453416149068
140	53	35	(35, 140)	76.0	53.0	56.15158056546583	('torr', 'flgn')	False												torr	flgn	torr	5	0	0	46	0.3539829654952878	0.5807453416149068
87	74	68	(68, 87)	76.33333333333333	74.0	9.71253485622231	('csgd', 'ycct')	True	1023.0	('csgd', 'ycct')		[(0, 0.19841105032209233, 0.023639885192434408), (10, 0.0043074135731167038, 0.97394305101374823), (20, -0.017735727241787781, 0.89581841605393897), (30, -0.075643190864030582, 0.53068113360547708), (60, 0.036297925923002676, 0.84105705096872396), (90, -0.38408773798481499, 0.1418975476916228)]	['+']	csgd	ycct	csgd	28.0	ycct	28.0	csgd	ycct	torr	5	0	0	46	0.3539829654952878	0.5807453416149068
93	137	0	(0, 137)	76.66666666666667	93.0	69.94521665799122	('gntr', 'csgb')	False												gntr	csgb	torr	5	0	0	46	0.3539829654952878	0.5807453416149068
47	77	107	(47, 107)	77.0	77.0	30.0	('csgd', 'gntx')	False												csgd	gntx	torr	5	0	0	46	0.3539829654952878	0.5807453416149068
78	92	62	(62, 92)	77.33333333333333	78.0	15.01110699893027	('csgd', 'torc')	False												csgd	torc	torr	5	0	0	46	0.3539829654952878	0.5807453416149068
103	36	96	(36, 103)	78.33333333333333	96.0	36.8284310463171	('csgd', 'gntu')	False												csgd	gntu	torr	5	0	0	46	0.3539829654952878	0.5807453416149068
88	66	82	(66, 88)	78.66666666666667	82.0	11.372481406154654	('csgd', 'tord')	False												csgd	tord	torr	5	0	0	46	0.3539829654952878	0.5807453416149068
142	72	29	(29, 142)	81.0	72.0	57.0350769263968	('torr', 'yhbt')	False												torr	yhbt	torr	5	0	0	46	0.3539829654952878	0.5807453416149068
