Dionesus-rank	RandomForest-rank	Lasso-rank	range	mean-rank	median-rank	sd-rank	regulator-target	tp	index	Edge	Lag	Lag_list	Sign	parent	child	name_x	parent_cluster	name_y	child_cluster	Source	Target	moduleID	window_size	min_lag	max_lag	total_edges	pr	roc
3	1	7	(1, 7)	3.6666666666666665	3.0	3.0550504633038935	('soxr', 'ompn')	False												soxr	ompn	0	4	1	1	68	0.38466990388924466	0.45648878107944213
4	0	13	(0, 13)	5.666666666666667	4.0	6.658328118479393	('soxr', 'micf')	False												soxr	micf	0	4	1	1	68	0.38466990388924466	0.45648878107944213
11	2	4	(2, 11)	5.666666666666667	4.0	4.725815626252608	('soxr', 'fldb')	False												soxr	fldb	0	4	1	1	68	0.38466990388924466	0.45648878107944213
1	11	12	(1, 12)	8.0	11.0	6.082762530298219	('soxr', 'flda')	False												soxr	flda	0	4	1	1	68	0.38466990388924466	0.45648878107944213
13	10	3	(3, 13)	8.666666666666666	10.0	5.131601439446884	('soxr', 'tolc')	False												soxr	tolc	0	4	1	1	68	0.38466990388924466	0.45648878107944213
17	6	5	(5, 17)	9.333333333333334	6.0	6.658328118479393	('soxr', 'rimk')	False												soxr	rimk	0	4	1	1	68	0.38466990388924466	0.45648878107944213
5	33	1	(1, 33)	13.0	5.0	17.435595774162696	('mara', 'ybjc')	True	2088.0	('mara', 'ybjc')	0.0	[(0, 0.40092777524210554, 2.278828956414048e-06), (10, 0.127260751208814, 0.33256103138413262), (20, 0.14568501948583415, 0.27955852396940128), (30, 0.2892451433147239, 0.014424952663450114), (60, 0.065799937149865553, 0.71599855243047761), (90, 0.84448964334832177, 3.8690835517978714e-05)]	['+']	mara	ybjc	mara	0.0	ybjc	0.0	mara	ybjc	0	4	1	1	68	0.38466990388924466	0.45648878107944213
21	27	0	(0, 27)	16.0	21.0	14.177446878757825	('soxs', 'aslb')	False												soxs	aslb	0	4	1	1	68	0.38466990388924466	0.45648878107944213
8	32	23	(8, 32)	21.0	23.0	12.12435565298214	('mara', 'nfsa')	True	2078.0	('mara', 'nfsa')	0.0	[(0, 0.47465797661982273, 1.1609808919058504e-08), (10, 0.24138329187257362, 0.063169992982148052), (20, 0.23945160494924408, 0.072818542765899011), (30, 0.35710469794862948, 0.0022349893544978561), (60, 0.058331653055962406, 0.74711633936855359), (90, 0.80617911244304585, 0.00016223820817609264)]	['+']	mara	nfsa	mara	0.0	nfsa	0.0	mara	nfsa	0	4	1	1	68	0.38466990388924466	0.45648878107944213
7	34	25	(7, 34)	22.0	25.0	13.74772708486752	('soxr', 'ydbk')	False												soxr	ydbk	0	4	1	1	68	0.38466990388924466	0.45648878107944213
0	51	20	(0, 51)	23.666666666666668	20.0	25.69695182961071	('mara', 'ybao')	True	2087.0	('mara', 'ybao')		[(0, 0.088497432242934743, 0.31670754700594611), (10, -0.09291660530243466, 0.48011444920421553), (20, -0.041157623240537761, 0.76114473131414306), (30, 0.053511330309689645, 0.65761464828339422), (60, 0.067267414578735488, 0.70993466159687646), (90, 0.40848571703432512, 0.11621882088963627)]	['+']	mara	ybao	mara	0.0	ybao	0.0	mara	ybao	0	4	1	1	68	0.38466990388924466	0.45648878107944213
31	22	19	(19, 31)	24.0	22.0	6.244997998398398	('soxs', 'ybjn')	True	2740.0	('soxs', 'ybjn')		[(0, 0.075579481408152432, 0.39275097469755016), (10, 0.41922325791441761, 0.00085608032597045815), (20, 0.24535340951845216, 0.06583167965783103), (30, 0.17677996005697047, 0.14027249018103616), (60, -0.2349074388388166, 0.18820400866484485), (90, 0.070354501479215778, 0.79570458143155209)]	['+']	soxs	ybjn	soxs	0.0	ybjn	0.0	soxs	ybjn	0	4	1	1	68	0.38466990388924466	0.45648878107944213
29	12	31	(12, 31)	24.0	29.0	10.44030650891055	('soxs', 'nfo')	True	2727.0	('soxs', 'nfo')	10.0	[(0, 0.21361958912521345, 0.014672928731019707), (10, 0.56194332176628403, 2.9841893167044137e-06), (20, 0.33151863448588775, 0.011764074881299944), (30, 0.20168751488951775, 0.091667774818691386), (60, 0.2001668313862846, 0.2640440816612743), (90, 0.23630404559284401, 0.37825454885257415)]	['+']	soxs	nfo	soxs	0.0	nfo	0.0	soxs	nfo	0	4	1	1	68	0.38466990388924466	0.45648878107944213
25	24	41	(24, 41)	30.0	25.0	9.539392014169456	('soxr', 'riba')	False												soxr	riba	0	4	1	1	68	0.38466990388924466	0.45648878107944213
15	20	57	(15, 57)	30.666666666666668	20.0	22.94195574342635	('mara', 'fumc')	True	2071.0	('mara', 'fumc')		[(0, -0.29886958343754583, 0.00055229679780650996), (10, -0.40846003198534614, 0.0011955511855574648), (20, -0.3874735752212411, 0.0029029832979825627), (30, -0.028123148152858681, 0.81590920610249673), (60, -0.3574776212204227, 0.041110329442110585), (90, 0.21807389707357835, 0.41715184659273608)]	['+']	mara	fumc	mara	0.0	fumc	0.0	mara	fumc	0	4	1	1	68	0.38466990388924466	0.45648878107944213
