Dionesus-rank	Lasso-rank	RandomForest-rank	range	mean-rank	median-rank	sd-rank	regulator-target	tp	index	Edge	Lag	Lag_list	Sign	parent	child	name_x	parent_cluster	name_y	child_cluster	Source	Target	moduleID	window_size	min_lag	max_lag	total_edges	pr	roc
11	36	6	(6, 36)	17.666666666666668	11.0	16.072751268321593	('soxr', 'micf')	False												soxr	micf	0	3	1	2	125	0.12532523625960973	0.4543376623376619
2	66	5	(2, 66)	24.333333333333332	5.0	36.11555528208494	('mara', 'marr')	True	147.0	('mara', 'marr')	0.0	[(0, 0.88915141548128107, 2.7633347244297016e-45), (10, 0.76138079893919497, 1.6400217199827674e-12), (20, 0.60822119442797362, 5.2083918607458338e-07), (30, 0.38663827294346609, 0.00086664552099234408), (60, 0.23758106449735539, 0.183080418573487), (90, 0.52999968336303593, 0.03471298448533932)]	['+']	mara	marr	mara	0.0	marr	27.0	mara	marr	0	3	1	2	125	0.12532523625960973	0.4543376623376619
24	54	7	(7, 54)	28.333333333333332	24.0	23.797758998135375	('fnr', 'acrb')	False												fnr	acrb	0	3	1	2	125	0.12532523625960973	0.4543376623376619
8	49	30	(8, 49)	29.0	30.0	20.518284528683193	('lrp', 'putp')	False												lrp	putp	0	3	1	2	125	0.12532523625960973	0.4543376623376619
27	60	8	(8, 60)	31.666666666666668	27.0	26.312227829154512	('soxr', 'rimk')	False												soxr	rimk	0	3	1	2	125	0.12532523625960973	0.4543376623376619
20	91	2	(2, 91)	37.666666666666664	20.0	47.05670338361298	('soxr', 'fldb')	False												soxr	fldb	0	3	1	2	125	0.12532523625960973	0.4543376623376619
4	41	76	(4, 76)	40.333333333333336	41.0	36.004629331980816	('soxr', 'pura')	False												soxr	pura	0	3	1	2	125	0.12532523625960973	0.4543376623376619
46	84	23	(23, 84)	51.0	46.0	30.805843601498726	('crp', 'soxs')	False												crp	soxs	0	3	1	2	125	0.12532523625960973	0.4543376623376619
52	64	45	(45, 64)	53.666666666666664	52.0	9.60902353693305	('fis', 'ptsg')	True	1588.0	('fis', 'ptsg')		[(0, 0.34095141264255396, 7.2019626338537638e-05), (10, 0.17803153343366976, 0.17353983457042202), (20, 0.088642241438282879, 0.51201701312172676), (30, 0.19522386053813173, 0.10277910023868275), (60, 0.49359729914142109, 0.0035105761847526022), (90, 0.39564918832702195, 0.12928862857368453)]	['+-']	fis	ptsg	fis	45.0	ptsg	0.0	fis	ptsg	0	3	1	2	125	0.12532523625960973	0.4543376623376619
28	1	139	(1, 139)	56.0	28.0	73.13685801290619	('cpxr', 'fpr')	False												cpxr	fpr	0	3	1	2	125	0.12532523625960973	0.4543376623376619
49	27	95	(27, 95)	57.0	49.0	34.698703145794944	('soxr', 'ompn')	False												soxr	ompn	0	3	1	2	125	0.12532523625960973	0.4543376623376619
47	9	115	(9, 115)	57.0	47.0	53.70288632839021	('oxyr', 'yhid')	False												oxyr	yhid	0	3	1	2	125	0.12532523625960973	0.4543376623376619
18	121	37	(18, 121)	58.666666666666664	37.0	54.81179921634879	('fnr', 'pgi')	False												fnr	pgi	0	3	1	2	125	0.12532523625960973	0.4543376623376619
7	157	17	(7, 157)	60.333333333333336	17.0	83.86497083606082	('soxr', 'phop')	False												soxr	phop	0	3	1	2	125	0.12532523625960973	0.4543376623376619
95	31	69	(31, 95)	65.0	69.0	32.18695387886216	('rob', 'nfo')	True	2685.0	('rob', 'nfo')		[(0, 0.10668661084869006, 0.22700206109195417), (10, 0.1857898295728605, 0.15524229624038346), (20, 0.082419887039780884, 0.54218706071071243), (30, 0.17886352425716867, 0.13558295060207579), (60, 0.64507162727830292, 5.0615740934098339e-05), (90, 0.82895655798438683, 7.2126709070380638e-05)]	['+']	rob	nfo	rob	0.0	nfo	0.0	rob	nfo	0	3	1	2	125	0.12532523625960973	0.4543376623376619
12	13	174	(12, 174)	66.33333333333333	13.0	93.2434090610877	('puta', 'poxb')	False												puta	poxb	0	3	1	2	125	0.12532523625960973	0.4543376623376619
116	25	59	(25, 116)	66.66666666666667	59.0	45.98188048931158	('oxyr', 'micf')	False												oxyr	micf	0	3	1	2	125	0.12532523625960973	0.4543376623376619
114	11	94	(11, 114)	73.0	94.0	54.616847217685496	('oxyr', 'hdeb')	False												oxyr	hdeb	0	3	1	2	125	0.12532523625960973	0.4543376623376619
139	0	88	(0, 139)	75.66666666666667	88.0	70.31595361888604	('cpxr', 'poxb')	False												cpxr	poxb	0	3	1	2	125	0.12532523625960973	0.4543376623376619
77	22	145	(22, 145)	81.33333333333333	77.0	61.61439225808637	('cpxr', 'ompr')	False												cpxr	ompr	0	3	1	2	125	0.12532523625960973	0.4543376623376619
138	92	36	(36, 138)	88.66666666666667	92.0	51.08163401197473	('soxs', 'nfo')	True	2727.0	('soxs', 'nfo')	10.0	[(0, 0.21361958912521345, 0.014672928731019707), (10, 0.56194332176628403, 2.9841893167044137e-06), (20, 0.33151863448588775, 0.011764074881299944), (30, 0.20168751488951775, 0.091667774818691386), (60, 0.2001668313862846, 0.2640440816612743), (90, 0.23630404559284401, 0.37825454885257415)]	['+']	soxs	nfo	soxs	0.0	nfo	0.0	soxs	nfo	0	3	1	2	125	0.12532523625960973	0.4543376623376619
90	153	28	(28, 153)	90.33333333333333	90.0	62.50066666311115	('fnr', 'ynce')	False												fnr	ynce	0	3	1	2	125	0.12532523625960973	0.4543376623376619
60	160	52	(52, 160)	90.66666666666667	60.0	60.17751518078271	('marr', 'acrr')	False												marr	acrr	0	3	1	2	125	0.12532523625960973	0.4543376623376619
5	236	41	(5, 236)	94.0	41.0	124.28596059088895	('mara', 'ygib')	True	2090.0	('mara', 'ygib')	0.0	[(0, -0.41444937453247754, 9.481633131980112e-07), (10, -0.51259877039632962, 2.8240295950213823e-05), (20, -0.45938605492889745, 0.00032487522184147691), (30, -0.3305945754781287, 0.004865070427915584), (60, -0.38776136182825932, 0.025768591382149656), (90, -0.054525652608190048, 0.84104370324455391)]	['+']	mara	ygib	mara	0.0	ygib	0.0	mara	ygib	0	3	1	2	125	0.12532523625960973	0.4543376623376619
84	3	198	(3, 198)	95.0	84.0	97.9642792042079	('cpxr', 'pqib')	False												cpxr	pqib	0	3	1	2	125	0.12532523625960973	0.4543376623376619
110	76	103	(76, 110)	96.33333333333333	103.0	17.95364401266031	('ompr', 'micf')	True	2436.0	('ompr', 'micf')	0.0	[(0, 0.37927133721407491, 8.5863221937761149e-06), (10, 0.39796919851672768, 0.001638381850056165), (20, 0.37131991635775213, 0.004458821317778092), (30, 0.4124287024206964, 0.00035158213889064266), (60, 0.33934022343569659, 0.053364471253909584), (90, 0.1801141209631334, 0.50444825194814236)]	['+']	ompr	micf	ompr	28.0	micf	0.0	ompr	micf	0	3	1	2	125	0.12532523625960973	0.4543376623376619
30	261	4	(4, 261)	98.33333333333333	30.0	141.47202314709907	('fnr', 'zwf')	True	1417.0	('fnr', 'zwf')	30.0	[(0, 0.67314904442011703, 1.7379317034981481e-18), (10, 0.49222135178470594, 6.4803676418890595e-05), (20, 0.54332688322493428, 1.2584149319407847e-05), (30, 0.82522132213561228, 8.7657274967652026e-19), (60, 0.39977530767700287, 0.021164089023626875), (90, 0.44881641604672234, 0.081192293165769855)]	['-']	fnr	zwf	fnr	6.0	zwf	0.0	fnr	zwf	0	3	1	2	125	0.12532523625960973	0.4543376623376619
50	7	259	(7, 259)	105.33333333333333	50.0	134.8047971451066	('oxyr', 'ompn')	False												oxyr	ompn	0	3	1	2	125	0.12532523625960973	0.4543376623376619
120	34	166	(34, 166)	106.66666666666667	120.0	67.00248751601193	('crp', 'nfo')	False												crp	nfo	0	3	1	2	125	0.12532523625960973	0.4543376623376619
128	42	151	(42, 151)	107.0	128.0	57.4543296888929	('ompr', 'basr')	False												ompr	basr	0	3	1	2	125	0.12532523625960973	0.4543376623376619
133	43	157	(43, 157)	111.0	133.0	60.09991680526688	('marr', 'ynce')	False												marr	ynce	0	3	1	2	125	0.12532523625960973	0.4543376623376619
57	249	35	(35, 249)	113.66666666666667	57.0	117.71717518413926	('crp', 'puta')	False												crp	puta	0	3	1	2	125	0.12532523625960973	0.4543376623376619
40	279	32	(32, 279)	117.0	40.0	140.35312607847393	('fnr', 'inaa')	False												fnr	inaa	0	3	1	2	125	0.12532523625960973	0.4543376623376619
39	8	311	(8, 311)	119.33333333333333	39.0	166.71032761449825	('puta', 'marb')	False												puta	marb	0	3	1	2	125	0.12532523625960973	0.4543376623376619
97	192	87	(87, 192)	125.33333333333333	97.0	57.95112883571237	('fnr', 'aslb')	False												fnr	aslb	0	3	1	2	125	0.12532523625960973	0.4543376623376619
137	123	118	(118, 137)	126.0	123.0	9.848857801796104	('cpxr', 'fnr')	False												cpxr	fnr	0	3	1	2	125	0.12532523625960973	0.4543376623376619
38	307	34	(34, 307)	126.33333333333333	38.0	156.47470509105725	('marr', 'nfsa')	False												marr	nfsa	0	3	1	2	125	0.12532523625960973	0.4543376623376619
103	194	84	(84, 194)	127.0	103.0	58.7962583843564	('acrr', 'yhid')	False												acrr	yhid	0	3	1	2	125	0.12532523625960973	0.4543376623376619
62	255	70	(62, 255)	129.0	70.0	109.1924905842888	('cpxr', 'rob')	False												cpxr	rob	0	3	1	2	125	0.12532523625960973	0.4543376623376619
58	320	10	(10, 320)	129.33333333333334	58.0	166.85722439658804	('soxr', 'ygib')	False												soxr	ygib	0	3	1	2	125	0.12532523625960973	0.4543376623376619
160	158	80	(80, 160)	132.66666666666666	158.0	45.62163229580167	('fur', 'oxyr')	False												fur	oxyr	0	3	1	2	125	0.12532523625960973	0.4543376623376619
94	215	90	(90, 215)	133.0	94.0	71.04224095564554	('fur', 'hdeb')	False												fur	hdeb	0	3	1	2	125	0.12532523625960973	0.4543376623376619
211	61	133	(61, 211)	135.0	133.0	75.0199973340442	('mara', 'acrr')	False												mara	acrr	0	3	1	2	125	0.12532523625960973	0.4543376623376619
191	173	43	(43, 191)	135.66666666666666	173.0	80.7547728207648	('puta', 'pqia')	False												puta	pqia	0	3	1	2	125	0.12532523625960973	0.4543376623376619
9	389	9	(9, 389)	135.66666666666666	9.0	219.3931022920578	('soxr', 'ygic')	False												soxr	ygic	0	3	1	2	125	0.12532523625960973	0.4543376623376619
102	15	292	(15, 292)	136.33333333333334	102.0	141.65568584893913	('oxyr', 'soxr')	False												oxyr	soxr	0	3	1	2	125	0.12532523625960973	0.4543376623376619
32	363	15	(15, 363)	136.66666666666666	32.0	196.19463125512212	('fnr', 'soda')	True	1370.0	('fnr', 'soda')	30.0	[(0, 0.63924442499590739, 2.7286253156601506e-16), (10, 0.51569718694244682, 2.4773001572106318e-05), (20, 0.50772008778526723, 5.5470600652827765e-05), (30, 0.83640749028208972, 1.0906991229122606e-19), (60, 0.33624279579687766, 0.055720553789229355), (90, 0.50834635016411933, 0.044367516768818158)]	['-']	fnr	soda	fnr	6.0	soda	0.0	fnr	soda	0	3	1	2	125	0.12532523625960973	0.4543376623376619
3	415	3	(3, 415)	140.33333333333334	3.0	237.8683109061258	('soxr', 'yhid')	False												soxr	yhid	0	3	1	2	125	0.12532523625960973	0.4543376623376619
197	5	224	(5, 224)	142.0	197.0	119.41105476462387	('phop', 'basr')	False												phop	basr	0	3	1	2	125	0.12532523625960973	0.4543376623376619
48	172	215	(48, 215)	145.0	172.0	86.71216754296942	('fur', 'flda')	False												fur	flda	0	3	1	2	125	0.12532523625960973	0.4543376623376619
307	33	110	(33, 307)	150.0	110.0	141.31171218267792	('soxs', 'aslb')	False												soxs	aslb	0	3	1	2	125	0.12532523625960973	0.4543376623376619
61	291	106	(61, 291)	152.66666666666666	106.0	121.89476335484365	('mara', 'acna')	True	2067.0	('mara', 'acna')		[(0, -0.35543869707037795, 3.3272644768283357e-05), (10, -0.29493599546336874, 0.022157756856098366), (20, -0.11344687225247352, 0.40076990099414789), (30, -0.1910368974051086, 0.11051803646869345), (60, -0.29285578486396474, 0.098137807650918951), (90, -0.68175472415433747, 0.0036290169155485459)]	['+']	mara	acna	mara	0.0	acna	0.0	mara	acna	0	3	1	2	125	0.12532523625960973	0.4543376623376619
68	350	42	(42, 350)	153.33333333333334	68.0	170.81373871364485	('crp', 'acna')	True	502.0	('crp', 'acna')		[(0, 0.25166366627889014, 0.0038729117634414838), (10, -0.040756514827428932, 0.75717999594164076), (20, -0.11251152268818167, 0.40468978928041743), (30, 0.43132669945999386, 0.0001730963548004113), (60, 0.51792659139462616, 0.0020204110013946315), (90, 0.65001783256373458, 0.0064137668469689477)]	['+']	crp	acna	crp	1.0	acna	0.0	crp	acna	0	3	1	2	125	0.12532523625960973	0.4543376623376619
