Dionesus-rank	Lasso-rank	RandomForest-rank	range	mean-rank	median-rank	sd-rank	regulator-target	tp	index	Edge	Lag	Lag_list	Sign	parent	child	name_x	parent_cluster	name_y	child_cluster	Source	Target	moduleID	window_size	min_lag	max_lag	total_edges	pr	roc
0	20	0	(0, 20)	6.666666666666667	0.0	11.547005383792516	('kdgr', 'gntk')	False												kdgr	gntk	62	4	1	1	29	0.5040058702343345	0.6013456686291002
2	13	7	(2, 13)	7.333333333333333	7.0	5.507570547286102	('idnr', 'idnt')	True	1882.0	('idnr', 'idnt')	0.0	[(0, 0.37462251519601492, 1.1277996030004121e-05), (10, 0.047014383977413636, 0.7213100552909304), (20, 0.063931149743672061, 0.63659844328476733), (30, 0.21282381690362406, 0.074760697922536215), (60, 0.51730220275201655, 0.0020503085348958306), (90, 0.51963703858176891, 0.039111262844066887)]	['+']	idnr	idnt	idnr	62.0	idnt	62.0	idnr	idnt	62	4	1	1	29	0.5040058702343345	0.6013456686291002
13	5	6	(5, 13)	8.0	6.0	4.358898943540674	('idnr', 'idnk')	True	1880.0	('idnr', 'idnk')		[(0, 0.095344556913733683, 0.2805626672145709), (10, 0.047883457582415009, 0.71637343600702619), (20, 0.22139411568654901, 0.09791091226379324), (30, 0.14730874683266465, 0.22023091834315309), (60, 0.34974245215891181, 0.046025289394630339), (90, 0.091583640560575025, 0.73586946686247456)]	['+']	idnr	idnk	idnr	62.0	idnk	62.0	idnr	idnk	62	4	1	1	29	0.5040058702343345	0.6013456686291002
4	9	12	(4, 12)	8.333333333333334	9.0	4.041451884327381	('kdgr', 'idnt')	False												kdgr	idnt	62	4	1	1	29	0.5040058702343345	0.6013456686291002
5	16	8	(5, 16)	9.666666666666666	8.0	5.686240703077327	('gntr', 'gntu')	True	1842.0	('gntr', 'gntu')	10.0	[(0, 0.21899803841588344, 0.012303731791487549), (10, 0.58528134360362138, 9.0359174576179659e-07), (20, 0.47677259186692833, 0.00017727484643620276), (30, 0.18849139600678935, 0.11543842402598699), (60, -0.24184826096911616, 0.17510792012493739), (90, -0.70512550608441671, 0.0022815341407513767)]	['-']	gntr	gntu	gntr	62.0	gntu	62.0	gntr	gntu	62	4	1	1	29	0.5040058702343345	0.6013456686291002
14	4	14	(4, 14)	10.666666666666666	14.0	5.773502691896257	('kdgr', 'idnd')	False												kdgr	idnd	62	4	1	1	29	0.5040058702343345	0.6013456686291002
10	1	22	(1, 22)	11.0	10.0	10.535653752852738	('idnr', 'idno')	True	1881.0	('idnr', 'idno')		[(0, 0.038198983862164339, 0.66611467630536936), (10, 0.13504000186789147, 0.30360523911697901), (20, 0.27461692106158453, 0.038705091709217473), (30, 0.27004774640676027, 0.022752399912497036), (60, -0.17862029210846223, 0.31995085146713925), (90, -0.1573750016134336, 0.56051068479868427)]	['+']	idnr	idno	idnr	62.0	idno	62.0	idnr	idno	62	4	1	1	29	0.5040058702343345	0.6013456686291002
6	30	1	(1, 30)	12.333333333333334	6.0	15.50268793897798	('crp', 'eda')	False												crp	eda	62	4	1	1	29	0.5040058702343345	0.6013456686291002
21	21	2	(2, 21)	14.666666666666666	21.0	10.96965511460289	('phob', 'gntt')	False												phob	gntt	62	4	1	1	29	0.5040058702343345	0.6013456686291002
19	17	10	(10, 19)	15.333333333333334	17.0	4.725815626252609	('kdgr', 'gntt')	False												kdgr	gntt	62	4	1	1	29	0.5040058702343345	0.6013456686291002
