Dionesus-rank	range	mean-rank	median-rank	sd-rank	regulator-target	tp	index	Edge	Lag	Lag_list	Sign	parent	child	name_x	parent_cluster	name_y	child_cluster	Source	Target	moduleID	window_size	min_lag	max_lag	total_edges	pr	roc
0	(0, 0)	0.0	0.0		('gade', 'gnd')	True	1762.0	('gade', 'gnd')	60.0	[(0, 0.031801564452853877, 0.71945856650301176), (10, 0.33166218708915379, 0.0096331790007424759), (20, 0.28178772158755605, 0.033707163888059131), (30, 0.50496060886863747, 7.0959231836505451e-06), (60, -0.70356064261125084, 4.9423617491685989e-06), (90, -0.11276066266674166, 0.67756695376650722)]	['+']	gade	gnd	gade	49.0	gnd	49.0	gade	gnd	11	4	0	1	34	0.5357960839211029	0.4488491048593351
1	(1, 1)	1.0	1.0		('yedw', 'flic')	False												yedw	flic	11	4	0	1	34	0.5357960839211029	0.4488491048593351
2	(2, 2)	2.0	2.0		('cusr', 'yedx')	True	1047.0	('cusr', 'yedx')		[(0, 0.11211012955584067, 0.20411523334493981), (10, 0.25701150272287532, 0.047438795680568697), (20, 0.21436078210487655, 0.10933082945498615), (30, 0.019553205785630325, 0.87142459267477257), (60, -0.32214080248785631, 0.067506481657304274), (90, -0.60073440771984576, 0.013859728926867643)]	['+']	cusr	yedx	cusr	49.0	yedx	49.0	cusr	yedx	11	4	0	1	34	0.5357960839211029	0.4488491048593351
3	(3, 3)	3.0	3.0		('yedw', 'rcsa')	False												yedw	rcsa	11	4	0	1	34	0.5357960839211029	0.4488491048593351
4	(4, 4)	4.0	4.0		('cusr', 'gnd')	False												cusr	gnd	11	4	0	1	34	0.5357960839211029	0.4488491048593351
5	(5, 5)	5.0	5.0		('cusr', 'cusf')	True	1040.0	('cusr', 'cusf')	0.0	[(0, 0.39917513667307603, 2.5460261596147117e-06), (10, 0.41189114002102911, 0.0010760849686564445), (20, 0.33728945422118878, 0.010295900980686813), (30, 0.072408352825390473, 0.5484512861555555), (60, -0.38709033101289742, 0.026048299562478745), (90, 0.060333730024670469, 0.82434540547775415)]	['+']	cusr	cusf	cusr	49.0	cusf	49.0	cusr	cusf	11	4	0	1	34	0.5357960839211029	0.4488491048593351
6	(6, 6)	6.0	6.0		('cusr', 'lpxa')	False												cusr	lpxa	11	4	0	1	34	0.5357960839211029	0.4488491048593351
7	(7, 7)	7.0	7.0		('cusr', 'cusc')	True	1039.0	('cusr', 'cusc')	0.0	[(0, 0.44604505868127742, 1.0460571729101556e-07), (10, 0.3501739724303678, 0.0060916716458562616), (20, 0.26311209602673663, 0.047992225978783012), (30, 0.085202455056048454, 0.47989489486408654), (60, -0.43243977204761413, 0.011958411113899753), (90, 0.18010708659144514, 0.50446517772386046)]	['+']	cusr	cusc	cusr	49.0	cusc	49.0	cusr	cusc	11	4	0	1	34	0.5357960839211029	0.4488491048593351
8	(8, 8)	8.0	8.0		('cusr', 'fabz')	False												cusr	fabz	11	4	0	1	34	0.5357960839211029	0.4488491048593351
9	(9, 9)	9.0	9.0		('gade', 'yedx')	False												gade	yedx	11	4	0	1	34	0.5357960839211029	0.4488491048593351
10	(10, 10)	10.0	10.0		('cusr', 'cuss')	True	1041.0	('cusr', 'cuss')		[(0, 0.29175824310335613, 0.0007571170575469303), (10, 0.0060653119497347582, 0.96331519321146442), (20, 0.076856517883503242, 0.56987184196723728), (30, 0.15764089420457164, 0.1891981853585408), (60, 0.081343233230791304, 0.65270270489294746), (90, 0.62360291016475589, 0.0098444176651050225)]	['+']	cusr	cuss	cusr	49.0	cuss	49.0	cusr	cuss	11	4	0	1	34	0.5357960839211029	0.4488491048593351
11	(11, 11)	11.0	11.0		('cusr', 'gade')	False												cusr	gade	11	4	0	1	34	0.5357960839211029	0.4488491048593351
12	(12, 12)	12.0	12.0		('cusr', 'cusa')	True	1037.0	('cusr', 'cusa')		[(0, -0.0090312175244135085, 0.91877312428033642), (10, -0.088188702826103083, 0.50282960022896606), (20, -0.026390334451096002, 0.84550067444995514), (30, 0.020507589774320868, 0.86520624816754765), (60, -0.16244555755707926, 0.36641089757690393), (90, 0.37877250968220216, 0.14796614715010842)]	['+']	cusr	cusa	cusr	49.0	cusa	49.0	cusr	cusa	11	4	0	1	34	0.5357960839211029	0.4488491048593351
13	(13, 13)	13.0	13.0		('cusr', 'lpxd')	False												cusr	lpxd	11	4	0	1	34	0.5357960839211029	0.4488491048593351
14	(14, 14)	14.0	14.0		('yedw', 'cusc')	True	2836.0	('yedw', 'cusc')		[(0, -0.24008280141663807, 0.0059361609320161945), (10, -0.19920982857892805, 0.1270217527194431), (20, -0.17054317796404939, 0.20466846759443305), (30, -0.22933504386671497, 0.054375031478922926), (60, -0.64412638453219317, 5.2345428574885197e-05), (90, -0.57602336067696858, 0.019531608397555401)]	['+']	yedw	cusc	yedw	49.0	cusc	49.0	yedw	cusc	11	4	0	1	34	0.5357960839211029	0.4488491048593351
15	(15, 15)	15.0	15.0		('gade', 'cusb')	False												gade	cusb	11	4	0	1	34	0.5357960839211029	0.4488491048593351
16	(16, 16)	16.0	16.0		('gade', 'cyod')	True	1753.0	('gade', 'cyod')		[(0, -0.026295002470676208, 0.766493307265108), (10, 0.004434608985427347, 0.97317388286749773), (20, -0.020305588286731891, 0.88082548995342669), (30, 0.11419931278653614, 0.3429831303976294), (60, -0.52901863910047886, 0.0015490820191679713), (90, -0.35900520214675291, 0.17207094977786522)]	['+']	gade	cyod	gade	49.0	cyod	49.0	gade	cyod	11	4	0	1	34	0.5357960839211029	0.4488491048593351
17	(17, 17)	17.0	17.0		('gade', 'cyoc')	True	1752.0	('gade', 'cyoc')		[(0, -0.061921666106654095, 0.48400923922528516), (10, 0.016566309083129404, 0.9000238128051864), (20, -0.00476263209239114, 0.97195164000866485), (30, 0.1243033016599866, 0.30168852337668334), (60, -0.50748333206800456, 0.0025738183207604372), (90, -0.21733663084465679, 0.41876752604843803)]	['+']	gade	cyoc	gade	49.0	cyoc	49.0	gade	cyoc	11	4	0	1	34	0.5357960839211029	0.4488491048593351
18	(18, 18)	18.0	18.0		('gade', 'cyoe')	True	1754.0	('gade', 'cyoe')		[(0, -0.07443969429489268, 0.39994782572570675), (10, 0.026233939673035209, 0.84228875699922257), (20, -0.0017415132687956583, 0.98974200218813169), (30, 0.074494254583682099, 0.53695979067720623), (60, -0.62656738915700616, 9.5785566708513564e-05), (90, -0.40165254521347504, 0.12305596245169935)]	['+']	gade	cyoe	gade	49.0	cyoe	49.0	gade	cyoe	11	4	0	1	34	0.5357960839211029	0.4488491048593351
19	(19, 19)	19.0	19.0		('gade', 'flic')	True	1756.0	('gade', 'flic')		[(0, -0.024547041398229722, 0.78161273271389098), (10, 0.1410584965946137, 0.28235860393934331), (20, 0.14861320559462537, 0.26990221494899136), (30, -0.02306193102029289, 0.84860440911004631), (60, -0.2885417629933581, 0.10342254877799205), (90, -0.28501856255992808, 0.2846245496595885)]	['+']	gade	flic	gade	49.0	flic	49.0	gade	flic	11	4	0	1	34	0.5357960839211029	0.4488491048593351
20	(20, 20)	20.0	20.0		('gade', 'cyob')	True	1751.0	('gade', 'cyob')		[(0, -0.11803425878016409, 0.18106595570840583), (10, 0.025933467480541466, 0.84407240944805551), (20, 0.0050518851524829567, 0.97024890062122005), (30, 0.12066538613022933, 0.31616695893086905), (60, -0.46781393554515338, 0.0060455284361504106), (90, -0.20167107787650984, 0.45385992323645852)]	['+']	gade	cyob	gade	49.0	cyob	49.0	gade	cyob	11	4	0	1	34	0.5357960839211029	0.4488491048593351
21	(21, 21)	21.0	21.0		('cusr', 'yedw')	False												cusr	yedw	11	4	0	1	34	0.5357960839211029	0.4488491048593351
22	(22, 22)	22.0	22.0		('gade', 'rcsa')	True	122.0	('gade', 'rcsa')		[(0, -0.1502059930184248, 0.088052274540005346), (10, -0.056929425007263536, 0.66570667288329244), (20, 0.0078613679055199222, 0.95371838212307503), (30, -0.024675730341938554, 0.83814886929117194), (60, -0.42490786433258326, 0.013706481434163973), (90, -0.24818794176252362, 0.35400983674563458)]	['+']	gade	rcsa	gade	49.0	rcsa	49.0	gade	rcsa	11	4	0	1	34	0.5357960839211029	0.4488491048593351
23	(23, 23)	23.0	23.0		('cusr', 'rcsa')	False												cusr	rcsa	11	4	0	1	34	0.5357960839211029	0.4488491048593351
24	(24, 24)	24.0	24.0		('yedw', 'cuss')	True	2838.0	('yedw', 'cuss')		[(0, 0.12207422244912218, 0.16648159823339151), (10, 0.10051031265261094, 0.44480173609622464), (20, -0.019564607034079747, 0.88514445363521321), (30, 0.0074458184574595406, 0.95086004297192017), (60, -0.12246422259617754, 0.49717588796896472), (90, -0.072733289383711458, 0.78894004592595735)]	['+']	yedw	cuss	yedw	49.0	cuss	49.0	yedw	cuss	11	4	0	1	34	0.5357960839211029	0.4488491048593351
25	(25, 25)	25.0	25.0		('gade', 'lpxd')	True	1767.0	('gade', 'lpxd')	30.0	[(0, -0.018682305272970021, 0.83290899454999989), (10, 0.33125396676650165, 0.0097281191450260297), (20, 0.32825489102987582, 0.012671768293302606), (30, 0.48641228217592447, 1.7022471170216176e-05), (60, -0.33128282211732624, 0.05966414195832398), (90, -0.33373960333766856, 0.2064913284692442)]	['+']	gade	lpxd	gade	49.0	lpxd	49.0	gade	lpxd	11	4	0	1	34	0.5357960839211029	0.4488491048593351
26	(26, 26)	26.0	26.0		('cusr', 'cyoe')	True	1046.0	('cusr', 'cyoe')	60.0	[(0, 0.14525427595799092, 0.099164969302058412), (10, 0.025727018696495997, 0.84529837548285969), (20, 0.26825933368650923, 0.043634013629315682), (30, 0.51761386795267106, 3.7908717778315403e-06), (60, 0.71200005481838191, 3.3740433482188106e-06), (90, 0.57083529944634415, 0.020922597785187087)]	['+']	cusr	cyoe	cusr	49.0	cyoe	49.0	cusr	cyoe	11	4	0	1	34	0.5357960839211029	0.4488491048593351
27	(27, 27)	27.0	27.0		('cusr', 'flic')	False												cusr	flic	11	4	0	1	34	0.5357960839211029	0.4488491048593351
28	(28, 28)	28.0	28.0		('gade', 'fabz')	True	1755.0	('gade', 'fabz')		[(0, 0.095156758257028115, 0.28151551304060862), (10, 0.419391273294838, 0.00085155374278822265), (20, 0.24238533244615179, 0.069275100697565803), (30, 0.3384144313676456, 0.0038941743955515904), (60, -0.2459236357218498, 0.16772671329089636), (90, -0.33175680075684555, 0.20936715200970973)]	['+']	gade	fabz	gade	49.0	fabz	49.0	gade	fabz	11	4	0	1	34	0.5357960839211029	0.4488491048593351
