RandomForest-rank	range	mean-rank	median-rank	sd-rank	regulator-target	tp	index	Edge	Lag	Lag_list	Sign	parent	child	name_x	parent_cluster	name_y	child_cluster	Source	Target	moduleID	window_size	min_lag	max_lag	total_edges	pr	roc
0	(0, 0)	0.0	0.0		('csgd', 'csgf')	True	1007.0	('csgd', 'csgf')	0.0	[(0, 0.86280377907062455, 9.7955278829379099e-40), (10, 0.80455172793326712, 9.6288175980995684e-15), (20, 0.69436136841407814, 2.0953167377636305e-09), (30, 0.60994245933019842, 1.6396887739448005e-08), (60, 0.25381911462000384, 0.1540638780336091), (90, -0.19035701494017768, 0.48008791616591595)]	['+']	csgd	csgf	csgd	28.0	csgf	28.0	csgd	csgf	csgd	3	1	2	24	0.4449295457989803	0.359375
1	(1, 1)	1.0	1.0		('csgd', 'csgg')	True	1008.0	('csgd', 'csgg')	0.0	[(0, 0.50797730276266895, 6.8679408246961755e-10), (10, 0.35213131823606997, 0.0057943724907210921), (20, 0.25183374311243911, 0.05878977616043838), (30, 0.31179941745106748, 0.008121567417688583), (60, 0.036517670233444023, 0.84010713757401034), (90, 0.027799575051137983, 0.91860035093551329)]	['+']	csgd	csgg	csgd	28.0	csgg	28.0	csgd	csgg	csgd	3	1	2	24	0.4449295457989803	0.359375
2	(2, 2)	2.0	2.0		('fliz', 'flgm')	False												fliz	flgm	csgd	3	1	2	24	0.4449295457989803	0.359375
3	(3, 3)	3.0	3.0		('fliz', 'flie')	False												fliz	flie	csgd	3	1	2	24	0.4449295457989803	0.359375
4	(4, 4)	4.0	4.0		('csgd', 'csge')	True	1006.0	('csgd', 'csge')	0.0	[(0, 0.82907500223475394, 4.0715580138450015e-34), (10, 0.74998751622193416, 5.330138124536433e-12), (20, 0.61111354134651463, 4.4440251921069438e-07), (30, 0.54218586074951503, 1.0414604417178664e-06), (60, 0.089496830119876775, 0.62039372779467772), (90, 0.041095213643067507, 0.87988950125576704)]	['+']	csgd	csge	csgd	28.0	csge	28.0	csgd	csge	csgd	3	1	2	24	0.4449295457989803	0.359375
5	(5, 5)	5.0	5.0		('fliz', 'csge')	False												fliz	csge	csgd	3	1	2	24	0.4449295457989803	0.359375
6	(6, 6)	6.0	6.0		('fliz', 'flij')	False												fliz	flij	csgd	3	1	2	24	0.4449295457989803	0.359375
7	(7, 7)	7.0	7.0		('fliz', 'flia')	False												fliz	flia	csgd	3	1	2	24	0.4449295457989803	0.359375
8	(8, 8)	8.0	8.0		('csgd', 'yhbs')	True	1024.0	('csgd', 'yhbs')		[(0, -0.13485338187284773, 0.12608819091036613), (10, -0.16904850168668767, 0.19662934335444915), (20, -0.21771331443460049, 0.10376590189923431), (30, -0.46076152698682454, 5.2666982882100308e-05), (60, -0.16438009725055461, 0.36065319171641996), (90, -0.23492073341561751, 0.38113427212075318)]	['-']	csgd	yhbs	csgd	28.0	yhbs	28.0	csgd	yhbs	csgd	3	1	2	24	0.4449295457989803	0.359375
9	(9, 9)	9.0	9.0		('fliz', 'flif')	False												fliz	flif	csgd	3	1	2	24	0.4449295457989803	0.359375
10	(10, 10)	10.0	10.0		('fliz', 'ycct')	False												fliz	ycct	csgd	3	1	2	24	0.4449295457989803	0.359375
11	(11, 11)	11.0	11.0		('csgd', 'csgc')	True	1005.0	('csgd', 'csgc')		[(0, 0.044095257378130838, 0.61837837908231164), (10, -0.1221782700175913, 0.35238613288727716), (20, -0.16292945474802842, 0.22591474043731505), (30, -0.063247390194785827, 0.60028024579633654), (60, -0.20023733880007749, 0.26387238720569678), (90, 0.43868380503503851, 0.089164689095338978)]	['+']	csgd	csgc	csgd	28.0	csgc	28.0	csgd	csgc	csgd	3	1	2	24	0.4449295457989803	0.359375
12	(12, 12)	12.0	12.0		('csgd', 'csga')	True	1003.0	('csgd', 'csga')		[(0, 0.35324422154724028, 3.749248666180369e-05), (10, 0.1676822640314978, 0.20032442699085293), (20, 0.23732776597812597, 0.07547264310611522), (30, 0.33546306356263395, 0.0042382743185582425), (60, 0.19926041405544115, 0.26625784456930029), (90, -0.28746672950315022, 0.28032584848152731)]	['+']	csgd	csga	csgd	28.0	csga	28.0	csgd	csga	csgd	3	1	2	24	0.4449295457989803	0.359375
13	(13, 13)	13.0	13.0		('csgd', 'csgb')	True	1004.0	('csgd', 'csgb')	0.0	[(0, 0.58378657657062383, 3.1031816349294287e-13), (10, 0.57753815055693924, 1.356986215346929e-06), (20, 0.53757778057539307, 1.6174058451789766e-05), (30, 0.53749620214809135, 1.3432865012240552e-06), (60, 0.055934586037392951, 0.75719046657503997), (90, -0.1469293867218773, 0.58712635401763202)]	['+']	csgd	csgb	csgd	28.0	csgb	28.0	csgd	csgb	csgd	3	1	2	24	0.4449295457989803	0.359375
14	(14, 14)	14.0	14.0		('fliz', 'csgd')	False												fliz	csgd	csgd	3	1	2	24	0.4449295457989803	0.359375
15	(15, 15)	15.0	15.0		('fliz', 'flgn')	False												fliz	flgn	csgd	3	1	2	24	0.4449295457989803	0.359375
16	(16, 16)	16.0	16.0		('csgd', 'yhbt')	True	1025.0	('csgd', 'yhbt')		[(0, 0.0022481062947113111, 0.97974801608341944), (10, -0.01899718898315756, 0.88544593707664732), (20, -0.14719950896282522, 0.27453603626421708), (30, -0.48118293928558131, 2.1588892767245063e-05), (60, -0.14574141673630805, 0.41835789967447989), (90, -0.38376247161904214, 0.14226396092414728)]	['-']	csgd	yhbt	csgd	28.0	yhbt	28.0	csgd	yhbt	csgd	3	1	2	24	0.4449295457989803	0.359375
17	(17, 17)	17.0	17.0		('fliz', 'flig')	False												fliz	flig	csgd	3	1	2	24	0.4449295457989803	0.359375
18	(18, 18)	18.0	18.0		('csgd', 'nlpa')	True	1019.0	('csgd', 'nlpa')		[(0, -0.055302711076900012, 0.53201274005768684), (10, -0.30202331484262213, 0.019011348233381267), (20, -0.28675953307724905, 0.030566847319381935), (30, -0.1814041465152664, 0.13002611769881234), (60, 0.035439367122924656, 0.84477053687289094), (90, -0.12384267619688485, 0.6477045478396104)]	['+']	csgd	nlpa	csgd	28.0	nlpa	28.0	csgd	nlpa	csgd	3	1	2	24	0.4449295457989803	0.359375
19	(19, 19)	19.0	19.0		('csgd', 'ycct')	True	1023.0	('csgd', 'ycct')		[(0, 0.19841105032209233, 0.023639885192434408), (10, 0.0043074135731167038, 0.97394305101374823), (20, -0.017735727241787781, 0.89581841605393897), (30, -0.075643190864030582, 0.53068113360547708), (60, 0.036297925923002676, 0.84105705096872396), (90, -0.38408773798481499, 0.1418975476916228)]	['+']	csgd	ycct	csgd	28.0	ycct	28.0	csgd	ycct	csgd	3	1	2	24	0.4449295457989803	0.359375
20	(20, 20)	20.0	20.0		('fliz', 'csgf')	False												fliz	csgf	csgd	3	1	2	24	0.4449295457989803	0.359375
21	(21, 21)	21.0	21.0		('fliz', 'nlpa')	False												fliz	nlpa	csgd	3	1	2	24	0.4449295457989803	0.359375
22	(22, 22)	22.0	22.0		('fliz', 'csgc')	False												fliz	csgc	csgd	3	1	2	24	0.4449295457989803	0.359375
