Dionesus-rank	RandomForest-rank	Lasso-rank	range	mean-rank	median-rank	sd-rank	regulator-target	tp	index	Edge	Lag	Lag_list	Sign	parent	child	name_x	parent_cluster	name_y	child_cluster	Source	Target	moduleID	window_size	min_lag	max_lag	total_edges	pr	roc
9	18	8	(8, 18)	11.666666666666666	9.0	5.507570547286102	('gadw', 'mdtf')	True	1779.0	('gadw', 'mdtf')	0.0	[(0, 0.58580710569180394, 2.4578001404416066e-13), (10, 0.4683440107930702, 0.00016079082048237259), (20, 0.47287782616951096, 0.0002036118292279371), (30, 0.56305110798075175, 3.1989017275645477e-07), (60, 0.65657834186567821, 3.3312467584297896e-05), (90, 0.6549067924818347, 0.0058993317078124352)]	['+']	gadw	mdtf	gadw	59.0	mdtf	59.0	gadw	mdtf	gadx	5	0	0	48	0.6807145405966766	0.5340277777777777
12	4	24	(4, 24)	13.333333333333334	12.0	10.066445913694333	('gadw', 'mdte')	True	1778.0	('gadw', 'mdte')	0.0	[(0, 0.69044806126507563, 1.0088461863668296e-19), (10, 0.62415077046541434, 9.9065219851638273e-08), (20, 0.6367729905349816, 1.0111813764698003e-07), (30, 0.76267340219946766, 1.0881466345533392e-14), (60, 0.67622132224424791, 1.5637652325866595e-05), (90, 0.69830429387617721, 0.0026238289056285118)]	['+']	gadw	mdte	gadw	59.0	mdte	59.0	gadw	mdte	gadx	5	0	0	48	0.6807145405966766	0.5340277777777777
17	8	16	(8, 17)	13.666666666666666	16.0	4.932882862316248	('gadw', 'slp')	True	1780.0	('gadw', 'slp')	0.0	[(0, 0.72041706567427355, 4.4065712720875086e-22), (10, 0.69257046271836586, 8.7666123816774592e-10), (20, 0.61349893804570688, 3.8941305123116185e-07), (30, 0.71702809067124762, 2.0172778558439644e-12), (60, 0.69066912623121068, 8.6399149237495412e-06), (90, 0.64546628040923837, 0.0069242287112152301)]	['-']	gadw	slp	gadw	59.0	slp	59.0	gadw	slp	gadx	5	0	0	48	0.6807145405966766	0.5340277777777777
19	12	10	(10, 19)	13.666666666666666	12.0	4.725815626252608	('gadw', 'cada')	False												gadw	cada	gadx	5	0	0	48	0.6807145405966766	0.5340277777777777
10	3	33	(3, 33)	15.333333333333334	10.0	15.69500982265807	('gadw', 'gady')	True	1775.0	('gadw', 'gady')	0.0	[(0, 0.70192829103424703, 1.3632888147025111e-20), (10, 0.66056890265415391, 9.3062593270909979e-09), (20, 0.756192645563181, 1.0354717653526185e-11), (30, 0.7444706359702089, 9.9633966848531928e-14), (60, 0.54589920541255399, 0.0010158348304659713), (90, 0.41901670944115404, 0.10620763982179202)]	['-']	gadw	gady	gadw	59.0	gady	59.0	gadw	gady	gadx	5	0	0	48	0.6807145405966766	0.5340277777777777
3	17	29	(3, 29)	16.333333333333332	17.0	13.012814197295423	('gadw', 'hded')	False												gadw	hded	gadx	5	0	0	48	0.6807145405966766	0.5340277777777777
11	36	5	(5, 36)	17.333333333333332	11.0	16.441816606851365	('gade', 'ybas')	False												gade	ybas	gadx	5	0	0	48	0.6807145405966766	0.5340277777777777
5	15	38	(5, 38)	19.333333333333332	15.0	16.921386861996076	('gade', 'muri')	False												gade	muri	gadx	5	0	0	48	0.6807145405966766	0.5340277777777777
18	5	36	(5, 36)	19.666666666666668	18.0	15.56705923844749	('gadw', 'cadb')	False												gadw	cadb	gadx	5	0	0	48	0.6807145405966766	0.5340277777777777
27	20	12	(12, 27)	19.666666666666668	20.0	7.505553499465135	('gadx', 'rpos')	True	1799.0	('gadx', 'rpos')		[(0, 0.32723972569101906, 0.00014454936018995843), (10, 0.026676314353202311, 0.83966418406072263), (20, -0.11508936309086922, 0.39394042987658984), (30, -0.21083632962119636, 0.077580177250778551), (60, 0.4443547988624284, 0.0095778416421534018), (90, 0.28635010153765467, 0.28228163549412461)]	['+']	gadx	rpos	gadx	11.0	rpos	11.0	gadx	rpos	gadx	5	0	0	48	0.6807145405966766	0.5340277777777777
30	24	6	(6, 30)	20.0	24.0	12.489995996796797	('gadw', 'asnb')	False												gadw	asnb	gadx	5	0	0	48	0.6807145405966766	0.5340277777777777
21	30	13	(13, 30)	21.333333333333332	21.0	8.504900548115383	('gadw', 'rpos')	False												gadw	rpos	gadx	5	0	0	48	0.6807145405966766	0.5340277777777777
1	53	18	(1, 53)	24.0	18.0	26.514147167125703	('gade', 'btub')	False												gade	btub	gadx	5	0	0	48	0.6807145405966766	0.5340277777777777
