Dionesus-rank	RandomForest-rank	Lasso-rank	range	mean-rank	median-rank	sd-rank	regulator-target	tp	index	Edge	Lag	Lag_list	Sign	parent	child	name_x	parent_cluster	name_y	child_cluster	Source	Target	moduleID	window_size	min_lag	max_lag	total_edges	pr	roc
113	118	152	(113, 152)	127.66666666666667	118.0	21.221058723196006	('soxr', 'zwf')	False												soxr	zwf	0	4	0	1	68	0.3956016692636787	0.49029714978775024
163	147	90	(90, 163)	133.33333333333334	147.0	38.37099599089569	('soxs', 'inaa')	True	2724.0	('soxs', 'inaa')		[(0, 0.12479438765248044, 0.15716551448231797), (10, 0.2298988939823719, 0.077214575642023262), (20, 0.25446106731961177, 0.056113932976573896), (30, -0.0026146830199332504, 0.98273458491321264), (60, -0.23188877838257213, 0.19410869865677557), (90, -0.17926362580618158, 0.50649659939884084)]	['+']	soxs	inaa	soxs	0.0	inaa	0.0	soxs	inaa	0	4	0	1	68	0.3956016692636787	0.49029714978775024
146	150	105	(105, 150)	133.66666666666666	146.0	24.906491790963525	('rob', 'ybjc')	True	2690.0	('rob', 'ybjc')		[(0, 0.27082039649784562, 0.0018303734746186512), (10, 0.2145740067319091, 0.099690103449485923), (20, 0.20395622916769535, 0.12806746717690209), (30, 0.29367296902850382, 0.012930301698408347), (60, -0.16636568167968266, 0.35480004703174517), (90, -0.46167130409885682, 0.071833406545504033)]	['+']	rob	ybjc	rob	0.0	ybjc	0.0	rob	ybjc	0	4	0	1	68	0.3956016692636787	0.49029714978775024
108	139	154	(108, 154)	133.66666666666666	139.0	23.459184413217212	('mara', 'pgi')	False												mara	pgi	0	4	0	1	68	0.3956016692636787	0.49029714978775024
93	161	158	(93, 161)	137.33333333333334	158.0	38.42308333974947	('puta', 'soda')	False												puta	soda	0	4	0	1	68	0.3956016692636787	0.49029714978775024
142	131	140	(131, 142)	137.66666666666666	140.0	5.859465277082315	('puta', 'zwf')	False												puta	zwf	0	4	0	1	68	0.3956016692636787	0.49029714978775024
112	149	153	(112, 153)	138.0	149.0	22.60530911091463	('puta', 'soxr')	False												puta	soxr	0	4	0	1	68	0.3956016692636787	0.49029714978775024
100	152	162	(100, 162)	138.0	152.0	33.28663395418648	('puta', 'inaa')	False												puta	inaa	0	4	0	1	68	0.3956016692636787	0.49029714978775024
150	125	142	(125, 150)	139.0	142.0	12.767145334803704	('soxs', 'zwf')	True	2744.0	('soxs', 'zwf')		[(0, 0.053161531994998429, 0.54803610951432025), (10, 0.24674894375870496, 0.057353738119190686), (20, 0.21906335867811083, 0.10158777810965243), (30, 0.16754162247137405, 0.1625440988812076), (60, -0.33523708721981349, 0.056503016230871332), (90, -0.2465623927681585, 0.35727352788129152)]	['+']	soxs	zwf	soxs	0.0	zwf	0.0	soxs	zwf	0	4	0	1	68	0.3956016692636787	0.49029714978775024
135	153	132	(132, 153)	140.0	135.0	11.357816691600547	('mara', 'soda')	True	2085.0	('mara', 'soda')		[(0, 0.015331688928367074, 0.86254925298290397), (10, -0.15318791794545772, 0.24258910936752295), (20, -0.031887052292197418, 0.81384531176495634), (30, 0.24238282259831156, 0.041692172200947328), (60, 0.28040178384676662, 0.11397586375199276), (90, 0.22833361028523116, 0.39500995630683106)]	['+']	mara	soda	mara	0.0	soda	0.0	mara	soda	0	4	0	1	68	0.3956016692636787	0.49029714978775024
134	154	137	(134, 154)	141.66666666666666	137.0	10.785793124908958	('puta', 'ompn')	False												puta	ompn	0	4	0	1	68	0.3956016692636787	0.49029714978775024
145	164	121	(121, 164)	143.33333333333334	145.0	21.548395145191982	('rob', 'pqia')	False												rob	pqia	0	4	0	1	68	0.3956016692636787	0.49029714978775024
149	133	151	(133, 151)	144.33333333333334	149.0	9.865765724632494	('puta', 'flda')	False												puta	flda	0	4	0	1	68	0.3956016692636787	0.49029714978775024
143	145	146	(143, 146)	144.66666666666666	145.0	1.5275252316519465	('puta', 'fpr')	False												puta	fpr	0	4	0	1	68	0.3956016692636787	0.49029714978775024
132	140	163	(132, 163)	145.0	140.0	16.09347693943108	('rob', 'ydbk')	False												rob	ydbk	0	4	0	1	68	0.3956016692636787	0.49029714978775024
140	142	157	(140, 157)	146.33333333333334	142.0	9.29157324317757	('mara', 'pqib')	True	2081.0	('mara', 'pqib')		[(0, 0.11851641666224343, 0.17927767438409115), (10, -0.063934815221763516, 0.6274520889216344), (20, 0.016254788792319588, 0.90447522266618097), (30, 0.13980803776340492, 0.24488838878942862), (60, 0.083771418190066921, 0.6430125425394726), (90, 0.57799835186675419, 0.019021327828859447)]	['+']	mara	pqib	mara	0.0	pqib	0.0	mara	pqib	0	4	0	1	68	0.3956016692636787	0.49029714978775024
156	162	126	(126, 162)	148.0	156.0	19.28730152198591	('soxs', 'pqib')	True	2733.0	('soxs', 'pqib')		[(0, -0.038346668554533003, 0.66490149727790726), (10, 0.26252114194257026, 0.042724154991713302), (20, 0.25678803263079492, 0.053827147802780119), (30, 0.034464527689431583, 0.77538873929432228), (60, -0.41196046860080204, 0.017211761537046216), (90, -0.17654481664068628, 0.51307056403313078)]	['+']	soxs	pqib	soxs	0.0	pqib	0.0	soxs	pqib	0	4	0	1	68	0.3956016692636787	0.49029714978775024
164	123	164	(123, 164)	150.33333333333334	164.0	23.671361036774655	('soxs', 'ygic')	True	2743.0	('soxs', 'ygic')		[(0, -0.1775080199124022, 0.043338782883237205), (10, -0.15014900321520555, 0.25217229152974308), (20, -0.15102484434139443, 0.26211837675272692), (30, -0.17481343541886971, 0.14480956934418623), (60, -0.26377964172489959, 0.13799845836948724), (90, -0.25124346220910243, 0.34792060713788198)]	['+']	soxs	ygic	soxs	0.0	ygic	0.0	soxs	ygic	0	4	0	1	68	0.3956016692636787	0.49029714978775024
155	158	155	(155, 158)	156.0	155.0	1.7320508075688772	('soxs', 'soxr')	False												soxs	soxr	0	4	0	1	68	0.3956016692636787	0.49029714978775024
