Dionesus-rank	Lasso-rank	RandomForest-rank	range	mean-rank	median-rank	sd-rank	regulator-target	tp	index	Edge	Lag	Lag_list	Sign	parent	child	name_x	parent_cluster	name_y	child_cluster	Source	Target	moduleID	window_size	min_lag	max_lag	total_edges	pr	roc
969	523	776	(523, 969)	756.0	776.0	223.6716343213864	('marr', 'phop')	False												marr	phop	0	5	0	0	125	0.12444175533328364	0.4722455726092105
542	967	760	(542, 967)	756.3333333333334	760.0	212.52372416587596	('soxr', 'zwf')	False												soxr	zwf	0	5	0	0	125	0.12444175533328364	0.4722455726092105
889	848	535	(535, 889)	757.3333333333334	848.0	193.6345354871732	('ompr', 'pqia')	False												ompr	pqia	0	5	0	0	125	0.12444175533328364	0.4722455726092105
800	749	724	(724, 800)	757.6666666666666	749.0	38.7341365378568	('acrr', 'fumc')	False												acrr	fumc	0	5	0	0	125	0.12444175533328364	0.4722455726092105
926	542	806	(542, 926)	758.0	806.0	196.4484665249388	('lrp', 'soxs')	False												lrp	soxs	0	5	0	0	125	0.12444175533328364	0.4722455726092105
601	930	749	(601, 930)	760.0	749.0	164.77560499054465	('ompr', 'ybjn')	False												ompr	ybjn	0	5	0	0	125	0.12444175533328364	0.4722455726092105
594	865	821	(594, 865)	760.0	821.0	145.43383375267257	('soxs', 'basr')	False												soxs	basr	0	5	0	0	125	0.12444175533328364	0.4722455726092105
879	517	885	(517, 885)	760.3333333333334	879.0	210.75420122344735	('crp', 'acrr')	False												crp	acrr	0	5	0	0	125	0.12444175533328364	0.4722455726092105
833	553	895	(553, 895)	760.3333333333334	833.0	182.212330354818	('acrr', 'ygib')	False												acrr	ygib	0	5	0	0	125	0.12444175533328364	0.4722455726092105
793	861	629	(629, 861)	761.0	793.0	119.26441212700459	('fis', 'pgi')	False												fis	pgi	0	5	0	0	125	0.12444175533328364	0.4722455726092105
923	470	891	(470, 923)	761.3333333333334	891.0	252.80888697459457	('mara', 'cpxr')	False												mara	cpxr	0	5	0	0	125	0.12444175533328364	0.4722455726092105
527	793	966	(527, 966)	762.0	793.0	221.13570494155846	('phop', 'flda')	False												phop	flda	0	5	0	0	125	0.12444175533328364	0.4722455726092105
952	719	616	(616, 952)	762.3333333333334	719.0	172.1404465351863	('cpxr', 'micf')	False												cpxr	micf	0	5	0	0	125	0.12444175533328364	0.4722455726092105
758	643	887	(643, 887)	762.6666666666666	758.0	122.06692153623491	('fis', 'cpxr')	False												fis	cpxr	0	5	0	0	125	0.12444175533328364	0.4722455726092105
722	692	874	(692, 874)	762.6666666666666	722.0	97.5773197691622	('puta', 'nfsa')	False												puta	nfsa	0	5	0	0	125	0.12444175533328364	0.4722455726092105
966	688	640	(640, 966)	764.6666666666666	688.0	176.0037878380273	('fnr', 'marb')	False												fnr	marb	0	5	0	0	125	0.12444175533328364	0.4722455726092105
511	850	937	(511, 937)	766.0	850.0	225.07998578283232	('phop', 'crp')	False												phop	crp	0	5	0	0	125	0.12444175533328364	0.4722455726092105
