RandomForest-rank	range	mean-rank	median-rank	sd-rank	regulator-target	tp	index	Edge	Lag	Lag_list	Sign	parent	child	name_x	parent_cluster	name_y	child_cluster	Source	Target	moduleID	window_size	min_lag	max_lag	total_edges	pr	roc
0	(0, 0)	0.0	0.0		('kdgr', 'phob')	False												kdgr	phob	62	4	1	1	29	0.46782509264028455	0.6383515559293523
1	(1, 1)	1.0	1.0		('crp', 'eda')	False												crp	eda	62	4	1	1	29	0.46782509264028455	0.6383515559293523
2	(2, 2)	2.0	2.0		('kdgr', 'gntk')	False												kdgr	gntk	62	4	1	1	29	0.46782509264028455	0.6383515559293523
3	(3, 3)	3.0	3.0		('phob', 'gntt')	False												phob	gntt	62	4	1	1	29	0.46782509264028455	0.6383515559293523
4	(4, 4)	4.0	4.0		('gntr', 'idno')	True	1846.0	('gntr', 'idno')	10.0	[(0, 0.27399302796216624, 0.001608165299715786), (10, 0.64906067720610117, 2.0333577227917726e-08), (20, 0.4725719028123842, 0.00020582478540108218), (30, 0.25529499959771712, 0.031657058105496801), (60, 0.28945490079760489, 0.10228638929481733), (90, 0.054875408970366239, 0.84003627889275589)]	['-']	gntr	idno	gntr	62.0	idno	62.0	gntr	idno	62	4	1	1	29	0.46782509264028455	0.6383515559293523
5	(5, 5)	5.0	5.0		('crp', 'edd')	False												crp	edd	62	4	1	1	29	0.46782509264028455	0.6383515559293523
8	(8, 8)	8.0	8.0		('kdgr', 'gntx')	False												kdgr	gntx	62	4	1	1	29	0.46782509264028455	0.6383515559293523
9	(9, 9)	9.0	9.0		('kdgr', 'idnt')	False												kdgr	idnt	62	4	1	1	29	0.46782509264028455	0.6383515559293523
10	(10, 10)	10.0	10.0		('idnr', 'idnt')	True	1882.0	('idnr', 'idnt')	0.0	[(0, 0.37462251519601492, 1.1277996030004121e-05), (10, 0.047014383977413636, 0.7213100552909304), (20, 0.063931149743672061, 0.63659844328476733), (30, 0.21282381690362406, 0.074760697922536215), (60, 0.51730220275201655, 0.0020503085348958306), (90, 0.51963703858176891, 0.039111262844066887)]	['+']	idnr	idnt	idnr	62.0	idnt	62.0	idnr	idnt	62	4	1	1	29	0.46782509264028455	0.6383515559293523
12	(12, 12)	12.0	12.0		('idnr', 'idnd')	True	1879.0	('idnr', 'idnd')		[(0, 0.028364126462887676, 0.74870923947140233), (10, 0.095327950425815378, 0.46874260714841276), (20, 0.19188317570785354, 0.15274085201242132), (30, 0.24122151127101538, 0.042711270240341728), (60, -0.045432278128858715, 0.80177175228218001), (90, 0.13169825691330347, 0.62683412061491262)]	['+']	idnr	idnd	idnr	62.0	idnd	62.0	idnr	idnd	62	4	1	1	29	0.46782509264028455	0.6383515559293523
13	(13, 13)	13.0	13.0		('idnr', 'idno')	True	1881.0	('idnr', 'idno')		[(0, 0.038198983862164339, 0.66611467630536936), (10, 0.13504000186789147, 0.30360523911697901), (20, 0.27461692106158453, 0.038705091709217473), (30, 0.27004774640676027, 0.022752399912497036), (60, -0.17862029210846223, 0.31995085146713925), (90, -0.1573750016134336, 0.56051068479868427)]	['+']	idnr	idno	idnr	62.0	idno	62.0	idnr	idno	62	4	1	1	29	0.46782509264028455	0.6383515559293523
14	(14, 14)	14.0	14.0		('gntr', 'idnk')	True	1845.0	('gntr', 'idnk')	10.0	[(0, 0.31618556444539003, 0.00024759907085881094), (10, 0.54584277682327143, 6.4622185789790955e-06), (20, 0.37975934886264134, 0.0035727607289444407), (30, 0.21922575593178287, 0.066231350566646988), (60, -0.54300004381733036, 0.0010938993822966199), (90, -0.20696021242444859, 0.44185046834006192)]	['-']	gntr	idnk	gntr	62.0	idnk	62.0	gntr	idnk	62	4	1	1	29	0.46782509264028455	0.6383515559293523
15	(15, 15)	15.0	15.0		('idnr', 'idnk')	True	1880.0	('idnr', 'idnk')		[(0, 0.095344556913733683, 0.2805626672145709), (10, 0.047883457582415009, 0.71637343600702619), (20, 0.22139411568654901, 0.09791091226379324), (30, 0.14730874683266465, 0.22023091834315309), (60, 0.34974245215891181, 0.046025289394630339), (90, 0.091583640560575025, 0.73586946686247456)]	['+']	idnr	idnk	idnr	62.0	idnk	62.0	idnr	idnk	62	4	1	1	29	0.46782509264028455	0.6383515559293523
16	(16, 16)	16.0	16.0		('kdgr', 'idnk')	False												kdgr	idnk	62	4	1	1	29	0.46782509264028455	0.6383515559293523
17	(17, 17)	17.0	17.0		('gntr', 'gntu')	True	1842.0	('gntr', 'gntu')	10.0	[(0, 0.21899803841588344, 0.012303731791487549), (10, 0.58528134360362138, 9.0359174576179659e-07), (20, 0.47677259186692833, 0.00017727484643620276), (30, 0.18849139600678935, 0.11543842402598699), (60, -0.24184826096911616, 0.17510792012493739), (90, -0.70512550608441671, 0.0022815341407513767)]	['-']	gntr	gntu	gntr	62.0	gntu	62.0	gntr	gntu	62	4	1	1	29	0.46782509264028455	0.6383515559293523
18	(18, 18)	18.0	18.0		('kdgr', 'idnd')	False												kdgr	idnd	62	4	1	1	29	0.46782509264028455	0.6383515559293523
19	(19, 19)	19.0	19.0		('idnr', 'gntt')	False												idnr	gntt	62	4	1	1	29	0.46782509264028455	0.6383515559293523
20	(20, 20)	20.0	20.0		('kdgr', 'gntt')	False												kdgr	gntt	62	4	1	1	29	0.46782509264028455	0.6383515559293523
21	(21, 21)	21.0	21.0		('kdgr', 'edd')	True	1912.0	('kdgr', 'edd')		[(0, -0.16406026868423637, 0.06215796970135283), (10, -0.32461022102083037, 0.01139139306085849), (20, -0.36025506598931623, 0.0059105977942470684), (30, -0.44795240605704195, 8.9582146538630172e-05), (60, -0.4915718851697114, 0.0036692635884813477), (90, -0.59498316723548172, 0.015047054361315051)]	['-']	kdgr	edd	kdgr	62.0	edd	62.0	kdgr	edd	62	4	1	1	29	0.46782509264028455	0.6383515559293523
22	(22, 22)	22.0	22.0		('idnr', 'gntu')	True	1878.0	('idnr', 'gntu')		[(0, 0.1132405705605305, 0.19956157629585261), (10, 0.1933249768999315, 0.13887605530023281), (20, 0.29399472107317209, 0.026436155387037842), (30, 0.051821667803225842, 0.66778128070220255), (60, 0.093019369742585539, 0.60664360961848007), (90, -0.16510866952312694, 0.54114701246600516)]	['-']	idnr	gntu	idnr	62.0	gntu	62.0	idnr	gntu	62	4	1	1	29	0.46782509264028455	0.6383515559293523
23	(23, 23)	23.0	23.0		('idnr', 'gntr')	False												idnr	gntr	62	4	1	1	29	0.46782509264028455	0.6383515559293523
24	(24, 24)	24.0	24.0		('phob', 'edd')	False												phob	edd	62	4	1	1	29	0.46782509264028455	0.6383515559293523
27	(27, 27)	27.0	27.0		('crp', 'kdgr')	False												crp	kdgr	62	4	1	1	29	0.46782509264028455	0.6383515559293523
28	(28, 28)	28.0	28.0		('kdgr', 'gntu')	False												kdgr	gntu	62	4	1	1	29	0.46782509264028455	0.6383515559293523
29	(29, 29)	29.0	29.0		('gntr', 'idnd')	True	1844.0	('gntr', 'idnd')	10.0	[(0, 0.22231435535129296, 0.011016051926755461), (10, 0.65689095783377016, 1.199057555014935e-08), (20, 0.42270933365645352, 0.0010540157356587077), (30, 0.19738194488169164, 0.098958398747372264), (60, 0.030832003876064076, 0.86475271093439621), (90, -0.34469070291124848, 0.19106777234309485)]	['-']	gntr	idnd	gntr	62.0	idnd	62.0	gntr	idnd	62	4	1	1	29	0.46782509264028455	0.6383515559293523
30	(30, 30)	30.0	30.0		('kdgr', 'eda')	True	1911.0	('kdgr', 'eda')		[(0, 0.34938051689491273, 4.6166014996399425e-05), (10, 0.19422699921987169, 0.13700709393835409), (20, 0.076771499244633334, 0.5702999506246389), (30, 0.10044136224971489, 0.40460675361311493), (60, -0.18460377586744542, 0.30373772575689117), (90, -0.31157878898426566, 0.24009537171355003)]	['-']	kdgr	eda	kdgr	62.0	eda	62.0	kdgr	eda	62	4	1	1	29	0.46782509264028455	0.6383515559293523
