Dionesus-rank	range	mean-rank	median-rank	sd-rank	regulator-target	tp	index	Edge	Lag	Lag_list	Sign	parent	child	name_x	parent_cluster	name_y	child_cluster	Source	Target	moduleID	window_size	min_lag	max_lag	total_edges	pr	roc
0	(0, 0)	0.0	0.0		('rcsb', 'uspe')	False												rcsb	uspe	11	4	0	1	44	0.2683997633539895	0.5585359408033826
1	(1, 1)	1.0	1.0		('rcsb', 'lon')	False												rcsb	lon	11	4	0	1	44	0.2683997633539895	0.5585359408033826
2	(2, 2)	2.0	2.0		('torr', 'tord')	True	2769.0	('torr', 'tord')	10.0	[(0, 0.43898760978717172, 1.7453982524172354e-07), (10, 0.74972795051794994, 5.4711823082271293e-12), (20, 0.58343519988283299, 1.9070218801178872e-06), (30, 0.38950361834089064, 0.00078677837705311759), (60, 0.098460228193191987, 0.58566449415526445), (90, 0.051169465884240567, 0.85072227715999671)]	['+']	torr	tord	torr	11.0	tord	11.0	torr	tord	11	4	0	1	44	0.2683997633539895	0.5585359408033826
3	(3, 3)	3.0	3.0		('uhpa', 'uhpt')	True	2795.0	('uhpa', 'uhpt')	10.0	[(0, 0.4518470296065174, 6.8071531942293193e-08), (10, 0.75225956044201381, 4.2350660127812149e-12), (20, 0.7001916779611751, 1.3454262281319314e-09), (30, 0.48380679709678737, 1.9171493404226398e-05), (60, 0.46448122380017715, 0.0064663997897702104), (90, 0.20982033169857076, 0.43542435229586685)]	['+']	uhpa	uhpt	uhpa	11.0	uhpt	11.0	uhpa	uhpt	11	4	0	1	44	0.2683997633539895	0.5585359408033826
4	(4, 4)	4.0	4.0		('torr', 'tora')	True	2767.0	('torr', 'tora')	10.0	[(0, 0.44806593571601944, 9.01483380560248e-08), (10, 0.73147962471571326, 3.1806231993285692e-11), (20, 0.54292609746458687, 1.2808175121592434e-05), (30, 0.25637402851934005, 0.030919163191101766), (60, 0.10491422804299678, 0.56120330161571463), (90, 0.186072511036245, 0.49020766798257986)]	['+']	torr	tora	torr	11.0	tora	11.0	torr	tora	11	4	0	1	44	0.2683997633539895	0.5585359408033826
5	(5, 5)	5.0	5.0		('gadx', 'ydep')	False												gadx	ydep	11	4	0	1	44	0.2683997633539895	0.5585359408033826
6	(6, 6)	6.0	6.0		('torr', 'amtb')	False												torr	amtb	11	4	0	1	44	0.2683997633539895	0.5585359408033826
7	(7, 7)	7.0	7.0		('nhar', 'ydep')	False												nhar	ydep	11	4	0	1	44	0.2683997633539895	0.5585359408033826
8	(8, 8)	8.0	8.0		('uhpa', 'gadb')	False												uhpa	gadb	11	4	0	1	44	0.2683997633539895	0.5585359408033826
9	(9, 9)	9.0	9.0		('torr', 'torc')	True	2768.0	('torr', 'torc')		[(0, 0.23614577346170704, 0.0068337811216203932), (10, 0.36787796533759248, 0.003830646620945176), (20, 0.37199835603257325, 0.0043810423365078796), (30, 0.13749356464789514, 0.25286528105311912), (60, 0.030261703225015098, 0.8672320963977137), (90, 0.14281953283780757, 0.59773855053157376)]	['+']	torr	torc	torr	11.0	torc	11.0	torr	torc	11	4	0	1	44	0.2683997633539895	0.5585359408033826
10	(10, 10)	10.0	10.0		('uhpa', 'bdm')	False												uhpa	bdm	11	4	0	1	44	0.2683997633539895	0.5585359408033826
11	(11, 11)	11.0	11.0		('gadx', 'nhar')	False												gadx	nhar	11	4	0	1	44	0.2683997633539895	0.5585359408033826
12	(12, 12)	12.0	12.0		('nhar', 'nhaa')	True	2422.0	('nhar', 'nhaa')	0.0	[(0, 0.38789487168779818, 5.1201333371084495e-06), (10, 0.30662044687693513, 0.017180791891795694), (20, 0.19226751628866059, 0.15190478736544749), (30, 0.19658499603701293, 0.10035620267270909), (60, 0.35837128888589809, 0.040570828978398678), (90, -0.40235065927297742, 0.12234495678996926)]	['+']	nhar	nhaa	nhar	11.0	nhaa	11.0	nhar	nhaa	11	4	0	1	44	0.2683997633539895	0.5585359408033826
13	(13, 13)	13.0	13.0		('uvry', 'muri')	False												uvry	muri	11	4	0	1	44	0.2683997633539895	0.5585359408033826
14	(14, 14)	14.0	14.0		('torr', 'nhaa')	False												torr	nhaa	11	4	0	1	44	0.2683997633539895	0.5585359408033826
15	(15, 15)	15.0	15.0		('rcsb', 'muri')	False												rcsb	muri	11	4	0	1	44	0.2683997633539895	0.5585359408033826
16	(16, 16)	16.0	16.0		('rcsb', 'rara')	True	2667.0	('rcsb', 'rara')	20.0	[(0, 0.39970986966991295, 2.4615061750402905e-06), (10, 0.65196282302051445, 1.6748437030120765e-08), (20, 0.68524862769487205, 4.1027513295718431e-09), (30, 0.48231124305184148, 2.0516546599094289e-05), (60, -0.1964820618955927, 0.2731189349060868), (90, -0.539293934985275, 0.031096426120786051)]	['+']	rcsb	rara	rcsb	11.0	rara	11.0	rcsb	rara	11	4	0	1	44	0.2683997633539895	0.5585359408033826
17	(17, 17)	17.0	17.0		('rcsb', 'tnab')	False												rcsb	tnab	11	4	0	1	44	0.2683997633539895	0.5585359408033826
18	(18, 18)	18.0	18.0		('rcsb', 'lola')	True	2664.0	('rcsb', 'lola')	0.0	[(0, 0.38092781929979957, 7.783410584764682e-06), (10, 0.33290495045728313, 0.0093490829122541644), (20, 0.37981961891228183, 0.0035670383597638921), (30, 0.42458106725959238, 0.0002239819519596832), (60, 0.036693761296485834, 0.83934608865177318), (90, -0.31912918930717482, 0.22828457600827917)]	['+']	rcsb	lola	rcsb	11.0	lola	11.0	rcsb	lola	11	4	0	1	44	0.2683997633539895	0.5585359408033826
19	(19, 19)	19.0	19.0		('gadx', 'muri')	True	1798.0	('gadx', 'muri')	30.0	[(0, 0.037193265136698413, 0.67439914236886545), (10, 0.21476707638435585, 0.09937836733189237), (20, 0.34514540794178955, 0.0085535984950105438), (30, 0.54330075896484442, 9.7976082126752582e-07), (60, -0.19605700735924156, 0.27417864279173171), (90, 0.091264880580645191, 0.73675835596612904)]	['-']	gadx	muri	gadx	11.0	muri	11.0	gadx	muri	11	4	0	1	44	0.2683997633539895	0.5585359408033826
20	(20, 20)	20.0	20.0		('nhar', 'gadx')	False												nhar	gadx	11	4	0	1	44	0.2683997633539895	0.5585359408033826
21	(21, 21)	21.0	21.0		('uvry', 'gadx')	False												uvry	gadx	11	4	0	1	44	0.2683997633539895	0.5585359408033826
22	(22, 22)	22.0	22.0		('rcsb', 'rpos')	False												rcsb	rpos	11	4	0	1	44	0.2683997633539895	0.5585359408033826
23	(23, 23)	23.0	23.0		('rcsb', 'uhpt')	False												rcsb	uhpt	11	4	0	1	44	0.2683997633539895	0.5585359408033826
24	(24, 24)	24.0	24.0		('gadx', 'amtb')	True	1782.0	('gadx', 'amtb')		[(0, -0.22962124349800242, 0.0085885690541902277), (10, -0.23192534504285706, 0.074570878404234112), (20, -0.11907439183312134, 0.377658026801588), (30, -0.11873014683347828, 0.324047720273129), (60, -0.098186888067067241, 0.58671077270053618), (90, -0.072318182135723219, 0.79011947870662491)]	['+']	gadx	amtb	gadx	11.0	amtb	11.0	gadx	amtb	11	4	0	1	44	0.2683997633539895	0.5585359408033826
25	(25, 25)	25.0	25.0		('gadx', 'hdeb')	True	1793.0	('gadx', 'hdeb')	0.0	[(0, 0.50018617005931254, 1.367334235720141e-09), (10, 0.37514246073595642, 0.0031429681864054153), (20, 0.34864412241791048, 0.0078641025798910809), (30, 0.41543859868707927, 0.00031493016413670872), (60, 0.73660267360296239, 1.0229607827303447e-06), (90, 0.65518554033923393, 0.0058710247214009362)]	['+-']	gadx	hdeb	gadx	11.0	hdeb	11.0	gadx	hdeb	11	4	0	1	44	0.2683997633539895	0.5585359408033826
