Lasso-rank	range	mean-rank	median-rank	sd-rank	regulator-target	tp	index	Edge	Lag	Lag_list	Sign	parent	child	name_x	parent_cluster	name_y	child_cluster	Source	Target	moduleID	window_size	min_lag	max_lag	total_edges	pr	roc
0	(0, 0)	0.0	0.0		('kdgr', 'idnr')	False												kdgr	idnr	11	4	1	1	29	0.4734031463701968	0.6038687973086628
1	(1, 1)	1.0	1.0		('kdgr', 'idnk')	False												kdgr	idnk	11	4	1	1	29	0.4734031463701968	0.6038687973086628
2	(2, 2)	2.0	2.0		('kdgr', 'idnt')	False												kdgr	idnt	11	4	1	1	29	0.4734031463701968	0.6038687973086628
3	(3, 3)	3.0	3.0		('gntr', 'idno')	True	1846.0	('gntr', 'idno')	10.0	[(0, 0.27399302796216624, 0.001608165299715786), (10, 0.64906067720610117, 2.0333577227917726e-08), (20, 0.4725719028123842, 0.00020582478540108218), (30, 0.25529499959771712, 0.031657058105496801), (60, 0.28945490079760489, 0.10228638929481733), (90, 0.054875408970366239, 0.84003627889275589)]	['-']	gntr	idno	gntr	62.0	idno	62.0	gntr	idno	11	4	1	1	29	0.4734031463701968	0.6038687973086628
6	(6, 6)	6.0	6.0		('gntr', 'idnk')	True	1845.0	('gntr', 'idnk')	10.0	[(0, 0.31618556444539003, 0.00024759907085881094), (10, 0.54584277682327143, 6.4622185789790955e-06), (20, 0.37975934886264134, 0.0035727607289444407), (30, 0.21922575593178287, 0.066231350566646988), (60, -0.54300004381733036, 0.0010938993822966199), (90, -0.20696021242444859, 0.44185046834006192)]	['-']	gntr	idnk	gntr	62.0	idnk	62.0	gntr	idnk	11	4	1	1	29	0.4734031463701968	0.6038687973086628
7	(7, 7)	7.0	7.0		('gntr', 'idnt')	True	1847.0	('gntr', 'idnt')		[(0, 0.10430292536966494, 0.23761276715212024), (10, 0.4888946622642848, 7.3849618925464581e-05), (20, 0.29631096929546846, 0.025217228437980722), (30, -0.029260106579808261, 0.80860534449810628), (60, -0.25001245741693312, 0.1605471006368967), (90, -0.58528896079383086, 0.017226507719302592)]	['-']	gntr	idnt	gntr	62.0	idnt	62.0	gntr	idnt	11	4	1	1	29	0.4734031463701968	0.6038687973086628
8	(8, 8)	8.0	8.0		('idnr', 'kdgr')	False												idnr	kdgr	11	4	1	1	29	0.4734031463701968	0.6038687973086628
9	(9, 9)	9.0	9.0		('kdgr', 'idno')	False												kdgr	idno	11	4	1	1	29	0.4734031463701968	0.6038687973086628
10	(10, 10)	10.0	10.0		('idnr', 'eda')	False												idnr	eda	11	4	1	1	29	0.4734031463701968	0.6038687973086628
11	(11, 11)	11.0	11.0		('kdgr', 'idnd')	False												kdgr	idnd	11	4	1	1	29	0.4734031463701968	0.6038687973086628
13	(13, 13)	13.0	13.0		('kdgr', 'eda')	True	1911.0	('kdgr', 'eda')		[(0, 0.34938051689491273, 4.6166014996399425e-05), (10, 0.19422699921987169, 0.13700709393835409), (20, 0.076771499244633334, 0.5702999506246389), (30, 0.10044136224971489, 0.40460675361311493), (60, -0.18460377586744542, 0.30373772575689117), (90, -0.31157878898426566, 0.24009537171355003)]	['-']	kdgr	eda	kdgr	62.0	eda	62.0	kdgr	eda	11	4	1	1	29	0.4734031463701968	0.6038687973086628
14	(14, 14)	14.0	14.0		('phob', 'idno')	False												phob	idno	11	4	1	1	29	0.4734031463701968	0.6038687973086628
15	(15, 15)	15.0	15.0		('gntr', 'phob')	False												gntr	phob	11	4	1	1	29	0.4734031463701968	0.6038687973086628
18	(18, 18)	18.0	18.0		('idnr', 'phob')	False												idnr	phob	11	4	1	1	29	0.4734031463701968	0.6038687973086628
19	(19, 19)	19.0	19.0		('idnr', 'idnk')	True	1880.0	('idnr', 'idnk')		[(0, 0.095344556913733683, 0.2805626672145709), (10, 0.047883457582415009, 0.71637343600702619), (20, 0.22139411568654901, 0.09791091226379324), (30, 0.14730874683266465, 0.22023091834315309), (60, 0.34974245215891181, 0.046025289394630339), (90, 0.091583640560575025, 0.73586946686247456)]	['+']	idnr	idnk	idnr	62.0	idnk	62.0	idnr	idnk	11	4	1	1	29	0.4734031463701968	0.6038687973086628
20	(20, 20)	20.0	20.0		('idnr', 'idnd')	True	1879.0	('idnr', 'idnd')		[(0, 0.028364126462887676, 0.74870923947140233), (10, 0.095327950425815378, 0.46874260714841276), (20, 0.19188317570785354, 0.15274085201242132), (30, 0.24122151127101538, 0.042711270240341728), (60, -0.045432278128858715, 0.80177175228218001), (90, 0.13169825691330347, 0.62683412061491262)]	['+']	idnr	idnd	idnr	62.0	idnd	62.0	idnr	idnd	11	4	1	1	29	0.4734031463701968	0.6038687973086628
21	(21, 21)	21.0	21.0		('idnr', 'idnt')	True	1882.0	('idnr', 'idnt')	0.0	[(0, 0.37462251519601492, 1.1277996030004121e-05), (10, 0.047014383977413636, 0.7213100552909304), (20, 0.063931149743672061, 0.63659844328476733), (30, 0.21282381690362406, 0.074760697922536215), (60, 0.51730220275201655, 0.0020503085348958306), (90, 0.51963703858176891, 0.039111262844066887)]	['+']	idnr	idnt	idnr	62.0	idnt	62.0	idnr	idnt	11	4	1	1	29	0.4734031463701968	0.6038687973086628
22	(22, 22)	22.0	22.0		('idnr', 'idno')	True	1881.0	('idnr', 'idno')		[(0, 0.038198983862164339, 0.66611467630536936), (10, 0.13504000186789147, 0.30360523911697901), (20, 0.27461692106158453, 0.038705091709217473), (30, 0.27004774640676027, 0.022752399912497036), (60, -0.17862029210846223, 0.31995085146713925), (90, -0.1573750016134336, 0.56051068479868427)]	['+']	idnr	idno	idnr	62.0	idno	62.0	idnr	idno	11	4	1	1	29	0.4734031463701968	0.6038687973086628
