Dionesus-rank	range	mean-rank	median-rank	sd-rank	regulator-target	tp	index	Edge	Lag	Lag_list	Sign	parent	child	name_x	parent_cluster	name_y	child_cluster	Source	Target	moduleID	window_size	min_lag	max_lag	total_edges	pr	roc
0	(0, 0)	0.0	0.0		('torr', 'torc')	True	2768.0	('torr', 'torc')		[(0, 0.23614577346170704, 0.0068337811216203932), (10, 0.36787796533759248, 0.003830646620945176), (20, 0.37199835603257325, 0.0043810423365078796), (30, 0.13749356464789514, 0.25286528105311912), (60, 0.030261703225015098, 0.8672320963977137), (90, 0.14281953283780757, 0.59773855053157376)]	['+']	torr	torc	torr	11.0	torc	11.0	torr	torc	torr	5	0	0	48	0.23420783835660441	0.44620998116760846
1	(1, 1)	1.0	1.0		('torr', 'tora')	True	2767.0	('torr', 'tora')	10.0	[(0, 0.44806593571601944, 9.01483380560248e-08), (10, 0.73147962471571326, 3.1806231993285692e-11), (20, 0.54292609746458687, 1.2808175121592434e-05), (30, 0.25637402851934005, 0.030919163191101766), (60, 0.10491422804299678, 0.56120330161571463), (90, 0.186072511036245, 0.49020766798257986)]	['+']	torr	tora	torr	11.0	tora	11.0	torr	tora	torr	5	0	0	48	0.23420783835660441	0.44620998116760846
2	(2, 2)	2.0	2.0		('cusr', 'cusf')	True	1040.0	('cusr', 'cusf')	0.0	[(0, 0.39917513667307603, 2.5460261596147117e-06), (10, 0.41189114002102911, 0.0010760849686564445), (20, 0.33728945422118878, 0.010295900980686813), (30, 0.072408352825390473, 0.5484512861555555), (60, -0.38709033101289742, 0.026048299562478745), (90, 0.060333730024670469, 0.82434540547775415)]	['+']	cusr	cusf	cusr	49.0	cusf	49.0	cusr	cusf	torr	5	0	0	48	0.23420783835660441	0.44620998116760846
3	(3, 3)	3.0	3.0		('cusr', 'ybat')	False												cusr	ybat	torr	5	0	0	48	0.23420783835660441	0.44620998116760846
4	(4, 4)	4.0	4.0		('torr', 'cusa')	False												torr	cusa	torr	5	0	0	48	0.23420783835660441	0.44620998116760846
5	(5, 5)	5.0	5.0		('torr', 'tord')	True	2769.0	('torr', 'tord')	10.0	[(0, 0.43898760978717172, 1.7453982524172354e-07), (10, 0.74972795051794994, 5.4711823082271293e-12), (20, 0.58343519988283299, 1.9070218801178872e-06), (30, 0.38950361834089064, 0.00078677837705311759), (60, 0.098460228193191987, 0.58566449415526445), (90, 0.051169465884240567, 0.85072227715999671)]	['+']	torr	tord	torr	11.0	tord	11.0	torr	tord	torr	5	0	0	48	0.23420783835660441	0.44620998116760846
6	(6, 6)	6.0	6.0		('torr', 'amtb')	False												torr	amtb	torr	5	0	0	48	0.23420783835660441	0.44620998116760846
7	(7, 7)	7.0	7.0		('gadw', 'gadb')	False												gadw	gadb	torr	5	0	0	48	0.23420783835660441	0.44620998116760846
8	(8, 8)	8.0	8.0		('gade', 'hdeb')	False												gade	hdeb	torr	5	0	0	48	0.23420783835660441	0.44620998116760846
9	(9, 9)	9.0	9.0		('gadw', 'hded')	False												gadw	hded	torr	5	0	0	48	0.23420783835660441	0.44620998116760846
10	(10, 10)	10.0	10.0		('gadx', 'yedx')	False												gadx	yedx	torr	5	0	0	48	0.23420783835660441	0.44620998116760846
11	(11, 11)	11.0	11.0		('gadw', 'tnaa')	False												gadw	tnaa	torr	5	0	0	48	0.23420783835660441	0.44620998116760846
12	(12, 12)	12.0	12.0		('gade', 'hdea')	False												gade	hdea	torr	5	0	0	48	0.23420783835660441	0.44620998116760846
13	(13, 13)	13.0	13.0		('cusr', 'hns')	False												cusr	hns	torr	5	0	0	48	0.23420783835660441	0.44620998116760846
14	(14, 14)	14.0	14.0		('torr', 'cusb')	False												torr	cusb	torr	5	0	0	48	0.23420783835660441	0.44620998116760846
15	(15, 15)	15.0	15.0		('cusr', 'cusc')	True	1039.0	('cusr', 'cusc')	0.0	[(0, 0.44604505868127742, 1.0460571729101556e-07), (10, 0.3501739724303678, 0.0060916716458562616), (20, 0.26311209602673663, 0.047992225978783012), (30, 0.085202455056048454, 0.47989489486408654), (60, -0.43243977204761413, 0.011958411113899753), (90, 0.18010708659144514, 0.50446517772386046)]	['+']	cusr	cusc	cusr	49.0	cusc	49.0	cusr	cusc	torr	5	0	0	48	0.23420783835660441	0.44620998116760846
16	(16, 16)	16.0	16.0		('torr', 'ybas')	False												torr	ybas	torr	5	0	0	48	0.23420783835660441	0.44620998116760846
17	(17, 17)	17.0	17.0		('gade', 'muri')	False												gade	muri	torr	5	0	0	48	0.23420783835660441	0.44620998116760846
18	(18, 18)	18.0	18.0		('gadw', 'gada')	False												gadw	gada	torr	5	0	0	48	0.23420783835660441	0.44620998116760846
19	(19, 19)	19.0	19.0		('gadw', 'gady')	False												gadw	gady	torr	5	0	0	48	0.23420783835660441	0.44620998116760846
20	(20, 20)	20.0	20.0		('gadw', 'tnab')	False												gadw	tnab	torr	5	0	0	48	0.23420783835660441	0.44620998116760846
21	(21, 21)	21.0	21.0		('cusr', 'uspe')	False												cusr	uspe	torr	5	0	0	48	0.23420783835660441	0.44620998116760846
22	(22, 22)	22.0	22.0		('gadx', 'amtb')	True	1782.0	('gadx', 'amtb')		[(0, -0.22962124349800242, 0.0085885690541902277), (10, -0.23192534504285706, 0.074570878404234112), (20, -0.11907439183312134, 0.377658026801588), (30, -0.11873014683347828, 0.324047720273129), (60, -0.098186888067067241, 0.58671077270053618), (90, -0.072318182135723219, 0.79011947870662491)]	['+']	gadx	amtb	gadx	11.0	amtb	11.0	gadx	amtb	torr	5	0	0	48	0.23420783835660441	0.44620998116760846
23	(23, 23)	23.0	23.0		('cusr', 'btub')	False												cusr	btub	torr	5	0	0	48	0.23420783835660441	0.44620998116760846
24	(24, 24)	24.0	24.0		('gadw', 'gadx')	False												gadw	gadx	torr	5	0	0	48	0.23420783835660441	0.44620998116760846
25	(25, 25)	25.0	25.0		('gadx', 'glnk')	True	1791.0	('gadx', 'glnk')		[(0, -0.12521063787924913, 0.15577508012941682), (10, -0.339648665940461, 0.007930930208727132), (20, -0.33907574172373184, 0.0098748473080840522), (30, 0.057813833145243743, 0.63200832220218861), (60, -0.023965035201245873, 0.89468438050054544), (90, 0.071562779952485348, 0.79226687650217398)]	['+']	gadx	glnk	gadx	11.0	glnk	11.0	gadx	glnk	torr	5	0	0	48	0.23420783835660441	0.44620998116760846
26	(26, 26)	26.0	26.0		('gadw', 'rpos')	False												gadw	rpos	torr	5	0	0	48	0.23420783835660441	0.44620998116760846
27	(27, 27)	27.0	27.0		('torr', 'cada')	False												torr	cada	torr	5	0	0	48	0.23420783835660441	0.44620998116760846
28	(28, 28)	28.0	28.0		('gadw', 'cyoe')	False												gadw	cyoe	torr	5	0	0	48	0.23420783835660441	0.44620998116760846
29	(29, 29)	29.0	29.0		('gadw', 'cusr')	False												gadw	cusr	torr	5	0	0	48	0.23420783835660441	0.44620998116760846
30	(30, 30)	30.0	30.0		('gadw', 'cyod')	False												gadw	cyod	torr	5	0	0	48	0.23420783835660441	0.44620998116760846
31	(31, 31)	31.0	31.0		('gadw', 'tnac')	False												gadw	tnac	torr	5	0	0	48	0.23420783835660441	0.44620998116760846
32	(32, 32)	32.0	32.0		('gadw', 'cyoc')	False												gadw	cyoc	torr	5	0	0	48	0.23420783835660441	0.44620998116760846
33	(33, 33)	33.0	33.0		('gadx', 'rpos')	True	1799.0	('gadx', 'rpos')		[(0, 0.32723972569101906, 0.00014454936018995843), (10, 0.026676314353202311, 0.83966418406072263), (20, -0.11508936309086922, 0.39394042987658984), (30, -0.21083632962119636, 0.077580177250778551), (60, 0.4443547988624284, 0.0095778416421534018), (90, 0.28635010153765467, 0.28228163549412461)]	['+']	gadx	rpos	gadx	11.0	rpos	11.0	gadx	rpos	torr	5	0	0	48	0.23420783835660441	0.44620998116760846
34	(34, 34)	34.0	34.0		('gadw', 'asnb')	False												gadw	asnb	torr	5	0	0	48	0.23420783835660441	0.44620998116760846
35	(35, 35)	35.0	35.0		('gadw', 'mdte')	False												gadw	mdte	torr	5	0	0	48	0.23420783835660441	0.44620998116760846
36	(36, 36)	36.0	36.0		('gadw', 'yhid')	False												gadw	yhid	torr	5	0	0	48	0.23420783835660441	0.44620998116760846
37	(37, 37)	37.0	37.0		('gadx', 'cyoe')	False												gadx	cyoe	torr	5	0	0	48	0.23420783835660441	0.44620998116760846
39	(39, 39)	39.0	39.0		('gade', 'gadc')	False												gade	gadc	torr	5	0	0	48	0.23420783835660441	0.44620998116760846
40	(40, 40)	40.0	40.0		('torr', 'cusc')	False												torr	cusc	torr	5	0	0	48	0.23420783835660441	0.44620998116760846
41	(41, 41)	41.0	41.0		('gadw', 'gade')	False												gadw	gade	torr	5	0	0	48	0.23420783835660441	0.44620998116760846
42	(42, 42)	42.0	42.0		('gadw', 'lon')	False												gadw	lon	torr	5	0	0	48	0.23420783835660441	0.44620998116760846
43	(43, 43)	43.0	43.0		('torr', 'cusf')	False												torr	cusf	torr	5	0	0	48	0.23420783835660441	0.44620998116760846
44	(44, 44)	44.0	44.0		('gadw', 'cadb')	False												gadw	cadb	torr	5	0	0	48	0.23420783835660441	0.44620998116760846
