Dionesus-rank	RandomForest-rank	Lasso-rank	range	mean-rank	median-rank	sd-rank	regulator-target	tp	index	Edge	Lag	Lag_list	Sign	parent	child	name_x	parent_cluster	name_y	child_cluster	Source	Target	moduleID	window_size	min_lag	max_lag	total_edges	pr	roc
4	2	1	"(1, 4)"	2.333333333	2	1.527525232	"('idnr', 'idnt')"	TRUE	1882	"('idnr', 'idnt')"	0	"[(0, 0.37462251519601492, 1.1277996030004121e-05), (10, 0.047014383977413636, 0.7213100552909304), (20, 0.063931149743672061, 0.63659844328476733), (30, 0.21282381690362406, 0.074760697922536215), (60, 0.51730220275201655, 0.0020503085348958306), (90, 0.51963703858176891, 0.039111262844066887)]"	['+']	idnr	idnt	idnr	62	idnt	62	idnr	idnt	torr	3	1	2	21	0.683334725	0.770562771
7	3	3	"(3, 7)"	4.333333333	3	2.309401077	"('torr', 'tora')"	TRUE	2767	"('torr', 'tora')"	10	"[(0, 0.44806593571601944, 9.01483380560248e-08), (10, 0.73147962471571326, 3.1806231993285692e-11), (20, 0.54292609746458687, 1.2808175121592434e-05), (30, 0.25637402851934005, 0.030919163191101766), (60, 0.10491422804299678, 0.56120330161571463), (90, 0.186072511036245, 0.49020766798257986)]"	['+']	torr	tora	torr	11	tora	11	torr	tora	torr	3	1	2	21	0.683334725	0.770562771
3	1	13	"(1, 13)"	5.666666667	3	6.429100507	"('gadx', 'hdeb')"	TRUE	1793	"('gadx', 'hdeb')"	0	"[(0, 0.50018617005931254, 1.367334235720141e-09), (10, 0.37514246073595642, 0.0031429681864054153), (20, 0.34864412241791048, 0.0078641025798910809), (30, 0.41543859868707927, 0.00031493016413670872), (60, 0.73660267360296239, 1.0229607827303447e-06), (90, 0.65518554033923393, 0.0058710247214009362)]"	['+-']	gadx	hdeb	gadx	11	hdeb	11	gadx	hdeb	torr	3	1	2	21	0.683334725	0.770562771
9	10	0	"(0, 10)"	6.333333333	9	5.507570547	"('gadx', 'gada')"	TRUE	1787	"('gadx', 'gada')"	60	"[(0, 0.30725375477774269, 0.00037681671604692339), (10, 0.014146174033870106, 0.91456996194839402), (20, -0.040005486408248005, 0.76764125908813097), (30, 0.11403605776832219, 0.34367806752409802), (60, 0.83207709730924373, 1.957723944474674e-09), (90, 0.85324784647794383, 2.6424689104399831e-05)]"	['+']	gadx	gada	gadx	11	gada	11	gadx	gada	torr	3	1	2	21	0.683334725	0.770562771
10	5	4	"(4, 10)"	6.333333333	5	3.214550254	"('gadx', 'yhid')"	TRUE	1804	"('gadx', 'yhid')"	60	"[(0, 0.33311304655866542, 0.00010768380038459026), (10, 0.14620169194431792, 0.26499922452577651), (20, 0.10112577336844433, 0.45416462629753385), (30, 0.26794480644137708, 0.02387408105238089), (60, 0.81000476646950537, 1.1276090442912684e-08), (90, 0.84792116806988393, 3.3415050368549803e-05)]"	['+-']	gadx	yhid	gadx	11	yhid	11	gadx	yhid	torr	3	1	2	21	0.683334725	0.770562771
0	0	21	"(0, 21)"	7	0	12.12435565	"('torr', 'gntu')"	FALSE												torr	gntu	torr	3	1	2	21	0.683334725	0.770562771
12	13	2	"(2, 13)"	9	12	6.08276253	"('torr', 'idnt')"	FALSE												torr	idnt	torr	3	1	2	21	0.683334725	0.770562771
2	4	23	"(2, 23)"	9.666666667	4	11.59022577	"('idnr', 'gntk')"	TRUE	1877	"('idnr', 'gntk')"		"[(0, 0.17705042867208795, 0.043890210503357036), (10, 0.065337615109545791, 0.61990348947783003), (20, -0.038842137223093876, 0.77421715634872079), (30, -0.0011799730251483478, 0.99220786517985282), (60, 0.11081764897072566, 0.53924940730123416), (90, 0.02009834836175305, 0.94110682680074564)]"	['-']	idnr	gntk	idnr	62	gntk	62	idnr	gntk	torr	3	1	2	21	0.683334725	0.770562771
6	9	20	"(6, 20)"	11.66666667	9	7.371114796	"('torr', 'yhid')"	TRUE	2770	"('torr', 'yhid')"	10	"[(0, 0.3720060607875329, 1.3124707494953724e-05), (10, 0.74229837528481624, 1.1402759046661609e-11), (20, 0.6193827167159407, 2.7981185285876569e-07), (30, 0.54437269714683145, 9.2369614797686991e-07), (60, 0.5669696764029597, 0.00058100901447364261), (90, -0.28714400379740679, 0.28089026451484556)]"	['+']	torr	yhid	torr	11	yhid	11	torr	yhid	torr	3	1	2	21	0.683334725	0.770562771
13	23	7	"(7, 23)"	14.33333333	13	8.082903769	"('idnr', 'idno')"	TRUE	1881	"('idnr', 'idno')"		"[(0, 0.038198983862164339, 0.66611467630536936), (10, 0.13504000186789147, 0.30360523911697901), (20, 0.27461692106158453, 0.038705091709217473), (30, 0.27004774640676027, 0.022752399912497036), (60, -0.17862029210846223, 0.31995085146713925), (90, -0.1573750016134336, 0.56051068479868427)]"	['+']	idnr	idno	idnr	62	idno	62	idnr	idno	torr	3	1	2	21	0.683334725	0.770562771
14	14	19	"(14, 19)"	15.66666667	14	2.886751346	"('torr', 'gada')"	TRUE	2761	"('torr', 'gada')"	10	"[(0, 0.44175667977343303, 1.4297377782087785e-07), (10, 0.79438351999394774, 3.600886809615072e-14), (20, 0.66173025953663855, 2.0890783673690042e-08), (30, 0.56406298146898781, 3.0146755345388433e-07), (60, 0.63862824781940497, 6.3503412062833472e-05), (90, -0.29669921835203322, 0.26446927394602321)]"	['-']	torr	gada	torr	11	gada	11	torr	gada	torr	3	1	2	21	0.683334725	0.770562771
16	24	8	"(8, 24)"	16	16	8	"('torr', 'idnk')"	FALSE												torr	idnk	torr	3	1	2	21	0.683334725	0.770562771
5	16	30	"(5, 30)"	17	16	12.52996409	"('torr', 'torc')"	TRUE	2768	"('torr', 'torc')"		"[(0, 0.23614577346170704, 0.0068337811216203932), (10, 0.36787796533759248, 0.003830646620945176), (20, 0.37199835603257325, 0.0043810423365078796), (30, 0.13749356464789514, 0.25286528105311912), (60, 0.030261703225015098, 0.8672320963977137), (90, 0.14281953283780757, 0.59773855053157376)]"	['+']	torr	torc	torr	11	torc	11	torr	torc	torr	3	1	2	21	0.683334725	0.770562771
19	19	15	"(15, 19)"	17.66666667	19	2.309401077	"('idnr', 'idnk')"	TRUE	1880	"('idnr', 'idnk')"		"[(0, 0.095344556913733683, 0.2805626672145709), (10, 0.047883457582415009, 0.71637343600702619), (20, 0.22139411568654901, 0.09791091226379324), (30, 0.14730874683266465, 0.22023091834315309), (60, 0.34974245215891181, 0.046025289394630339), (90, 0.091583640560575025, 0.73586946686247456)]"	['+']	idnr	idnk	idnr	62	idnk	62	idnr	idnk	torr	3	1	2	21	0.683334725	0.770562771
33	17	6	"(6, 33)"	18.66666667	17	13.57694124	"('gadx', 'torr')"	FALSE												gadx	torr	torr	3	1	2	21	0.683334725	0.770562771
1	7	52	"(1, 52)"	20	7	27.87471973	"('torr', 'tord')"	TRUE	2769	"('torr', 'tord')"	10	"[(0, 0.43898760978717172, 1.7453982524172354e-07), (10, 0.74972795051794994, 5.4711823082271293e-12), (20, 0.58343519988283299, 1.9070218801178872e-06), (30, 0.38950361834089064, 0.00078677837705311759), (60, 0.098460228193191987, 0.58566449415526445), (90, 0.051169465884240567, 0.85072227715999671)]"	['+']	torr	tord	torr	11	tord	11	torr	tord	torr	3	1	2	21	0.683334725	0.770562771
21	33	9	"(9, 33)"	21	21	12	"('idnr', 'tnac')"	FALSE												idnr	tnac	torr	3	1	2	21	0.683334725	0.770562771
23	25	17	"(17, 25)"	21.66666667	23	4.163331999	"('idnr', 'tnab')"	FALSE												idnr	tnab	torr	3	1	2	21	0.683334725	0.770562771
11	11	47	"(11, 47)"	23	11	20.78460969	"('torr', 'gntk')"	FALSE												torr	gntk	torr	3	1	2	21	0.683334725	0.770562771
15	21	35	"(15, 35)"	23.66666667	21	10.26320288	"('torr', 'idnd')"	FALSE												torr	idnd	torr	3	1	2	21	0.683334725	0.770562771
17	6	48	"(6, 48)"	23.66666667	17	21.77919497	"('gadx', 'gntu')"	FALSE												gadx	gntu	torr	3	1	2	21	0.683334725	0.770562771
25	20	29	"(20, 29)"	24.66666667	25	4.509249753	"('gadx', 'idnr')"	FALSE												gadx	idnr	torr	3	1	2	21	0.683334725	0.770562771
