Lasso-rank	range	mean-rank	median-rank	sd-rank	regulator-target	tp	index	Edge	Lag	Lag_list	Sign	parent	child	name_x	parent_cluster	name_y	child_cluster	Source	Target	moduleID	window_size	min_lag	max_lag	total_edges	pr	roc
0	(0, 0)	0.0	0.0		('idnr', 'idnd')	True	1879.0	('idnr', 'idnd')		[(0, 0.028364126462887676, 0.74870923947140233), (10, 0.095327950425815378, 0.46874260714841276), (20, 0.19188317570785354, 0.15274085201242132), (30, 0.24122151127101538, 0.042711270240341728), (60, -0.045432278128858715, 0.80177175228218001), (90, 0.13169825691330347, 0.62683412061491262)]	['+']	idnr	idnd	idnr	62.0	idnd	62.0	idnr	idnd	62	5	0	0	29	0.5043651714024686	0.6063919259882254
1	(1, 1)	1.0	1.0		('gntr', 'gntu')	True	1842.0	('gntr', 'gntu')	10.0	[(0, 0.21899803841588344, 0.012303731791487549), (10, 0.58528134360362138, 9.0359174576179659e-07), (20, 0.47677259186692833, 0.00017727484643620276), (30, 0.18849139600678935, 0.11543842402598699), (60, -0.24184826096911616, 0.17510792012493739), (90, -0.70512550608441671, 0.0022815341407513767)]	['-']	gntr	gntu	gntr	62.0	gntu	62.0	gntr	gntu	62	5	0	0	29	0.5043651714024686	0.6063919259882254
2	(2, 2)	2.0	2.0		('kdgr', 'gntt')	False												kdgr	gntt	62	5	0	0	29	0.5043651714024686	0.6063919259882254
3	(3, 3)	3.0	3.0		('gntr', 'eda')	True	1838.0	('gntr', 'eda')		[(0, 0.29369517419018032, 0.00069533944927589123), (10, 0.37520908902973071, 0.0031372046246045493), (20, 0.31263196807027183, 0.017898413609728242), (30, 0.086635367812935848, 0.47251227310518484), (60, -0.37109471689283907, 0.033489921408823321), (90, -0.3689998204176802, 0.15957819555076355)]	['-']	gntr	eda	gntr	62.0	eda	62.0	gntr	eda	62	5	0	0	29	0.5043651714024686	0.6063919259882254
4	(4, 4)	4.0	4.0		('idnr', 'gntu')	True	1878.0	('idnr', 'gntu')		[(0, 0.1132405705605305, 0.19956157629585261), (10, 0.1933249768999315, 0.13887605530023281), (20, 0.29399472107317209, 0.026436155387037842), (30, 0.051821667803225842, 0.66778128070220255), (60, 0.093019369742585539, 0.60664360961848007), (90, -0.16510866952312694, 0.54114701246600516)]	['-']	idnr	gntu	idnr	62.0	gntu	62.0	idnr	gntu	62	5	0	0	29	0.5043651714024686	0.6063919259882254
5	(5, 5)	5.0	5.0		('idnr', 'eda')	False												idnr	eda	62	5	0	0	29	0.5043651714024686	0.6063919259882254
6	(6, 6)	6.0	6.0		('gntr', 'kdgr')	False												gntr	kdgr	62	5	0	0	29	0.5043651714024686	0.6063919259882254
7	(7, 7)	7.0	7.0		('gntr', 'crp')	False												gntr	crp	62	5	0	0	29	0.5043651714024686	0.6063919259882254
8	(8, 8)	8.0	8.0		('kdgr', 'idnd')	False												kdgr	idnd	62	5	0	0	29	0.5043651714024686	0.6063919259882254
9	(9, 9)	9.0	9.0		('idnr', 'idno')	True	1881.0	('idnr', 'idno')		[(0, 0.038198983862164339, 0.66611467630536936), (10, 0.13504000186789147, 0.30360523911697901), (20, 0.27461692106158453, 0.038705091709217473), (30, 0.27004774640676027, 0.022752399912497036), (60, -0.17862029210846223, 0.31995085146713925), (90, -0.1573750016134336, 0.56051068479868427)]	['+']	idnr	idno	idnr	62.0	idno	62.0	idnr	idno	62	5	0	0	29	0.5043651714024686	0.6063919259882254
10	(10, 10)	10.0	10.0		('phob', 'gntr')	False												phob	gntr	62	5	0	0	29	0.5043651714024686	0.6063919259882254
12	(12, 12)	12.0	12.0		('idnr', 'gntt')	False												idnr	gntt	62	5	0	0	29	0.5043651714024686	0.6063919259882254
13	(13, 13)	13.0	13.0		('gntr', 'edd')	True	1839.0	('gntr', 'edd')		[(0, 0.26994234821085289, 0.001896614002726008), (10, 0.25242061975133762, 0.051685218950672837), (20, 0.11683726499320163, 0.38674844026264732), (30, 0.1112959427257498, 0.35547308004767231), (60, -0.24029763071514265, 0.17797599023598987), (90, 0.060971017818857921, 0.82251735849300689)]	['-']	gntr	edd	gntr	62.0	edd	62.0	gntr	edd	62	5	0	0	29	0.5043651714024686	0.6063919259882254
15	(15, 15)	15.0	15.0		('idnr', 'idnk')	True	1880.0	('idnr', 'idnk')		[(0, 0.095344556913733683, 0.2805626672145709), (10, 0.047883457582415009, 0.71637343600702619), (20, 0.22139411568654901, 0.09791091226379324), (30, 0.14730874683266465, 0.22023091834315309), (60, 0.34974245215891181, 0.046025289394630339), (90, 0.091583640560575025, 0.73586946686247456)]	['+']	idnr	idnk	idnr	62.0	idnk	62.0	idnr	idnk	62	5	0	0	29	0.5043651714024686	0.6063919259882254
16	(16, 16)	16.0	16.0		('kdgr', 'gntk')	False												kdgr	gntk	62	5	0	0	29	0.5043651714024686	0.6063919259882254
17	(17, 17)	17.0	17.0		('gntr', 'gntk')	True	1840.0	('gntr', 'gntk')	0.0	[(0, 0.44072466581726155, 1.5404081546438051e-07), (10, 0.49469100365462243, 5.8761158548401074e-05), (20, 0.32609619200809387, 0.013304710194753922), (30, -0.097641765167647776, 0.41789493346621254), (60, -0.16315880529460733, 0.36428177141809326), (90, -0.1503665908228721, 0.57831108839224499)]	['-']	gntr	gntk	gntr	62.0	gntk	62.0	gntr	gntk	62	5	0	0	29	0.5043651714024686	0.6063919259882254
18	(18, 18)	18.0	18.0		('crp', 'gntr')	False												crp	gntr	62	5	0	0	29	0.5043651714024686	0.6063919259882254
19	(19, 19)	19.0	19.0		('idnr', 'idnt')	True	1882.0	('idnr', 'idnt')	0.0	[(0, 0.37462251519601492, 1.1277996030004121e-05), (10, 0.047014383977413636, 0.7213100552909304), (20, 0.063931149743672061, 0.63659844328476733), (30, 0.21282381690362406, 0.074760697922536215), (60, 0.51730220275201655, 0.0020503085348958306), (90, 0.51963703858176891, 0.039111262844066887)]	['+']	idnr	idnt	idnr	62.0	idnt	62.0	idnr	idnt	62	5	0	0	29	0.5043651714024686	0.6063919259882254
20	(20, 20)	20.0	20.0		('gntr', 'phob')	False												gntr	phob	62	5	0	0	29	0.5043651714024686	0.6063919259882254
21	(21, 21)	21.0	21.0		('kdgr', 'idnt')	False												kdgr	idnt	62	5	0	0	29	0.5043651714024686	0.6063919259882254
22	(22, 22)	22.0	22.0		('idnr', 'gntk')	True	1877.0	('idnr', 'gntk')		[(0, 0.17705042867208795, 0.043890210503357036), (10, 0.065337615109545791, 0.61990348947783003), (20, -0.038842137223093876, 0.77421715634872079), (30, -0.0011799730251483478, 0.99220786517985282), (60, 0.11081764897072566, 0.53924940730123416), (90, 0.02009834836175305, 0.94110682680074564)]	['-']	idnr	gntk	idnr	62.0	gntk	62.0	idnr	gntk	62	5	0	0	29	0.5043651714024686	0.6063919259882254
23	(23, 23)	23.0	23.0		('kdgr', 'eda')	True	1911.0	('kdgr', 'eda')		[(0, 0.34938051689491273, 4.6166014996399425e-05), (10, 0.19422699921987169, 0.13700709393835409), (20, 0.076771499244633334, 0.5702999506246389), (30, 0.10044136224971489, 0.40460675361311493), (60, -0.18460377586744542, 0.30373772575689117), (90, -0.31157878898426566, 0.24009537171355003)]	['-']	kdgr	eda	kdgr	62.0	eda	62.0	kdgr	eda	62	5	0	0	29	0.5043651714024686	0.6063919259882254
24	(24, 24)	24.0	24.0		('kdgr', 'gntx')	False												kdgr	gntx	62	5	0	0	29	0.5043651714024686	0.6063919259882254
